DateTime,AddedIPs,RemovedIPs
1473573765,0,1
1473580972,0,1
1473598976,1,0
1473609759,1,0
1473624157,0,1
1473634986,1,1
1473642238,0,1
1473645898,0,1
1473649390,2,0
1473652986,1,0
1473656581,0,1
1473667375,0,1
1473670989,1,0
1473674563,0,1
1473678172,2,0
1473681775,0,1
1473685368,1,1
1473696166,0,1
1473706972,1,0
1473710558,1,0
1473714170,0,1
1473721389,0,1
1473735752,1,0
1473739377,0,1
1473746558,1,0
1473750153,0,2
1473757371,1,0
1473760987,1,0
1473764558,0,1
1473775367,0,1
1473796958,1,0
1473825771,2,1
1473836570,1,1
1473840155,0,1
1473847358,1,1
1473850969,1,0
1473858170,1,0
1473861763,0,1
1473868963,0,1
1473872571,0,1
1473883366,1,0
1473890584,0,1
1473894173,0,1
1473901367,2,0
1473912171,1,0
1473919357,1,0
1473926550,0,1
1473937354,0,1
1473940970,1,0
1473944554,0,2
1473951760,1,0
1473955359,1,0
1473959016,0,1
1473962566,1,0
1473969770,1,2
1473973365,2,0
1473977001,0,2
1473991595,1,0
1473994979,1,1
1473998626,0,1
1474005763,0,1
1474009358,2,1
1474016569,1,0
1474023786,0,1
1474030968,1,1
1474034564,2,0
1474041775,0,1
1474048961,0,2
1474052586,1,0
1474059753,0,2
1474063354,2,0
1474066987,2,0
1474092158,0,3
1474099357,1,0
1474102950,0,1
1474106570,1,0
1474124579,0,1
1474142565,0,1
1474149853,2,0
1474153432,1,0
1474164195,0,2
1474167771,0,1
1474171442,2,0
1474174975,1,0
1474192993,0,1
1474196562,1,1
1474211020,0,1
1474221799,1,0
1474236236,1,0
1474254250,0,1
1474257772,1,0
1474275760,0,1
1474279362,0,1
1474282969,2,0
1474301157,0,1
1474305353,1,0
1474308477,0,1
1474312085,1,0
1474323141,0,1
1474326516,0,1
1474331351,0,1
1474333639,1,0
1474337417,1,0
1474344576,1,0
1474351806,0,1
1474355348,1,0
1474358826,0,1
1474369569,2,1
1474373218,1,0
1474384270,0,2
1474388447,1,1
1474394567,1,0
1474398159,1,0
1474408979,0,1
1474419758,0,1
1474423603,0,1
1474427004,1,0
1474430987,0,1
1474434401,1,0
1474438140,1,0
1474449191,1,0
1474459832,0,1
1474466828,0,2
1474470875,1,1
1474475189,1,0
1474477385,1,0
1474481525,1,0
1474492547,0,1
1474496603,1,1
1474502622,1,1
1474506163,0,1
1474510032,1,1
1474513493,1,0
1474517177,1,1
1474528048,0,1
1474535190,2,0
1474547017,0,1
1474549380,1,1
1474560213,1,0
1474564656,0,3
1474571130,1,0
1474574912,1,1
1474592583,0,1
1474596190,1,0
1474607032,1,0
1474610848,0,1
1474621636,0,1
1474629659,0,1
1474632292,1,0
1474635958,1,0
1474664774,1,0
1474668538,1,0
1474678984,0,1
1474683828,0,1
1474686206,1,0
1474707951,1,0
1474711471,0,1
1474715161,1,0
1474718759,0,1
1474722345,1,0
1474736756,0,2
1474740320,1,0
1474747764,0,1
1474754753,1,1
1474761904,0,1
1474769377,1,1
1474772777,1,0
1474779874,1,0
1474787105,0,2
1474790781,1,0
1474794243,1,0
1474797837,0,1
1474801519,1,0
1474805139,1,0
1474808714,0,1
1474812419,1,1
1474816059,1,1
1474819585,0,1
1474826616,1,0
1474830314,0,1
1474841162,2,0
1474855552,0,2
1474862820,0,1
1474877842,0,1
1474881439,2,0
1474892253,1,0
1474898750,1,0
1474905951,0,2
1474927683,0,1
1474931462,3,0
1474945624,0,3
1474952825,1,0
1474960181,0,1
1474967233,2,0
1474971581,0,1
1474974563,1,0
1474981506,1,1
1474992714,0,1
1475003365,0,1
1475006935,0,1
1475010460,1,0
1475013969,2,0
1475021133,1,0
1475028453,0,1
1475035772,0,2
1475053425,1,0
1475067765,0,1
1475071359,1,0
1475078562,1,0
1475085764,0,2
1475100177,1,1
1475103766,1,0
1475107424,1,0
1475114632,1,0
1475125750,0,1
1475129271,0,1
1475136764,1,1
1475139778,1,0
1475146959,1,0
1475154581,1,1
1475157929,0,1
1475161637,1,1
1475176147,0,1
1475183269,1,0
1475197391,0,1
1475201406,1,0
1475208199,1,0
1475218972,1,0
1475222556,0,1
1475226161,1,0
1475234244,0,2
1475248642,1,0
1475262286,1,2
1475266275,1,0
1475273249,0,1
1475280419,1,1
1475283906,1,0
1475309866,0,2
1475327094,1,0
1475335288,0,1
1475355823,1,0
1475359540,2,1
1475366988,1,0
1475377543,0,1
1475380991,0,2
1475388241,1,0
1475395385,1,0
1475406369,0,1
1475427916,1,2
1475431442,1,0
1475442370,0,1
1475449544,1,0
1475453261,1,0
1475463776,1,2
1475471103,1,1
1475474709,1,0
1475478176,1,0
1475492671,0,1
1475496324,0,1
1475506966,0,1
1475514151,1,0
1475517768,1,0
1475521359,1,0
1475532166,0,1
1475535946,0,1
1475539733,0,2
1475543042,0,1
1475546712,3,0
1475557364,1,0
1475561127,1,0
1475572640,0,1
1475583438,1,0
1475587037,0,2
1475593524,1,0
1475596948,0,2
1475611350,1,0
1475614949,0,1
1475622149,2,0
1475632952,1,0
1475636555,0,1
1475640151,0,1
1475647355,2,0
1475661752,0,4
1475665352,3,1
1475679880,0,1
1475686954,1,0
1475704954,1,0
1475712128,0,2
1475719352,0,1
1475726554,2,0
1475730149,1,0
1475740954,0,1
1475748152,0,1
1475755352,2,0
1475769752,0,2
1475773355,1,0
1475776952,0,1
1475787753,1,0
1475791356,0,1
1475794953,1,0
1475802149,0,1
1475805756,2,0
1475820157,0,3
1475827349,2,0
1475834555,1,0
1475845353,0,1
1475848953,0,1
1475852553,1,0
1475863352,1,1
1475866950,0,2
1475877751,1,0
1475881349,1,0
1475892160,0,1
1475895784,1,1
1475899354,2,0
1475917355,0,2
1475928154,1,0
1475931758,0,1
1475935357,1,0
1475938948,2,0
1475953357,0,1
1475960561,1,0
1475967757,0,1
1475971325,0,2
1475978555,0,1
1475982151,1,0
1475985748,1,0
1476007355,1,1
1476010950,1,0
1476014549,0,1
1476018149,1,0
1476021755,0,1
1476025346,1,1
1476036147,1,0
1476039752,1,0
