DateTime,Entries,UniqueIPs
1468148676,6,6
1468152334,7,7
1468195527,6,6
1468206323,7,7
1468271193,6,6
1468274771,7,7
1468281904,6,6
1468292690,7,7
1468328669,6,6
1468332272,7,7
1468353930,6,6
1468379063,7,7
1468397152,6,6
1468400689,7,7
1468429480,5,5
1468433196,6,6
1468436687,7,7
1468476320,6,6
1468497884,7,7
1468512287,6,6
1468530291,5,5
1468533966,6,6
1468573697,5,5
1468577294,4,4
1468584470,3,3
1468588131,3,3
1468595308,4,4
1468602286,5,5
1468605889,6,6
1468616684,7,7
1468631106,6,6
1468634917,5,5
1468649095,6,6
1468659895,7,7
1468674289,6,6
1468677893,7,7
1468710337,6,6
1468713916,7,7
1468767896,6,6
1468778686,5,5
1468782257,6,6
1468789458,7,7
1468836272,6,6
1468839896,7,7
1468854278,6,6
1468868698,7,7
1468883131,6,6
1468897557,7,7
1468929882,6,6
1468951463,7,7
1468969498,6,6
1469001898,7,7
1469016276,6,6
1469048692,7,7
1469099082,6,6
1469120694,7,7
1469127876,6,6
1469135070,7,7
1469217884,6,6
1469221521,7,7
1469271871,6,6
1469275576,7,7
1469311577,6,6
1469315086,7,7
1469329487,6,6
1469336779,7,7
1469351076,6,6
1469354742,7,7
1469387092,7,7
1469397996,8,8
1469405096,7,7
1469408682,8,8
1469444681,7,7
1469466344,8,8
1469498813,7,7
1469502287,8,8
1469505929,7,7
1469513101,8,8
1469523882,7,7
1469531088,8,8
1469563549,7,7
1469570712,8,8
1469664289,7,7
1469689476,8,8
1469721916,7,7
1469739888,8,8
1469754452,7,7
1469757958,8,8
1469840777,7,7
1469851504,8,8
1469916358,7,7
1469938030,8,8
1469952353,7,7
1469973901,8,8
1469977481,7,7
1469981122,8,8
1470017173,7,7
1470035093,8,8
1470139488,7,7
1470146690,8,8
1470150273,7,7
1470161139,8,8
1470175590,7,7
1470179059,8,8
1470204260,7,7
1470207873,8,8
1470233102,7,7
1470236716,8,8
1470251103,7,7
1470258279,8,8
1470269147,7,7
1470276445,8,8
1470319470,6,6
1470323131,7,7
1470359122,8,8
1470373521,7,7
1470387884,8,8
1470402271,7,7
1470409526,8,8
1470434690,7,7
1470438337,6,6
1470441945,6,6
1470456279,8,8
1470524733,7,7
1470535546,8,8
1470549863,7,7
1470553474,8,8
1470557078,7,7
1470560681,8,8
1470567880,7,7
1470593059,8,8
1470632808,7,7
1470636265,8,8
1470650651,7,7
1470654273,7,7
1470665112,8,8
1470668708,7,7
1470672380,8,8
1470690258,7,7
1470711884,8,8
1470722655,7,7
1470726265,6,6
1470733457,8,8
1470747908,7,7
1470758674,8,8
1470812680,7,7
1470816317,8,8
1470834300,7,7
1470845092,8,8
1470881193,7,7
1470884664,8,8
1470924277,7,7
1470956659,9,9
1470981920,8,8
1470996291,9,9
1471003542,8,8
1471007090,8,8
1471010677,9,9
1471014284,8,8
1471021472,9,9
1471043067,8,8
1471046722,9,9
1471082739,8,8
1471086268,9,9
1471133077,8,8
1471136676,9,9
1471158285,8,8
1471187055,9,9
1471201466,8,8
1471212406,7,7
1471215846,7,7
1471219599,9,9
1471241098,8,8
1471248304,9,9
1471255466,8,8
1471262741,7,7
1471266335,8,8
1471277103,9,9
1471356289,8,8
1471374274,9,9
1471428322,8,8
1471431841,9,9
1471446359,8,8
1471457067,9,9
1471489479,8,8
1471493147,9,9
1471507519,8,8
1471511065,9,9
1471572276,8,8
1471586658,9,9
1471601137,8,8
1471615514,9,9
1471633479,8,8
1471647873,9,9
1471662282,8,8
