DateTime,Entries,UniqueIPs
1477490478,23,23
1477494076,19,19
1477497677,22,22
1477501276,18,18
1477504882,15,15
1477508476,15,15
1477512078,14,14
1477515676,15,15
1477519275,19,19
1477522876,19,19
1477526475,19,19
1477530100,17,17
1477533675,13,13
1477537276,15,15
1477540877,13,13
1477544475,15,15
1477548075,13,13
1477551676,13,13
1477555277,11,11
1477558875,11,11
1477562478,14,14
1477566076,14,14
1477573278,13,13
1477576878,10,10
1477580476,9,9
1477584076,11,11
1477587679,10,10
1477591275,12,12
1477594877,13,13
1477598477,15,15
1477602080,15,15
1477609277,13,13
1477612875,15,15
1477616476,16,16
1477620078,16,16
1477623677,18,18
1477627278,15,15
1477630878,14,14
1477634477,15,15
1477638076,14,14
1477641676,16,16
1477645278,14,14
1477648877,15,15
1477656077,18,18
1477659677,19,19
1477663278,19,19
1477666876,21,21
1477670475,20,20
1477674078,17,17
1477677675,15,15
1477681277,10,10
1477684877,15,15
1477688477,14,14
1477692077,17,17
1477695677,18,18
1477699276,17,17
1477702883,18,18
1477706481,18,18
1477710080,15,15
1477713683,17,17
1477717281,15,15
1477720881,13,13
1477724480,14,14
1477728084,15,15
1477731683,21,21
1477735282,19,19
1477738883,20,20
1477742483,18,18
1477746083,12,12
1477749684,14,14
1477753277,13,13
1477756882,15,15
1477760481,17,17
1477764081,18,18
1477767684,19,19
1477771281,18,18
1477774881,17,17
1477778480,16,16
1477782083,18,18
1477785679,18,18
1477789277,19,19
1477792875,20,20
1477796476,20,20
1477800075,17,17
1477803677,14,14
1477807277,20,20
1477810876,20,20
1477814475,21,21
1477818076,22,22
1477821676,18,18
1477825277,13,13
1477828878,14,14
1477832479,15,15
1477836080,14,14
1477839674,16,16
1477843275,17,17
1477846877,19,19
1477850479,21,21
1477854077,19,19
1477857677,18,18
1477861276,18,18
1477864877,16,16
1477868475,17,17
1477872046,16,16
1477875676,16,16
1477879277,17,17
1477882878,18,18
1477886476,20,20
1477890075,18,18
1477893676,18,18
1477897274,15,15
1477900876,19,19
1477904485,20,20
1477908076,23,23
1477915277,22,22
1477918878,22,22
1477922475,18,18
1477926077,17,17
1477933276,13,13
1477936875,13,13
1477940476,12,12
1477944077,16,16
1477947676,16,16
1477951278,13,13
1477954876,15,15
1477958493,17,17
1477962075,20,20
1477969284,20,20
1477973004,17,17
1477976476,14,14
1477980077,18,18
1477983804,18,18
1477987407,16,16
1477990877,17,17
1477994507,13,13
1477998077,15,15
1478001708,19,19
