DateTime,Entries,UniqueIPs
1478477573,1175,1175
1478479458,1177,1177
1478481404,1184,1184
1478483294,1183,1183
1478485229,1185,1185
1478487154,1190,1190
1478489054,1195,1195
1478490983,1192,1192
1478492916,1192,1192
1478494875,1200,1200
1478496748,1197,1197
1478498659,1193,1193
1478500629,1190,1190
1478502770,1197,1197
1478504657,1199,1199
1478506606,1180,1180
1478508509,1176,1176
1478510358,1178,1178
1478512347,1165,1165
1478514263,1165,1165
1478516194,1163,1163
1478518099,1155,1155
1478520071,1146,1146
1478521952,1146,1146
1478523855,1140,1140
1478525816,1143,1143
1478527703,943,943
1478529887,927,927
1478532056,927,927
1478533963,927,927
1478535854,923,923
1478537781,917,917
1478539715,918,918
1478541688,922,922
1478543552,923,923
1478545459,910,910
1478547394,917,917
1478549324,916,916
1478551233,920,920
1478553156,914,914
1478555076,916,916
1478557001,914,914
1478558912,915,915
1478560861,921,921
1478562763,921,921
1478564662,922,922
1478566587,928,928
1478568534,923,923
1478570473,918,918
1478572405,924,924
1478574412,922,922
1478576422,925,925
1478578344,930,930
1478580259,927,927
1478582193,931,931
1478584105,931,931
1478586031,944,944
1478587952,942,942
1478589855,935,935
1478591812,941,941
1478593704,943,943
1478595707,932,932
1478597552,968,968
1478599464,965,965
1478601388,969,969
1478603309,972,972
1478605214,980,980
1478607137,977,977
1478609054,980,980
1478611271,983,983
1478613160,984,984
1478615066,996,996
1478617016,1003,1003
1478618944,1007,1007
1478620886,1014,1014
1478622768,1020,1020
1478624674,1026,1026
1478626601,1025,1025
1478628545,1035,1035
1478630436,1039,1039
1478632352,1039,1039
1478634268,1033,1033
1478636200,1030,1030
1478638155,1033,1033
1478640071,1042,1042
1478641948,1046,1046
1478643881,1050,1050
1478645801,1054,1054
1478647694,1057,1057
1478649672,1052,1052
1478651537,1054,1054
1478653474,1055,1055
1478655403,1056,1056
1478657306,1048,1048
1478659237,1044,1044
1478661156,1050,1050
1478663052,1053,1053
1478664987,1048,1048
1478666911,1061,1061
1478668826,1064,1064
1478670749,1059,1059
1478672669,1063,1063
1478674589,1061,1061
1478676517,1056,1056
1478678479,1052,1052
1478680338,1053,1053
1478682253,1032,1032
1478684192,967,967
1478686147,974,974
1478688037,978,978
1478689986,988,988
1478691859,986,986
1478693794,987,987
1478695712,993,993
1478697622,986,986
1478699553,992,992
1478701455,990,990
1478703683,994,994
1478705571,994,994
1478707483,988,988
1478709389,966,966
1478711322,972,972
1478713489,975,975
1478715443,974,974
1478717323,968,968
1478719243,966,966
1478721170,966,966
1478723085,971,971
1478724983,975,975
1478726919,977,977
1478728934,970,970
1478730763,977,977
1478732669,979,979
1478734596,979,979
1478736775,978,978
1478738662,976,976
1478740601,979,979
1478742527,980,980
1478744433,984,984
1478746287,986,986
1478748265,983,983
1478750197,978,978
1478752103,982,982
1478754053,979,979
1478755948,979,979
1478757862,973,973
1478759801,956,956
1478761720,936,936
1478763659,932,932
1478765552,930,930
1478767473,930,930
1478769385,883,883
1478771304,866,866
1478773223,865,865
1478775146,865,865
1478777058,869,869
1478779002,867,867
1478780903,873,873
1478782884,872,872
1478784749,875,875
1478786872,863,863
1478788820,860,860
1478790766,867,867
1478792655,989,989
1478794580,1064,1064
1478796500,1061,1061
1478798411,1070,1070
1478800339,1063,1063
1478802262,1065,1065
1478804511,1064,1064
1478806355,1061,1061
1478808278,1064,1064
1478810206,1064,1064
1478812134,1059,1059
1478814036,1065,1065
1478815976,1068,1068
1478817868,1074,1074
1478819791,1080,1080
1478821719,1080,1080
1478823669,1074,1074
1478825566,1075,1075
1478827485,1068,1068
1478829382,1068,1068
1478831310,1069,1069
1478833289,1067,1067
1478835149,1070,1070
1478837328,1074,1074
1478839221,1070,1070
1478841169,1079,1079
1478843062,1079,1079
1478844992,1089,1089
1478846929,1076,1076
1478848844,1078,1078
1478850757,1103,1103
1478852675,1103,1103
1478854598,1097,1097
1478856521,1069,1069
1478858484,1069,1069
1478860364,1081,1081
1478862272,1080,1080
1478864209,1076,1076
1478866122,1077,1077
