DateTime,Entries,UniqueIPs
1478257263,246,247
1478258667,246,247
1478260130,247,248
1478261559,246,247
1478262994,248,249
1478268076,248,249
1478270903,247,248
1478274031,246,247
1478277147,245,246
1478278579,246,247
1478280031,245,246
1478281457,246,247
1478285770,247,248
1478291051,246,247
1478292503,247,248
1478294649,248,249
1478296109,250,251
1478299001,249,250
1478301136,250,251
1478304875,249,250
1478311729,209,210
1478312674,209,210
1478313395,208,209
1478319855,207,208
1478322054,213,215
1478324204,212,214
1478332105,206,208
1478333543,207,209
1478335697,210,212
1478339549,211,213
1478346011,210,212
1478346761,212,214
1478348899,211,213
1478364507,210,212
1478365268,211,213
1478369807,212,214
1478371942,211,213
1478378648,210,212
1478380119,211,213
1478381789,210,212
1478384659,211,213
1478388255,212,214
1478389010,213,215
1478398351,213,215
1478401936,225,227
1478406266,224,226
1478408459,209,211
1478417551,210,212
1478421142,211,213
1478429311,212,214
1478430746,213,215
1478434346,214,216
1478435783,215,217
1478437950,214,216
1478442262,215,217
1478445853,218,220
1478451141,217,219
1478460017,218,220
1478460737,226,228
1478461462,227,229
1478466504,226,228
1478473950,225,227
1478482827,226,228
1478483638,227,229
1478484260,226,228
1478486421,229,231
1478487896,213,215
1478490764,214,216
1478492908,216,218
1478498650,225,227
1478500824,226,228
1478505887,227,229
1478508743,228,230
1478509464,229,231
1478517637,230,232
1478520498,231,233
1478521941,230,232
1478527695,233,235
1478530577,234,236
1478533955,234,236
1478539706,236,238
1478550016,221,223
1478550760,222,224
1478555064,228,230
1478560822,229,231
1478574972,227,229
1478576413,227,229
1478578588,231,233
1478584580,216,218
1478585305,217,219
1478588902,218,220
1478591059,217,219
1478593232,218,220
1478593948,217,219
1478594656,218,220
1478596115,219,221
1478596827,218,220
1478598250,217,219
1478604017,216,218
1478607630,218,220
1478608349,216,218
1478610510,217,219
1478611233,222,224
1478611945,224,226
1478612656,226,228
1478613377,227,229
1478614108,226,228
1478617000,227,229
1478620575,228,230
1478624181,309,311
1478624896,391,393
1478625630,392,394
1478626346,393,395
1478631394,502,504
1478632103,504,506
1478632819,573,575
1478633545,574,576
1478634254,577,579
1478634971,625,627
1478635722,653,655
1478636410,682,684
1478637846,751,753
1478638589,787,789
1478639296,839,841
1478640031,921,923
1478640936,928,930
1478641698,1015,1017
1478642490,1081,1083
1478643149,1105,1107
1478643873,1194,1196
1478644580,1209,1211
1478645312,1292,1294
1478646071,1395,1398
1478646746,1440,1445
1478647456,1442,1447
1478648187,1444,1449
1478648906,1487,1492
1478649663,1531,1536
1478650361,1533,1538
1478651052,1592,1597
1478651787,1621,1626
1478652504,1623,1628
1478653274,1644,1650
1478653951,1662,1668
1478654649,1666,1672
1478655393,1671,1677
1478656103,1761,1767
1478656882,1774,1780
1478663310,1766,1771
1478673383,1765,1770
1478674872,1764,1769
1478684908,1763,1768
1478693786,1762,1767
1478694516,1761,1766
1478697390,1757,1762
1478698826,1756,1761
1478706992,1755,1760
1478709856,1719,1723
1478711312,1679,1683
1478716582,1602,1606
1478723076,1601,1605
1478726201,1598,1602
1478726910,1597,1601
1478728583,1590,1594
1478729313,1585,1589
1478730013,1573,1577
1478730752,1572,1576
1478731452,1567,1571
1478732188,1560,1564
1478732915,1558,1562
1478733612,1552,1556
1478734350,1546,1550
1478735048,1543,1547
1478735791,1539,1543
1478736767,1531,1535
1478739163,1525,1529
1478739851,1524,1528
1478741299,1513,1517
1478742736,1495,1499
1478743467,1487,1491
1478744184,1482,1486
1478744909,1480,1484
1478745621,1475,1479
1478746608,1472,1476
1478747299,1466,1470
1478748018,1461,1465
1478748741,1459,1463
1478749457,1454,1458
1478750189,1452,1456
1478750912,1445,1449
1478751611,1443,1447
1478752349,1441,1445
1478753053,1437,1441
1478753787,1435,1439
1478754513,1430,1434
1478755234,1425,1429
1478755940,1423,1427
1478756653,1420,1424
1478757378,1415,1419
1478758113,1411,1415
1478758836,1410,1414
1478759535,1407,1411
1478760257,1402,1406
1478760977,1399,1403
1478761706,1395,1399
1478762415,1394,1398
1478763155,1392,1396
1478763850,1388,1392
1478764593,1381,1385
1478765300,1379,1383
1478766051,1372,1376
1478767459,1368,1372
1478768182,1296,1300
1478768905,1275,1279
1478769629,1271,1275
1478770335,1270,1274
1478771054,1265,1269
1478772505,1259,1263
1478773215,1258,1262
1478773956,1257,1261
1478774646,1256,1260
1478776116,1247,1251
1478777563,1244,1248
1478778251,1239,1243
1478779697,1238,1242
1478780451,1234,1238
1478781854,1233,1237
1478782570,1231,1235
1478783305,1227,1231
1478785456,1225,1229
1478786185,1224,1228
1478787170,1221,1225
1478788594,1220,1224
1478790080,1214,1218
1478791451,342,342
1478792191,348,348
1478792913,403,403
1478795049,404,404
1478795799,494,494
1478797270,600,600
1478797936,602,602
1478798678,606,606
1478799394,607,607
1478800108,628,628
1478800864,676,676
1478801551,756,756
1478802254,758,758
1478802997,807,807
1478803701,834,834
1478804503,891,891
1478805142,974,974
1478805855,994,994
1478806588,1045,1046
1478807313,1065,1066
1478808070,1085,1086
1478808753,1094,1095
1478814489,1150,1151
1478815270,1160,1161
1478817379,1204,1205
1478818101,1205,1206
1478818888,1206,1207
1478820986,1257,1258
1478822468,1292,1293
1478823154,1317,1318
1478823850,1371,1372
1478824583,1441,1442
1478825296,1502,1503
1478826074,1505,1506
1478826749,1595,1597
1478827477,1693,1695
1478828180,1733,1735
1478828898,1755,1757
1478829676,1817,1820
1478830353,1829,1832
1478831053,1885,1889
1478831785,1911,1915
1478832496,1974,1978
1478833280,2011,2016
1478833946,2038,2043
1478855547,2037,2042
1478857696,2036,2041
1478861310,2032,2037
1478862089,2029,2034
1478877145,1979,1984
1478879320,1978,1983
1478880753,1964,1969
1478881452,1907,1912
1478882900,1906,1911
1478883705,1905,1910
1478885296,1904,1909
1478887475,1903,1908
1478888185,1902,1907
1478888913,1901,1906
1478891069,1900,1905
1478891785,1893,1898
1478892501,1892,1897
1478893942,1889,1893
1478894674,1885,1889
1478895375,1878,1882
1478896108,1767,1770
1478896820,1763,1766
1478898306,1760,1763
1478898999,1759,1762
1478899708,1521,1524
1478901881,1520,1523
1478904026,1519,1522
1478905465,1518,1521
1478907152,1517,1520
1478907877,1516,1519
1478908584,1515,1518
1478909305,1512,1515
1478910767,1511,1514
1478911457,1509,1512
1478912242,1504,1507
1478912905,1501,1504
1478913879,1492,1495
1478914585,1484,1487
1478915306,1479,1482
1478916749,1476,1479
1478917448,1467,1470
1478918193,1452,1455
1478918903,1446,1449
1478921055,1419,1422
1478921781,1412,1415
1478922494,1405,1408
1478923269,1401,1404
1478924658,1395,1398
1478925376,1392,1395
1478926107,1390,1393
1478926866,1382,1385
1478928258,1376,1379
1478928996,1374,1377
1478929703,1370,1373
1478931193,1359,1362
1478932591,1354,1357
1478934062,1347,1350
1478935454,1335,1338
1478936197,1333,1336
1478937678,1331,1334
1478939063,1330,1333
1478939774,1326,1329
1478940501,1318,1321
1478941280,1317,1320
1478941956,1313,1316
1478944093,1309,1312
1478944890,1304,1307
1478945555,1299,1302
1478946992,1289,1292
1478948478,1284,1287
1478949140,1282,1285
1478949860,1277,1280
1478951307,1270,1273
1478953231,1269,1272
1478953953,1268,1271
1478954649,1252,1255
1478955380,1243,1246
1478956094,1238,1241
1478957545,1230,1233
1478958262,1227,1230
1478958975,1226,1229
1478959715,1224,1227
1478960417,1222,1225
1478961153,1219,1222
1478961850,1212,1215
1478962584,1209,1212
1478963296,1204,1207
1478964026,1203,1206
1478964741,1202,1205
1478965463,1199,1202
1478966499,1190,1193
1478967861,1186,1189
1478969314,1184,1187
1478970745,1180,1183
1478971446,1178,1181
1478972209,1177,1180
1478972904,1175,1178
1478973682,1174,1177
1478975060,1171,1174
1478975786,1170,1173
1478976508,1166,1169
1478977278,1161,1164
1478977945,1157,1160
1478978655,1153,1156
1478979375,1152,1155
1478980876,1149,1152
1478981543,1148,1151
1478982248,1144,1147
1478982990,1140,1143
1478983709,1138,1141
1478985136,1137,1140
1478985857,1134,1137
1478986587,1133,1136
1478988081,1131,1134
1478989715,1124,1127
1478990434,1122,1125
1478991852,1118,1121
1478992584,1114,1117
1478993291,1113,1116
1478994027,1111,1114
1478994743,1108,1111
1478996177,1105,1108
1478996902,1101,1104
1478998386,1100,1103
1479000497,1095,1098
1479001944,1094,1097
1479002672,1092,1095
1479004127,1090,1093
1479005578,1089,1092
1479006975,1087,1090
1479007714,1085,1088
1479009149,1084,1087
1479010590,1083,1086
1479012031,1082,1085
1479013469,1080,1083
1479014205,1079,1082
1479014902,1078,1081
1479015633,1076,1079
1479016350,1075,1078
1479017064,1072,1075
1479019227,1071,1074
1479019948,1070,1073
1479020911,1069,1072
1479022345,1067,1070
1479023792,1065,1068
1479024508,1064,1067
1479025944,1062,1065
1479026654,1061,1064
1479027375,1057,1060
1479029555,1056,1059
1479031691,1054,1057
1479033152,1052,1055
1479033857,1051,1054
1479035322,1050,1053
1479036042,1049,1052
1479036745,1047,1050
1479038926,1046,1049
1479039894,1042,1045
1479041307,1041,1044
1479042065,1038,1041
1479042747,1037,1040
1479044186,1034,1037
1479044897,1033,1036
1479045742,1032,1035
1479046347,1031,1034
1479047056,1030,1033
1479047791,1029,1032
1479048497,1027,1030
1479049270,1024,1027
1479051398,1023,1026
1479053542,1020,1023
1479054986,1015,1018
1479056486,1013,1016
1479058093,1012,1015
1479058830,1010,1013
1479059547,1006,1009
1479062658,1004,1007
1479063370,1003,1006
1479064109,1002,1005
1479065558,1001,1004
1479066246,1000,1003
1479069858,998,1001
1479072037,997,1000
1479073456,996,999
1479074210,995,998
1479074910,991,994
1479075645,990,993
1479077785,989,992
1479079936,988,991
1479080658,986,989
1479082116,984,987
1479082815,983,986
1479083623,982,985
1479084979,980,983
1479089300,979,982
1479095783,977,980
1479097228,974,977
1479100809,973,976
1479102989,972,975
1479103702,971,974
1479105156,970,973
1479105856,966,969
1479106573,963,966
1479108750,960,963
1479110896,958,961
1479111630,957,960
1479114505,955,958
1479115209,953,956
1479116647,952,955
1479118112,951,954
1479118833,948,951
1479120257,946,949
1479121702,944,947
1479122417,943,946
1479123158,938,941
1479124602,937,940
1479126042,936,939
1479127455,934,937
1479128908,932,935
1479129623,930,933
1479131775,929,932
