DateTime,AddedIPs,RemovedIPs
1477902097,0,23
1477922177,1,0
1477923860,1,1
1477926064,42,0
1477926753,11,0
1477927707,48,1
1477928422,7,0
1477929862,61,3
1477930583,1,2
1477931308,16,0
1477932027,4,0
1477932755,4,0
1477933464,23,0
1477934180,31,0
1477934916,3,0
1477935613,39,0
1477936346,72,0
1477937058,35,0
1477937786,25,0
1477938508,56,0
1477939219,9,0
1477939946,30,0
1477940670,40,0
1477941376,2,0
1477964921,0,1
1477970668,0,1
1477971375,0,3
1477977133,0,1
1477998981,0,7
1478002588,0,4
1478009068,0,1
1478027305,0,1
1478030195,0,1
1478046049,0,1
1478047459,0,3
1478048172,0,4
1478051786,0,1
1478060418,0,1
1478061134,0,1
1478070495,0,1
1478077460,0,1
1478082749,0,6
1478091394,0,1
1478102180,0,1
1478110814,0,32
1478111552,0,41
1478115861,0,1
1478116600,0,1
1478117306,0,5
1478118741,0,17
1478119659,0,10
1478120476,0,8
1478121155,0,4
1478121857,0,4
1478122576,0,3
1478123305,0,3
1478124074,0,3
1478124749,0,4
1478125450,0,3
1478126201,0,5
1478127665,0,3
1478128334,0,3
1478129060,0,2
1478129795,0,3
1478131259,0,1
1478131950,0,1
1478132659,0,4
1478133383,0,1
1478134094,0,1
1478134864,0,2
1478135549,0,2
1478136255,0,3
1478136973,0,3
1478137706,0,3
1478138483,0,3
1478139148,0,1
1478139855,0,1
1478141294,0,3
1478142068,0,3
1478142744,1,0
1478143482,0,3
1478144193,0,2
1478144901,0,1
1478145675,0,3
1478146343,0,1
1478147783,0,1
1478148497,0,3
1478149943,0,4
1478152859,0,1
1478154246,0,1
1478155006,0,2
1478157144,0,1
1478160051,0,1
1478160747,1,1
1478161450,2,0
1478162188,0,2
1478162893,0,2
1478163670,0,4
1478165058,0,1
1478166506,0,2
1478168656,0,1
1478170109,0,107
1478170883,0,1
1478171543,0,4
1478172261,0,131
1478174469,3,1
1478176574,0,2
1478180191,0,1
1478183313,0,1
1478190744,0,1
1478192937,1,0
1478194358,1,0
1478201055,0,1
1478206094,0,1
1478207553,1,0
1478211156,0,1
1478211851,1,0
1478212590,0,1
1478224336,1,0
1478228961,0,1
1478233470,1,0
1478236344,0,2
1478237803,0,2
1478238568,1,1
1478240651,0,1
1478252909,0,1
1478254340,0,1
1478258667,1,0
1478260130,1,0
1478261559,0,1
1478262994,1,0
1478267299,0,1
1478268742,0,1
1478272610,0,3
1478274031,0,77
1478276442,0,1
1478277147,0,32
1478277855,0,8
1478278579,1,49
1478280751,0,1
1478281457,0,2
1478282176,0,8
1478283623,0,8
1478285059,0,2
1478285770,1,1
1478286514,0,1
1478287946,0,3
1478288923,0,5
1478289667,0,2
1478291797,0,2
1478293963,0,4
1478295387,0,5
1478296109,2,0
1478296871,0,2
1478297544,0,2
1478299001,0,3
1478300466,0,1
1478301136,1,0
1478301863,0,2
1478303308,0,1
1478304875,0,2
1478306415,0,1
1478307144,0,2
1478309298,0,1
1478311729,0,2
1478312674,0,1
1478314111,0,1
1478315553,0,2
1478317724,0,2
1478318497,0,1
1478320612,0,1
1478323449,0,2
1478326352,0,3
1478327793,0,2
1478329269,0,3
1478336469,0,3
1478338110,0,1
1478339549,0,1
1478340981,0,1
1478345305,0,2
1478346011,0,1
1478351777,0,2
1478353221,0,2
1478356597,0,2
1478358751,0,1
1478363778,0,1
1478365268,0,2
1478367398,0,1
1478368103,0,2
1478370505,0,155
1478375781,0,1
1478381789,0,1
1478388255,1,0
1478401936,0,1
1478404867,0,1
1478417551,1,0
1478421142,1,0
1478429311,1,0
1478430746,1,0
1478432893,0,59
1478434346,1,0
1478437276,0,2
1478437950,0,1
1478438647,0,2
1478440092,0,4
1478441543,0,2
1478442262,0,4
1478442994,0,314
1478445853,3,3
1478461462,1,0
1478462932,0,1
1478465789,0,1
1478466504,0,1
1478473272,0,1
1478479951,0,1
1478482827,1,0
1478483638,1,0
1478486421,1,0
1478490764,1,0
1478492908,1,0
1478497948,0,1
1478498650,0,1
1478500824,1,0
1478508743,0,4
1478509464,1,0
1478514753,0,1
1478516904,0,2
1478517637,1,0
1478521941,0,1
1478527695,1,0
1478530577,0,58
1478533955,0,117
1478539706,2,10
1478544978,0,31
1478550016,0,35
1478550760,1,3
1478555064,1,21
1478560822,1,22
1478574972,1,44
1478576413,0,5
1478578588,0,12
1478583141,0,16
1478583852,0,1
1478584580,0,115
1478585305,1,1
1478586016,0,1
1478586738,0,3
1478587465,0,1
1478588183,0,2
1478589630,0,2
1478591059,0,4
1478591774,0,2
1478592493,0,2
1478593232,1,1
1478593948,0,1
1478594656,0,1
1478595378,0,2
1478596115,0,3
1478596827,0,2
1478598993,0,1
1478600420,0,2
1478601143,0,3
1478602586,0,1
1478603300,0,1
1478605458,0,1
1478606171,0,1
1478607630,2,2
1478609046,0,1
1478609792,0,1
1478610510,1,0
1478611233,2,3
1478611945,1,2
1478612656,0,3
1478613377,1,1
1478614108,0,1
1478615552,0,3
1478617000,1,2
1478618428,0,2
1478619863,0,1
1478620575,1,0
1478621324,0,1
1478622754,0,2
1478624181,67,1
1478624896,69,320
1478625630,1,0
1478626346,2,0
1478631394,100,0
1478632103,2,0
1478632819,62,1
1478633545,1,0
1478634254,3,0
1478634971,46,0
1478635722,26,0
1478636410,27,0
1478637846,63,0
1478638589,34,0
1478639296,48,0
1478640031,80,1
1478640936,5,0
1478641698,79,0
1478642490,61,0
1478643149,22,1
1478643873,86,0
1478644580,15,0
1478645312,77,0
1478646071,102,0
1478646746,43,1
1478647456,2,0
1478648187,2,0
1478648906,40,0
1478649663,41,0
1478650361,2,0
1478651052,56,0
1478651787,28,0
1478652504,2,0
1478653274,22,0
1478653951,17,1
1478654649,4,0
1478655393,5,0
1478656103,86,0
1478656882,12,0
1478671941,0,1
1478693786,0,1
1478696651,0,1
1478712747,0,1
1478714184,0,6
1478718753,0,1
1478720895,0,1
1478762415,0,1
1478770335,0,1
1478771782,0,6
1478775383,0,1
1478777563,0,1
1478791451,73,0
1478792191,1,1
1478792913,29,0
1478795049,1,0
1478795799,40,0
1478797270,53,0
1478797936,2,0
1478798678,1,1
1478799394,1,0
1478800108,8,0
1478800864,23,0
1478801551,43,0
1478802254,2,0
1478802997,25,0
1478803701,13,0
1478804503,29,0
1478805142,46,0
1478805855,7,0
1478806588,29,0
1478807313,14,0
1478808070,16,0
1478808753,3,0
1478814489,31,0
1478815270,6,0
1478817379,27,0
1478820986,26,0
1478822468,23,0
1478823154,8,0
1478823850,32,0
1478824583,41,0
1478825296,33,0
1478826074,3,0
1478826749,56,0
1478827477,54,0
1478828180,22,0
1478828898,18,0
1478829676,34,0
1478830353,9,17
1478831053,41,0
1478831785,17,0
1478832496,42,0
1478833280,24,0
1478833946,23,0
1478838262,0,1
1478843293,0,1
1478850505,0,2
1478867062,0,1
1478896820,0,1
1478926866,0,4
1478969314,0,1
1478984480,0,1
1478992584,0,1
1479006975,0,5
1479039894,0,1
1479064818,0,4
1479091455,0,1
1479095049,0,1
1479102989,0,5
1479126743,0,1
1479137795,35,0
1479138501,2,0
1479139274,27,1
1479140206,2,0
