DateTime,Entries,UniqueIPs
1478527695,191,191
1478530577,191,191
1478533955,192,192
1478539706,193,193
1478544978,192,192
1478550016,191,191
1478550760,192,192
1478555064,196,196
1478560822,197,197
1478574972,198,198
1478576413,199,199
1478578588,190,190
1478585305,191,191
1478587465,190,190
1478588902,190,190
1478593232,190,190
1478594656,190,190
1478596115,191,191
1478598993,190,190
1478607630,191,191
1478608349,190,190
1478610510,191,191
1478611233,188,188
1478611945,190,190
1478612656,190,190
1478613377,191,191
1478614108,189,189
1478614809,191,191
1478616248,189,189
1478617000,190,190
1478618428,192,192
1478620575,191,191
1478621324,193,193
1478622016,191,191
1478622754,193,193
1478623447,191,191
1478624181,185,185
1478624896,181,181
1478625630,181,181
1478626346,183,183
1478627056,184,184
1478627773,183,183
1478629210,184,184
1478631394,142,142
1478632103,144,144
1478632819,228,228
1478633545,226,226
1478634254,229,229
1478634971,290,290
1478635722,321,321
1478636410,356,356
1478637146,357,357
1478637846,434,434
1478638589,474,474
1478639296,533,533
1478640031,625,625
1478640936,635,635
1478641698,741,741
1478642490,814,814
1478643149,831,831
1478643873,914,914
1478644580,928,928
1478645312,1023,1023
1478646071,1136,1136
1478646746,1185,1185
1478647456,1180,1180
1478648187,1173,1173
1478648906,1222,1222
1478649663,1268,1268
1478650361,1265,1265
1478651052,1331,1331
1478651787,1364,1364
1478652504,1363,1363
1478653274,1384,1384
1478653951,1404,1404
1478654649,1402,1402
1478655393,1399,1399
1478656103,1498,1498
1478656882,1499,1499
1478657549,1491,1491
1478658263,1486,1486
1478658984,1484,1484
1478659695,1479,1479
1478660466,1476,1476
1478661148,1470,1470
1478661856,1465,1465
1478662584,1463,1463
1478663310,1458,1458
1478664057,1456,1456
1478664785,1449,1449
1478665448,1447,1447
1478666189,1445,1445
1478666903,1441,1441
1478667665,1439,1439
1478668346,1434,1434
1478669049,1429,1429
1478669796,1427,1427
1478670507,1424,1424
1478671265,1419,1419
1478671941,1415,1415
1478672661,1414,1414
1478673383,1411,1411
1478674108,1406,1406
1478674872,1403,1403
1478675558,1399,1399
1478676252,1398,1398
1478676990,1396,1396
1478677700,1392,1392
1478678469,605,605
1478679147,1383,1383
1478679851,602,602
1478680591,1376,1376
1478681308,1372,1372
1478682090,589,589
1478682735,1279,1279
1478683456,565,565
1478684184,1274,1274
1478684908,564,564
1478685661,1269,1269
1478686349,564,564
1478687063,563,563
1478687781,562,562
1478688511,561,561
1478689259,1260,1260
1478689976,560,560
1478691393,1248,1248
1478692098,556,556
1478693083,555,555
1478693786,1242,1242
1478694516,554,554
1478695950,1237,1237
1478696651,1235,1235
1478697390,553,553
1478698098,1231,1231
1478699543,1229,1229
1478700265,1228,1228
1478700983,168,168
1478701710,1225,1225
1478702421,1224,1224
1478703864,168,168
1478704591,1217,1217
1478705562,168,168
1478714916,167,167
1478717315,166,166
1478741299,164,164
1478764593,167,167
1478765300,166,166
1478766736,163,163
1478768182,166,166
1478769629,163,163
1478771782,164,164
1478772505,162,162
1478773215,164,164
1478774646,162,162
1478775383,164,164
