DateTime,Entries,UniqueIPs
1478752352,5535,5564
1478753056,5538,5567
1478753790,5542,5571
1478754515,5539,5568
1478755236,5544,5573
1478755942,5537,5566
1478756655,5538,5567
1478757381,5538,5567
1478758116,5542,5571
1478758838,5542,5571
1478759538,5541,5570
1478760259,5542,5571
1478760979,5544,5573
1478761709,5541,5570
1478762417,5548,5577
1478763157,5544,5572
1478763852,5550,5578
1478764595,5549,5577
1478765303,5554,5582
1478766054,5551,5579
1478766738,5551,5579
1478767462,5554,5582
1478768184,5550,5578
1478768908,5560,5588
1478769631,5558,5586
1478770338,5550,5578
1478771056,5556,5584
1478771785,5551,5579
1478772508,5550,5578
1478773217,5558,5586
1478773958,5559,5587
1478774648,5557,5585
1478775385,5555,5583
1478776118,5556,5584
1478776818,5561,5589
1478777565,5556,5584
1478778253,5551,5579
1478778996,5551,5579
1478779699,5540,5568
1478780453,5538,5566
1478781147,5535,5563
1478781856,5536,5564
1478782573,5538,5566
1478783308,5541,5569
1478784022,5545,5573
1478784741,5548,5576
1478785458,5545,5573
1478786187,5558,5586
1478787172,5554,5582
1478787850,5558,5586
1478788597,5561,5589
1478789222,5561,5589
1478790082,5564,5591
1478790747,5559,5586
1478791453,5557,5584
1478792193,5564,5591
1478792915,5561,5588
1478793667,5561,5588
1478794350,5561,5588
1478795052,5559,5586
1478795802,5557,5584
1478796494,5559,5586
1478797272,5561,5588
1478797939,5559,5586
1478798680,5568,5595
1478799397,5567,5594
1478800110,5565,5592
1478800867,5565,5592
1478801554,5564,5591
1478802256,5570,5597
1478802999,5553,5580
1478803704,5560,5587
1478804506,5552,5579
1478805145,5567,5594
1478805857,5558,5585
1478806591,5556,5583
1478807315,5550,5577
1478808073,5566,5593
1478808756,5548,5575
1478809453,5561,5588
1478810200,5545,5572
1478810906,5545,5572
1478811666,5547,5574
1478812340,5539,5566
1478813065,5535,5562
1478813787,5535,5562
1478814491,5534,5561
1478815273,5528,5555
1478815970,5531,5558
1478816649,5533,5560
1478817383,5528,5555
1478818103,5519,5546
1478818890,5513,5540
1478819551,5510,5537
1478820260,5512,5539
1478820989,5514,5541
1478821712,5514,5541
1478822470,5514,5541
1478823157,5521,5548
1478823853,5507,5534
1478824586,5506,5533
1478825299,5508,5535
1478826076,5510,5537
1478826752,5512,5539
1478827479,5509,5536
1478828183,5505,5532
1478828901,5501,5528
1478829678,5501,5528
1478830356,5505,5533
1478831056,5501,5529
1478831788,5501,5529
1478832498,5498,5526
1478833283,5497,5525
1478833949,5500,5528
1478834658,5508,5536
1478835389,5505,5533
1478836094,5504,5532
1478836867,5499,5527
1478837549,5498,5526
1478838264,5496,5524
1478838989,5499,5527
1478839717,5499,5527
1478840462,5494,5522
1478841161,5495,5523
1478841854,5490,5518
1478842597,5490,5518
1478843295,5493,5521
1478844112,5497,5525
1478844748,5491,5519
1478845463,5488,5516
1478846178,5490,5518
1478846923,5493,5521
1478847670,5495,5523
1478848347,5492,5520
1478849049,5493,5521
1478849795,5493,5521
1478850508,5499,5527
1478851272,5505,5533
