DateTime,Entries,UniqueIPs
1479090738,4309,4309
1479091457,4296,4296
1479092180,4303,4303
1479092911,4298,4298
1479093622,4287,4287
1479094357,4289,4289
1479095052,4285,4285
1479095785,4297,4297
1479096501,4299,4299
1479097230,4299,4299
1479097951,4308,4308
1479098660,4300,4300
1479099387,4305,4305
1479100123,4287,4287
1479100812,4308,4308
1479101552,4306,4306
1479102249,4304,4304
1479102992,4295,4295
1479103705,4303,4303
1479104430,4306,4306
1479105158,4303,4303
1479105858,4311,4311
1479106576,4313,4313
1479107312,4321,4321
1479108021,4315,4315
1479108752,4312,4312
1479109451,4311,4311
1479110189,4309,4309
1479110899,4317,4317
1479111633,4316,4316
1479112346,4318,4318
1479113064,4328,4328
1479113775,4323,4323
1479114507,4318,4318
1479115212,4319,4319
1479115946,4325,4325
1479116649,4339,4339
1479117400,4331,4331
1479118115,4335,4335
1479118835,4321,4321
1479119545,4327,4327
1479120259,4343,4343
1479120973,4335,4335
1479121705,4338,4338
1479122420,4343,4343
1479123161,4339,4339
1479123849,4337,4337
1479124605,4324,4324
1479125305,4329,4329
1479126045,4329,4329
1479126746,4331,4331
1479127458,4332,4332
1479128177,4341,4341
1479128910,4326,4326
1479129626,4341,4341
1479130343,4347,4347
1479131057,4342,4342
1479131778,4339,4339
1479132507,4344,4344
1479133468,4342,4342
1479134187,4356,4356
1479134915,4371,4371
1479135678,4363,4363
1479136354,4366,4366
1479137052,4359,4359
1479137797,4366,4366
1479138504,4359,4359
1479139277,4366,4366
1479140209,4364,4364
1479140900,4364,4364
1479141624,4364,4364
1479142343,4377,4377
1479143069,4372,4372
1479143783,4383,4383
1479144502,4381,4381
1479145219,4392,4392
1479145957,4403,4403
1479146673,4399,4399
1479147502,4404,4404
1479148587,4410,4410
1479149299,4427,4427
1479150108,4434,4434
1479151215,4430,4430
1479151955,4433,4433
1479152649,4434,4434
1479153384,4437,4437
1479154118,4438,4438
1479154821,4432,4432
1479155539,4427,4427
1479156266,4430,4430
1479156972,4428,4428
1479157741,4427,4427
1479158409,4432,4432
1479159150,4424,4424
1479159851,4406,4406
1479160596,4402,4402
1479161307,4405,4405
1479162031,4402,4402
1479162774,4378,4378
1479163477,4371,4371
1479164174,4375,4375
1479164901,4372,4372
1479165640,4378,4378
1479166338,4357,4357
1479167059,4363,4363
1479167780,4352,4352
1479168521,4357,4357
1479169219,4349,4349
1479169977,4344,4344
1479170690,4340,4340
1479171393,4342,4342
1479172132,4338,4338
1479172840,4343,4343
1479173553,4340,4340
1479174258,4336,4336
1479174981,4335,4335
1479175728,4353,4353
1479176418,4340,4340
1479177158,4340,4340
1479177871,4338,4338
1479178588,4340,4340
1479179305,4342,4342
1479180025,4343,4343
1479180737,4349,4349
1479181468,4337,4337
1479182185,4329,4329
1479182940,4332,4332
1479183610,4326,4326
1479184362,4325,4325
1479185057,4325,4325
1479185792,4320,4320
1479186506,4325,4325
1479187470,4336,4336
1479188233,4327,4327
1479188915,4326,4326
1479189668,4320,4320
1479190356,4313,4313
1479191054,4306,4306
1479191795,4300,4300
1479192502,4302,4302
1479193281,4293,4293
1479193946,4302,4302
1479194665,4317,4317
1479195519,4329,4329
1479196345,4326,4326
1479197095,4325,4325
1479198041,4329,4329
1479198737,4326,4326
1479199593,4327,4327
1479200476,4326,4326
1479201185,4322,4322
1479201855,4324,4324
1479202585,4324,4324
1479203437,4326,4326
1479204072,4327,4327
1479204750,4323,4323
1479205451,4335,4335
1479206194,4326,4326
1479206907,4322,4322
1479207675,4327,4327
1479208356,4332,4332
1479209052,4341,4341
1479209799,4346,4346
1479210512,4339,4339
1479211268,4325,4325
1479211954,4341,4341
1479212658,4345,4345
1479213390,4351,4351
1479214112,4338,4338
1479214888,4342,4342
1479215559,4313,4313
1479216262,4349,4349
1479216991,4350,4350
1479217700,4346,4346
1479218486,4350,4350
1479219180,4354,4354
1479220119,4359,4359
1479220819,4356,4356
1479221559,4359,4359
1479222255,4366,4366
1479223245,4366,4366
1479223945,4364,4364
1479224659,4366,4366
1479225386,4355,4355
1479226123,4361,4361
1479226838,4354,4354
1479227548,4367,4367
1479228258,4363,4363
1479228978,4352,4352
1479229712,4375,4375
1479230437,4376,4376
1479231145,4391,4391
1479231864,4384,4384
1479232572,4380,4380
1479233308,4370,4370
1479234297,4368,4368
1479234989,4359,4359
1479235719,4364,4364
1479236483,4379,4379
1479237191,4385,4385
1479237884,4386,4386
1479238594,4375,4375
1479239305,4376,4376
1479240085,4376,4376
1479240747,4380,4380
1479241466,4379,4379
1479242182,4376,4376
1479242910,4364,4364
1479243674,4365,4365
1479244344,4355,4355
1479245049,4351,4351
1479245787,4352,4352
1479246505,4359,4359
1479247301,4358,4358
1479247955,4353,4353
1479248650,4342,4342
1479249645,4334,4334
1479250359,4328,4328
1479251332,4322,4322
1479252283,4330,4330
1479252992,4327,4327
1479253705,4322,4322
1479254462,4316,4316
1479255411,4315,4315
1479256109,4310,4310
1479256819,4315,4315
1479257539,4305,4305
1479258263,4304,4304
1479258991,4315,4315
1479259709,4308,4308
1479260443,4298,4298
1479261153,4295,4295
1479262127,4289,4289
1479263079,4300,4300
1479263785,4287,4287
1479264515,4288,4288
1479265262,4289,4289
1479265949,4289,4289
1479266648,4284,4284
1479267395,4292,4292
1479268094,4291,4291
1479268889,4291,4291
1479269553,4293,4293
1479270255,4284,4284
1479270995,4274,4274
1479271696,4277,4277
1479272478,4261,4261
1479273158,4268,4268
1479273854,4254,4254
1479274611,4264,4264
1479275301,4263,4263
1479276067,4248,4248
1479276744,4261,4261
1479277466,4250,4250
1479278183,4260,4260
1479278909,4260,4260
1479279678,4272,4272
1479280363,4261,4261
1479281053,4260,4260
1479281784,4260,4260
1479282504,4269,4269
1479283291,4269,4269
1479283934,4274,4274
1479284660,4278,4278
1479285386,4278,4278
1479286119,4277,4277
1479286880,4288,4288
1479287557,4276,4276
1479288252,4272,4272
1479288991,4271,4271
1479289701,4263,4263
1479290474,4259,4259
1479291138,4265,4265
1479291871,4272,4272
1479292582,4271,4271
1479293309,4269,4269
1479294065,4280,4280
1479294745,4282,4282
1479295714,4286,4286
1479296421,4286,4286
1479297154,4294,4294
1479297858,4297,4297
1479298857,4296,4296
1479299806,4306,4306
1479300495,4301,4301
1479301280,4299,4299
1479301948,4299,4299
1479302673,4299,4299
1479303389,4314,4314
1479304115,4313,4313
1479304891,4309,4309
1479305805,4309,4309
1479306503,4318,4318
1479307235,4325,4325
1479307948,4319,4319
1479308665,4330,4330
1479309382,4327,4327
1479310104,4317,4317
1479310824,4316,4316
1479311565,4324,4324
1479312297,4332,4332
1479312985,4333,4333
1479313697,4335,4335
1479314458,4329,4329
1479315150,4314,4314
1479315911,4312,4312
1479316832,4294,4294
1479317631,4331,4331
1479318267,4343,4343
1479318976,4327,4327
1479319706,4344,4344
1479320421,4362,4362
1479321157,4365,4365
1479321854,4367,4367
1479322605,4365,4365
1479323338,4365,4365
1479324015,4361,4361
1479324752,4365,4365
1479325451,4369,4369
1479326191,4372,4372
1479326917,4375,4375
1479327622,4370,4370
1479328339,4349,4349
1479329066,4349,4349
1479329789,4352,4352
1479330504,4359,4359
1479331222,4363,4363
1479331938,4357,4357
1479332657,4360,4360
1479333381,4347,4347
1479334111,4325,4325
1479334848,4320,4320
1479335540,4334,4334
1479336508,4328,4328
1479337292,4324,4324
1479337942,4318,4318
1479338667,4321,4321
1479339394,4318,4318
1479340105,4311,4311
1479340876,4315,4315
1479341560,4309,4309
1479342253,4319,4319
1479342987,4311,4311
1479343698,4304,4304
1479344481,4303,4303
1479345144,4313,4313
1479345863,4311,4311
1479346583,4317,4317
1479347314,4320,4320
1479348070,4324,4324
1479348754,4319,4319
1479349448,4307,4307
1479350193,4302,4302
1479350897,4295,4295
1479351688,4285,4285
1479352605,4277,4277
1479353292,4270,4270
1479354046,4274,4274
1479354748,4283,4283
1479355474,4278,4278
1479356433,4272,4272
1479357140,4268,4268
1479357875,4280,4280
1479358583,4273,4273
1479359324,4276,4276
1479360011,4274,4274
1479360747,4262,4262
1479361448,4263,4263
1479362191,4254,4254
1479362898,4259,4259
1479363641,4263,4263
1479364350,4263,4263
1479365059,4268,4268
1479366104,4280,4280
1479367002,4266,4266
1479367964,4270,4270
1479368651,4267,4267
1479369398,4267,4267
1479370107,4270,4270
1479370826,4276,4276
1479371538,4274,4274
1479372259,4281,4281
1479372981,4285,4285
1479373716,4276,4276
1479374421,4278,4278
1479375160,4286,4286
1479375851,4286,4286
1479376593,4301,4301
1479377553,4311,4311
1479378249,4310,4310
1479379010,4316,4316
1479379705,4306,4306
1479380498,4306,4306
1479381139,4317,4317
1479381855,4319,4319
1479382606,4312,4312
1479383294,4313,4313
1479384116,4315,4315
1479384821,4321,4321
1479385712,4330,4330
1479386421,4334,4334
1479387167,4337,4337
1479387866,4349,4349
1479388607,4364,4364
1479389310,4354,4354
1479390016,4353,4353
1479390751,4356,4356
1479391462,4338,4338
1479392195,4358,4358
1479392902,4365,4365
1479393636,4367,4367
1479394354,4366,4366
1479395327,4373,4373
1479396014,4353,4353
1479396748,4336,4336
1479397455,4345,4345
1479398191,4360,4360
1479398901,4355,4355
1479399632,4365,4365
1479400336,4375,4375
1479401062,4383,4383
1479402091,4374,4374
1479402743,4374,4374
1479403459,4376,4376
1479404203,4388,4388
1479404908,4393,4393
1479405671,4401,4401
1479406619,4396,4396
1479407302,4396,4396
1479408039,4402,4402
1479408737,4395,4395
1479409468,4407,4407
1479410187,4404,4404
1479410916,4412,4412
1479411624,4404,4404
1479412349,4397,4397
1479413335,4405,4405
1479414012,4403,4403
1479414759,4405,4405
1479415458,4398,4398
1479416189,4396,4396
1479416902,4401,4401
1479417624,4401,4401
1479418341,4402,4402
1479419059,4400,4400
1479419781,4384,4384
1479420507,4389,4389
1479421211,4387,4387
1479421953,4380,4380
1479422654,4380,4380
1479423392,4369,4369
1479424118,4355,4355
1479424813,4342,4342
1479425550,4333,4333
1479426252,4338,4338
1479426994,4334,4334
1479427718,4339,4339
1479428418,4346,4346
1479429157,4336,4336
1479429867,4336,4336
1479430581,4320,4320
1479431297,4318,4318
1479432035,4316,4316
1479432739,4306,4306
1479433463,4304,4304
1479434182,4294,4294
1479434914,4302,4302
1479435616,4301,4301
1479436350,4281,4281
1479437052,4271,4271
1479437793,4283,4283
1479438511,4288,4288
1479439228,4294,4294
1479439936,4279,4279
1479440666,4280,4280
1479441376,4264,4264
1479442124,4278,4278
1479442821,4273,4273
1479443557,4269,4269
1479444252,4269,4269
1479444990,4269,4269
1479445704,4264,4264
1479446437,4274,4274
1479447150,4273,4273
1479447857,4265,4265
1479448573,4274,4274
1479449320,4233,4233
1479450020,4249,4249
1479450754,4253,4253
1479451451,4257,4257
1479452197,4258,4258
1479452906,4261,4261
1479453630,4261,4261
1479454350,4268,4268
1479455058,4281,4281
1479455780,4287,4287
1479456511,4281,4281
1479457213,4279,4279
1479457956,4280,4280
1479458651,4284,4284
