DateTime,AddedIPs,RemovedIPs
1478574204,3,6
1478575688,11,1
1478576529,6,12
1478577367,6,0
1478578210,7,10
1478579413,7,15
1478580127,5,1
1478581509,13,5
1478582410,3,0
1478583614,4,11
1478585107,11,10
1478586010,8,0
1478586909,13,9
1478587953,13,8
1478589011,8,11
1478589995,7,1
1478590814,5,10
1478592311,8,6
1478593214,8,0
1478594175,2,10
1478595371,7,5
1478596212,5,6
1478598132,17,8
1478600052,10,7
1478601011,3,8
1478601727,1,4
1478602660,16,0
1478603502,17,8
1478604612,22,13
1478608810,192,18
1478609982,13,7
1478610914,14,0
1478611811,8,13
1478613499,17,19
1478615410,12,13
1478616907,15,3
1478617812,8,11
1478619171,10,10
1478621109,17,11
1478622012,11,0
1478622910,7,8
1478623808,10,1
1478624651,11,8
1478625247,4,1
1478626213,9,10
1478628607,26,8
1478630109,11,14
1478631301,13,4
1478632512,7,6
1478633411,11,15
1478634129,11,2
1478634972,4,0
1478635810,9,9
1478636887,9,0
1478637911,4,29
1478639107,17,7
1478640011,6,0
1478641212,8,15
1478642168,12,0
1478643011,11,4
1478644930,18,19
1478646198,8,8
1478647068,8,0
1478648408,10,11
1478649308,4,1
1478650211,4,8
1478651412,16,12
1478652311,7,6
1478653425,4,9
1478655020,12,14
1478655911,6,4
1478657112,9,10
1478658013,2,0
1478659333,9,12
1478660168,9,1
1478661011,9,9
1478662087,7,0
1478662931,5,17
1478663908,8,7
1478664910,6,1
1478665687,7,0
1478666712,4,13
1478668452,12,8
1478669411,5,18
1478670313,7,3
1478671510,7,11
1478672413,4,0
1478673313,5,12
1478674570,8,3
1478675415,5,7
1478676323,7,2
1478677213,3,28
1478678711,11,10
1478679610,13,2
1478680649,5,14
1478681707,10,5
1478682802,7,9
1478683817,9,18
1478685219,10,2
1478686336,8,12
1478687410,10,7
1478688310,6,4
1478690123,15,8
1478691307,7,12
1478693811,11,14
1478694612,8,12
1478695512,6,3
1478697247,14,8
1478698111,9,1
1478698931,7,16
1478700850,14,4
1478701687,5,0
1478703587,10,25
1478704513,8,1
1478705414,4,13
1478706133,6,4
1478706967,11,0
1478707771,8,10
1478708672,5,1
1478709612,10,8255
1478711111,8254,6
1478711648,2,1
1478712616,7,11
1478713513,10,1
1478714428,52,5
1478715310,4,0
1478716088,2,1
1478717114,10,7
1478718847,11,11
1478719811,6,9
1478720712,6,4
1478721907,12,6
1478722812,8,0
1478723287,1,0
1478724133,3,21
1478725511,5,26
1478726412,3,1
1478727282,7,10
1478727733,4,6
1478729111,8,8
1478730010,2,0
1478731210,4,17
1478732168,1,0
1478733014,9,11
1478733907,6,0
1478734968,11,17
1478736236,10,10
1478737211,13,0
1478740472,25,37
1478741410,9,12
1478742308,3,6
1478744072,13,8
1478746082,10,15
1478746826,11,11
1478747711,9,0
1478748612,7,10
1478749512,5,2
1478750709,9,14
1478751610,6,0
1478752090,6,0
1478753794,12,15
1478754908,2,8
1478755810,4,19
1478756710,6,4
1478758810,55,14
1478759708,6,14
1478760907,8,5
1478761812,8,8
1478762048,5,0
1478763014,7,9
1478764409,16,3
1478765409,10,8
