DateTime,AddedIPs,RemovedIPs
1478876171,2,0
1478877016,6,10
1478878222,6,16
1478879127,10,5
1478880313,8,12
1478881221,5,0
1478882111,10,15
1478883194,6,7
1478884378,9,16
1478886142,12,17
1478887169,2,8
1478888116,4,1
1478888891,2,1
1478889918,12,17
1478890909,9,15
1478891650,8,0
1478892490,12,0
1478894709,18,33
1478896219,13,15
1478897113,5,7
1478898164,11,14
1478900107,16,20
1478901098,2,6
1478901912,6,12
1478904021,8,28
1478905303,11,15
1478906115,0,2
1478906941,2,0
1478908350,10,13
1478909714,9,8
1478910516,4,0
1478911337,5,23
1478913255,6,15
1478914215,4,15
1478915113,7,4
1478916312,3,10
1478917219,3,0
1478918115,6,18
1478918534,4,4
1478920451,6,8
1478921291,1,1
1478922315,5,24
1478924416,11,16
1478925504,8,14
1478927111,8,11
1478927650,1,0
1478928623,10,20
1478929516,3,8
1478930712,4,14
1478931618,8,0
1478932089,4,0
1478933119,2,27
1478934315,2,9
1478935219,4,0
1478935689,2,0
1478936713,5,23
1478937913,7,10
1478938783,4,0
1478940022,6,17
1478940909,1,0
1478941814,1,14
1478943739,12,28
1478944574,4,0
1478945415,8,9
1478946615,8,15
1478947486,4,9
1478948494,9,17
1478949710,10,1
1478950817,3,23
1478951663,5,0
1478952614,2,15
1478953819,12,13
1478954716,3,13
1478955533,3,15
1478956368,2,2
1478958141,13,25
1478960113,15,8
1478961018,5,18
1478961911,7,4
1478962570,1,0
1478963413,4,11
1478964490,7,0
1478965516,7,13
1478966713,7,13
1478967621,3,0
1478968089,6,0
1478969114,4,42
1478970850,11,10
1478971822,6,16
1478972729,4,6
1478975710,15,29
1478976141,5,6
1478977000,4,0
1478977815,1,11
1478978891,2,0
1478980764,7,38
1478981714,2,2
1478982615,4,20
1478985428,7,22
1478986514,11,12
1478988613,10,14
1478990112,8,5
1478991914,11,5
1478992453,5,0
1478993417,9,8
1478994310,2,3
1478995105,2,5
1478996116,4,0
1478997015,3,9
1478997915,5,4
1478999114,8,6
1478999654,3,0
1479000493,4,0
1479001337,9,8
1479003312,16,6
1479004818,6,10
1479005709,4,1
1479006616,4,6
1479007473,10,0
1479009272,19,11
1479012142,24,11
1479012973,6,0
1479013811,3,9
1479014889,3,0
1479015950,4,17
1479017114,10,12
1479018021,9,0
1479018912,7,7
1479019342,3,2
1479020539,12,9
1479021621,8,0
1479022818,9,13
1479024849,13,10
1479025820,5,11
1479026547,11,6
1479027374,5,0
1479028207,3,2
1479029107,8,0
1479030143,3,10
1479031513,4,9
1479032421,8,0
1479033628,10,17
1479035109,10,10
1479036026,5,0
1479036914,5,14
1479037343,3,1
1479038221,5,0
1479039314,7,7
1479040219,6,8
1479040948,7,4
