DateTime,Entries,UniqueIPs
1478869234,1857,1857
1478870114,1865,1865
1478871741,1853,1853
1478873113,1856,1856
1478874018,1861,1861
1478874911,1853,1853
1478875341,1851,1851
1478876171,1853,1853
1478877016,1849,1849
1478878222,1839,1839
1478879127,1844,1844
1478880313,1840,1840
1478881221,1845,1845
1478882111,1840,1840
1478883194,1839,1839
1478884378,1832,1832
1478886142,1827,1827
1478887169,1821,1821
1478888116,1824,1824
1478888891,1825,1825
1478889918,1820,1820
1478890909,1814,1814
1478891650,1822,1822
1478892490,1834,1834
1478894709,1819,1819
1478896219,1817,1817
1478897113,1815,1815
1478898164,1812,1812
1478900107,1808,1808
1478901098,1804,1804
1478901912,1798,1798
1478904021,1778,1778
1478905303,1774,1774
1478906115,1772,1772
1478906941,1774,1774
1478908350,1771,1771
1478909714,1772,1772
1478910516,1776,1776
1478911337,1758,1758
1478913255,1749,1749
1478914215,1738,1738
1478915113,1741,1741
1478916312,1734,1734
1478917219,1737,1737
1478918115,1725,1725
1478918534,1725,1725
1478920451,1723,1723
1478921291,1723,1723
1478922315,1704,1704
1478924416,1699,1699
1478925504,1693,1693
1478927111,1690,1690
1478927650,1691,1691
1478928623,1681,1681
1478929516,1676,1676
1478930712,1666,1666
1478931618,1674,1674
1478932089,1678,1678
1478933119,1653,1653
1478934315,1646,1646
1478935219,1650,1650
1478935689,1652,1652
1478936713,1634,1634
1478937913,1631,1631
1478938783,1635,1635
1478940022,1624,1624
1478940909,1625,1625
1478941814,1612,1612
1478943739,1596,1596
1478944574,1600,1600
1478945415,1599,1599
1478946615,1592,1592
1478947486,1587,1587
1478948494,1579,1579
1478949710,1588,1588
1478950817,1568,1568
1478951663,1573,1573
1478952614,1560,1560
1478953819,1559,1559
1478954716,1549,1549
1478955533,1537,1537
1478956368,1537,1537
1478958141,1525,1525
1478960113,1532,1532
1478961018,1519,1519
1478961911,1522,1522
1478962570,1523,1523
1478963413,1516,1516
1478964490,1523,1523
1478965516,1517,1517
1478966713,1511,1511
1478967621,1514,1514
1478968089,1520,1520
1478969114,1482,1482
1478970850,1483,1483
1478971822,1473,1473
1478972729,1471,1471
1478975710,1457,1457
1478976141,1456,1456
1478977000,1460,1460
1478977815,1450,1450
1478978891,1452,1452
1478980764,1421,1421
1478981714,1421,1421
1478982615,1405,1405
1478985428,1390,1390
1478986514,1389,1389
1478988613,1385,1385
1478990112,1388,1388
1478991914,1394,1394
1478992453,1399,1399
1478993417,1400,1400
1478994310,1399,1399
1478995105,1396,1396
1478996116,1400,1400
1478997015,1394,1394
1478997915,1395,1395
1478999114,1397,1397
1478999654,1400,1400
1479000493,1404,1404
1479001337,1405,1405
1479003312,1415,1415
1479004818,1411,1411
1479005709,1414,1414
1479006616,1412,1412
1479007473,1422,1422
1479009272,1430,1430
1479012142,1443,1443
1479012973,1449,1449
1479013811,1443,1443
1479014889,1446,1446
1479015950,1433,1433
1479017114,1431,1431
1479018021,1440,1440
1479018912,1440,1440
1479019342,1441,1441
1479020539,1444,1444
1479021621,1452,1452
1479022818,1448,1448
1479024849,1451,1451
1479025820,1445,1445
1479026547,1450,1450
1479027374,1455,1455
1479028207,1456,1456
1479029107,1464,1464
1479030143,1457,1457
1479031513,1452,1452
1479032421,1460,1460
1479033628,1453,1453
1479035109,1453,1453
1479036026,1458,1458
1479036914,1449,1449
1479037343,1451,1451
1479038221,1456,1456
1479039314,1456,1456
1479040219,1454,1454
1479040948,1457,1457
1479042313,1452,1452
1479043227,1460,1460
1479044544,1457,1457
1479045374,1461,1461
1479046216,1468,1468
1479048147,1471,1471
1479049510,1465,1465
1479050414,1464,1464
1479051747,1470,1470
1479052573,1482,1482
1479053415,1476,1476
1479054309,1483,1483
1479055218,1477,1477
1479056223,1478,1478
1479057253,1471,1471
1479058216,1462,1462
1479059123,1453,1453
1479061216,1443,1443
1479062109,1425,1425
1479065290,1459,1459
1479066317,1457,1457
1479067460,1450,1450
1479068421,1462,1462
1479069309,1456,1456
1479069749,1455,1455
1479071650,1457,1457
1479072624,1448,1448
1479073514,1446,1446
1479074318,1447,1447
1479075315,1454,1454
1479076214,1451,1451
1479077437,1457,1457
1479078913,1449,1449
1479080540,1451,1451
1479081915,1452,1452
1479082814,1456,1456
1479083709,1452,1452
1479084589,1450,1450
1479085510,1451,1451
1479087615,1452,1452
1479088667,1458,1458
1479089714,1463,1463
1479090621,1465,1465
1479091462,1466,1466
1479092308,1468,1468
1479093316,1474,1474
1479094215,1471,1471
1479095975,1472,1472
1479096831,1473,1473
1479097656,1480,1480
1479098530,1470,1470
1479099916,1475,1475
1479100815,1480,1480
1479102190,1479,1479
1479104056,1487,1487
1479105021,1490,1490
1479105919,1495,1495
1479107937,1502,1502
1479109214,1497,1497
1479110364,1497,1497
1479111321,1504,1504
1479112218,1498,1498
1479113117,1503,1503
1479113770,1505,1505
1479114580,1508,1508
1479115514,1512,1512
1479116418,1504,1504
1479117370,1512,1512
1479118211,1512,1512
1479119420,1514,1514
1479120315,1519,1519
1479121436,1517,1517
1479122559,1525,1525
1479123616,1523,1523
1479123730,1522,1522
1479125714,1530,1530
1479126754,1521,1521
1479127720,1525,1525
1479129616,1524,1524
1479130919,1516,1516
1479132545,1518,1518
1479133785,1512,1512
1479134911,1505,1505
1479135865,1502,1502
1479137711,1497,1497
1479139715,1493,1493
1479141015,1491,1491
1479141914,1494,1494
1479142893,1490,1490
1479143715,1498,1498
1479144626,1496,1496
1479146257,1501,1501
1479147671,1502,1502
1479148814,1498,1498
1479150309,1500,1500
1479151184,1502,1502
1479152132,1502,1502
1479153370,1503,1503
1479154211,1504,1504
1479156121,1495,1495
1479157735,1500,1500
1479159311,1509,1509
1479160432,1514,1514
1479162009,1513,1513
1479162912,1508,1508
1479163809,1513,1513
1479166213,1520,1520
1479167279,1523,1523
1479167770,1527,1527
1479168909,1523,1523
1479169815,1514,1514
1479170715,1513,1513
1479172816,1513,1513
1479173709,1515,1515
1479174732,1523,1523
1479175817,1526,1526
1479176965,1515,1515
1479177912,1516,1516
1479180016,1525,1525
1479181333,1516,1516
1479182713,1518,1518
1479183617,1528,1528
1479184809,1531,1531
1479185715,1532,1532
1479186612,1532,1532
1479187819,1518,1518
1479188713,1519,1519
1479190816,1517,1517
1479191740,1519,1519
1479192133,1519,1519
1479192925,1521,1521
1479193817,1517,1517
1479195023,1515,1515
1479196152,1515,1515
1479197579,1517,1517
1479199331,1521,1521
1479200714,1526,1526
1479201621,1534,1534
1479202094,1542,1542
1479203115,1538,1538
1479204044,1544,1544
1479204912,1553,1553
1479205812,1546,1546
1479206711,1548,1548
1479208521,1557,1557
1479209386,1554,1554
1479210129,1557,1557
1479210954,1562,1562
1479211815,1561,1561
1479213730,1554,1554
1479214575,1555,1555
1479215414,1545,1545
1479216620,1542,1542
1479217516,1544,1544
1479218438,1544,1544
1479219270,1549,1549
1479220090,1558,1558
1479221259,1554,1554
1479222077,1550,1550
1479222918,1566,1566
1479224410,1568,1568
1479225310,1571,1571
1479226475,1586,1586
1479227412,1592,1592
1479228312,1605,1605
1479229765,1608,1608
1479231736,1623,1623
1479232615,1627,1627
1479233416,1628,1628
1479234618,1578,1578
1479236156,1575,1575
1479237011,1565,1565
1479238461,1554,1554
1479239410,1557,1557
1479240607,1560,1560
1479241652,1569,1569
1479242656,1564,1564
1479244292,1570,1570
1479245175,1576,1576
1479246134,1565,1565
1479247231,1566,1566
1479248113,1571,1571
1479249018,1565,1565
1479249915,1571,1571
1479250888,1574,1574
1479251712,1586,1586
1479252489,1593,1593
1479253335,1580,1580
1479254712,1582,1582
1479255529,1591,1591
1479256809,1581,1581
1479257864,1591,1591
1479259216,1593,1593
1479260110,1586,1586
1479260972,1583,1583
1479261917,1578,1578
1479262813,1585,1585
1479264282,1587,1587
1479265282,1599,1599
1479266410,1616,1616
1479267324,1612,1612
1479268247,1613,1613
1479268571,1614,1614
1479269414,1617,1617
1479271333,1622,1622
1479272169,1626,1626
1479273011,1624,1624
1479274089,1631,1631
1479274929,1619,1619
1479276314,1622,1622
1479277215,1627,1627
1479278530,1621,1621
1479280516,1636,1636
1479281424,1633,1633
1479282316,1639,1639
1479283810,1631,1631
1479284649,1635,1635
1479285610,1629,1629
1479287214,1627,1627
1479288519,1644,1644
1479289517,1636,1636
1479290901,1639,1639
1479292510,1644,1644
1479294132,1638,1638
1479295842,1644,1644
1479296531,1647,1647
1479297373,1654,1654
1479298213,1659,1659
1479299413,1659,1659
1479301376,1673,1673
1479302052,1677,1677
1479303317,1678,1678
1479304132,1680,1680
1479306015,1689,1689
1479306492,1691,1691
1479307905,1692,1692
1479308716,1693,1693
1479309676,1701,1701
1479310503,1702,1702
1479310935,1701,1701
1479312316,1705,1705
1479313216,1710,1710
1479314036,1706,1706
1479315280,1718,1718
1479316216,1715,1715
1479316450,1716,1716
1479317420,1723,1723
1479318318,1729,1729
1479320049,1733,1733
1479320891,1739,1739
1479321914,1734,1734
1479324233,1748,1748
1479325218,1744,1744
1479326172,1757,1757
1479327018,1757,1757
1479328093,1766,1766
1479328931,1751,1751
1479330319,1756,1756
1479331159,1762,1762
1479332534,1755,1755
1479333563,1756,1756
1479334518,1767,1767
1479336133,1767,1767
1479336938,1775,1775
1479337821,1767,1767
1479338654,1769,1769
1479339610,1767,1767
1479341714,1790,1790
1479343329,1783,1783
1479345010,1794,1794
1479346219,1798,1798
1479347256,1803,1803
1479348135,1800,1800
1479349212,1811,1811
1479350529,1803,1803
1479351912,1810,1810
1479352812,1818,1818
1479353636,1814,1814
1479354911,1817,1817
1479355811,1817,1817
1479356841,1828,1828
1479357863,1823,1823
1479358572,1828,1828
1479359717,1837,1837
1479361330,1835,1835
1479363528,1852,1852
1479364509,1852,1852
1479365712,1852,1852
1479366620,1850,1850
1479367819,1847,1847
1479369871,1853,1853
1479370809,1854,1854
1479371709,1841,1841
1479372134,1842,1842
1479373514,1838,1838
1479374421,1851,1851
1479375311,1847,1847
1479377493,1859,1859
1479378359,1864,1864
1479379217,1857,1857
1479380174,1867,1867
1479381017,1863,1863
1479383005,1872,1872
1479385217,1877,1877
1479386117,1873,1873
1479386533,1871,1871
1479387920,1877,1877
1479388765,1884,1884
1479389290,1887,1887
1479390130,1876,1876
1479391514,1870,1870
1479392412,1876,1876
1479393730,1849,1849
1479395113,1847,1847
1479396013,1854,1854
1479396493,1856,1856
1479397330,1848,1848
1479399613,1865,1865
1479400815,1859,1859
1479402311,1864,1864
1479403215,1867,1867
1479404072,1861,1861
1479405254,1870,1870
1479406217,1871,1871
1479407421,1871,1871
1479408315,1881,1881
1479409515,1883,1883
1479410418,1892,1892
1479411493,1888,1888
1479413713,1888,1888
1479415333,1894,1894
1479417255,1907,1907
1479418220,1907,1907
1479418935,1902,1902
1479419770,1908,1908
1479420614,1905,1905
1479422533,1896,1896
1479423628,1895,1895
1479424450,1904,1904
1479425289,1914,1914
1479427114,1896,1896
1479428114,1901,1901
1479429730,1900,1900
