DateTime,AddedIPs,RemovedIPs
1478324623,0,2
1478331661,2,1
1478333172,0,3
1478334663,0,4
1478336849,2,4
1478341884,0,6
1478342768,2,0
1478343992,0,5
1478347289,1,0
1478349789,0,3
1478351657,1,1
1478353100,0,1
1478355314,0,1
1478356934,1,1
1478359216,2,0
1478360112,0,2
1478361371,3,1
1478362520,1,0
1478364202,1,1
1478365512,0,1
1478366474,0,1
1478367615,1,2
1478371276,0,5
1478373211,0,1
1478375178,2,0
1478376391,2,1
1478379503,1,1
1478380449,1,1
1478382095,1,5
1478383813,0,2
1478385100,2,4
1478385916,1,0
1478388013,1,0
1478391081,1,1
1478392885,0,3
1478393711,2,0
1478395214,1,0
1478396115,3,0
1478397025,0,1
1478398514,0,1
1478400701,1,1
1478402394,1,1
1478404498,0,2
1478408640,0,1
1478410867,1,5
1478412854,0,1
1478413880,0,2
1478416002,1,0
1478416815,1,0
1478418236,1,2
1478420115,0,1
1478421916,1,0
1478423199,0,1
1478425382,5,0
1478426307,1,0
1478428213,1,1
1478431821,0,1
1478433875,2,0
1478438490,1,3
1478440512,2,2
1478441416,1,1
1478442696,0,1
1478443517,1,0
1478444813,1,0
1478446513,0,1
1478448619,1,0
1478453211,1,0
1478454094,2,1
1478455813,0,1
1478457618,1,1
1478460911,1,0
1478463276,3,0
1478464932,1,0
1478465774,2,0
1478466727,1,0
1478467821,1,1
1478468801,1,1
1478469913,2,0
1478472014,3,4
1478473927,2,0
1478475019,5,1
1478477925,1,0
1478478806,0,2
1478479861,1,0
1478480713,2,0
1478482514,0,1
1478484248,1,2
1478486536,1,0
1478487910,2,1
1478488815,2,0
1478489714,2,1
1478490132,1,1
1478490973,1,0
1478491813,5,2
1478493016,0,1
1478493916,2,0
1478495413,0,1
1478496312,2,0
1478497332,2,0
1478500221,0,2
1478501775,1,0
1478502618,2,0
1478504416,1,0
1478505914,0,2
1478506816,1,0
1478508132,2,1
1478509821,1,0
1478510052,1,0
1478511028,1,0
1478512483,0,2
1478513716,2,2
1478514620,0,1
1478515496,3,0
1478518225,2,2
1478519116,2,0
1478521116,1,0
1478522393,3,1
1478523314,1,0
1478529731,2,5
1478531721,1,1
1478532491,1,0
1478533513,1,3
1478535617,2,0
1478536574,1,1
1478538407,1,0
1478540014,0,1
1478542216,1,0
1478544131,4,1
1478546052,1,1
1478547732,1,0
1478549650,3,0
1478550622,2,0
1478551519,0,1
1478553608,0,1
1478554515,1,2
1478554937,0,1
1478556313,1,0
1478557217,1,2
1478558089,0,1
1478558531,0,1
1478560215,2,0
1478565735,0,2
1478566573,4,0
1478567414,2,2
1478568616,2,1
1478569516,2,0
1478570174,2,0
1478571013,2,1
1478572220,4,0
1478574208,1,1
1478575692,1,0
1478576534,0,1
1478579419,0,1
1478583619,1,0
1478585111,0,1
1478586913,1,1
1478587957,1,0
1478589016,1,1
1478592315,1,0
1478593220,1,0
1478594179,0,2
1478595317,0,4
1478596217,0,1
1478598136,4,1
1478600056,4,0
1478601018,1,0
1478602664,8,0
1478603506,9,1
1478604620,19,2
1478608815,160,3
1478609986,0,1
1478610921,4,0
1478611821,0,3
1478613503,1,4
1478615420,0,2
1478617816,2,1
1478621112,1,0
1478622018,1,0
1478622914,1,2
1478623812,2,0
1478624655,3,2
1478628611,4,1
1478630113,2,1
1478631305,1,0
1478632521,2,0
1478633419,8,1
1478634133,3,0
1478634976,2,0
1478635814,1,2
1478636890,1,0
1478637917,0,4
1478639111,2,0
1478640021,2,0
1478642172,0,2
1478643015,1,0
1478644935,2,3
1478646202,0,1
1478647073,3,0
1478648415,1,0
1478650215,2,2
1478651420,0,2
1478655027,1,1
1478657115,0,1
1478658021,1,0
1478659337,0,4
1478661016,0,1
1478662092,2,0
1478662934,0,1
1478664917,0,1
1478666718,0,2
1478668457,2,2
1478670321,1,0
1478671514,0,1
1478674574,0,1
1478675420,3,0
1478676327,0,1
1478677223,1,0
1478678715,0,2
1478679619,0,1
1478680652,0,2
1478682806,0,2
1478683826,0,4
1478685224,2,1
1478686340,1,3
1478688318,2,0
1478690128,3,3
1478691311,2,2
1478693816,4,1
1478694618,1,1
1478695517,2,1
1478698115,2,0
1478698936,2,1
1478700855,1,1
1478703590,2,4
1478705420,0,2
1478706142,2,0
1478706971,2,0
1478707775,1,3
1478709623,2,2
1478711652,3,2
1478712623,1,4
1478713518,1,0
1478714438,0,1
1478717122,2,2
1478718852,2,1
1478719820,0,1
1478721911,2,0
1478722825,1,0
1478724144,0,3
1478725514,0,6
1478727286,0,2
1478729115,2,0
1478730022,1,0
1478731218,0,2
1478733018,0,1
1478734972,2,0
1478736239,0,4
1478737217,1,0
1478740476,2,7
1478741417,0,2
1478742315,1,5
1478744076,1,2
1478746087,2,0
1478746845,3,0
1478747718,1,0
1478748621,2,0
