DateTime,Entries,UniqueIPs
1478365512,149,149
1478366474,148,148
1478367615,147,147
1478371276,142,142
1478373211,141,141
1478375178,143,143
1478376391,144,144
1478379503,144,144
1478380449,144,144
1478382095,140,140
1478383813,138,138
1478385100,136,136
1478385916,137,137
1478388013,138,138
1478391081,138,138
1478392885,135,135
1478393711,137,137
1478395214,138,138
1478396115,141,141
1478397025,140,140
1478398514,139,139
1478400701,139,139
1478402394,139,139
1478404498,137,137
1478408640,136,136
1478410867,132,132
1478412854,131,131
1478413880,129,129
1478416002,130,130
1478416815,131,131
1478418236,130,130
1478420115,129,129
1478421916,130,130
1478423199,129,129
1478425382,134,134
1478426307,135,135
1478428213,135,135
1478431821,134,134
1478433875,136,136
1478438490,134,134
1478440512,134,134
1478441416,134,134
1478442696,133,133
1478443517,134,134
1478444813,135,135
1478446513,134,134
1478448619,135,135
1478453211,136,136
1478454094,137,137
1478455813,136,136
1478457618,136,136
1478460911,137,137
1478463276,140,140
1478464932,141,141
1478465774,143,143
1478466727,144,144
1478467821,144,144
1478468801,144,144
1478469913,146,146
1478472014,145,145
1478473927,147,147
1478475019,151,151
1478477925,152,152
1478478806,150,150
1478479861,151,151
1478480713,153,153
1478482514,152,152
1478484248,151,151
1478486536,152,152
1478487910,153,153
1478488815,155,155
1478489714,156,156
1478490132,156,156
1478490973,157,157
1478491813,160,160
1478493016,159,159
1478493916,161,161
1478495413,160,160
1478496312,162,162
1478497332,164,164
1478500221,162,162
1478501775,163,163
1478502618,165,165
1478504416,166,166
1478505914,164,164
1478506816,165,165
1478508132,166,166
1478509821,167,167
1478510052,168,168
1478511028,169,169
1478512483,167,167
1478513716,167,167
1478514620,166,166
1478515496,169,169
1478518225,169,169
1478519116,171,171
1478521116,172,172
1478522393,174,174
1478523314,175,175
1478529731,172,172
1478531721,172,172
1478532491,173,173
1478533513,171,171
1478535617,173,173
1478536574,173,173
1478538407,174,174
1478540014,173,173
1478542216,174,174
1478544131,177,177
1478546052,177,177
1478547732,178,178
1478549650,181,181
1478550622,183,183
1478551519,182,182
1478553608,181,181
1478554515,180,180
1478554937,179,179
1478556313,180,180
1478557217,179,179
1478558089,178,178
1478558531,177,177
1478560215,179,179
1478565735,177,177
1478566573,181,181
1478567414,181,181
1478568616,182,182
1478569516,184,184
1478570174,186,186
1478571013,187,187
1478572220,191,191
1478574208,191,191
1478575692,192,192
1478576534,191,191
1478579419,190,190
1478583619,191,191
1478585111,190,190
1478586913,190,190
1478587957,191,191
1478589016,191,191
1478592315,192,192
1478593220,193,193
1478594179,191,191
1478595317,187,187
1478596217,186,186
1478598136,189,189
1478600056,193,193
1478601018,194,194
1478602664,202,202
1478603506,210,210
1478604620,227,227
