DateTime,AddedIPs,RemovedIPs
1478565733,2,6
1478567411,1,6
1478568611,0,4
1478569514,3,3
1478570171,1,0
1478571010,2,1
1478571247,2,0
1478572216,3,6
1478573114,2,1
1478574205,0,8
1478575689,3,0
1478576531,3,14
1478577368,2,0
1478578211,2,8
1478579415,7,10
1478580129,3,7
1478581510,5,16
1478582412,7,0
1478583616,12,21
1478585108,4,14
1478586012,10,0
1478586910,5,19
1478587954,5,5
1478589012,8,17
1478589996,21,1
1478590817,28,32
1478592313,57,16
1478593216,28,1
1478594176,29,26
1478595314,33,9
1478596213,13,16
1478598133,58,33
1478600053,45,19
1478601014,19,25
1478601728,18,12
1478602661,25,1
1478603503,20,24
1478604615,25,21
1478608812,119,99
1478609983,21,19
1478610917,22,1
1478611815,29,38
1478613500,58,29
1478615413,48,37
1478616908,42,12
1478617814,28,23
1478619172,50,47
1478621110,61,38
1478622014,25,1
1478622911,24,38
1478623810,27,11
1478624652,22,26
1478625250,20,1
1478626216,26,39
1478628608,53,25
1478630110,52,32
1478631302,35,19
1478632516,31,33
1478633413,25,19
1478634130,17,12
1478634973,17,0
1478635812,14,19
1478636888,16,0
1478637914,17,32
1478639109,4,15
1478640014,10,0
1478642169,13,26
1478643012,6,12
1478644933,11,19
1478646199,3,3
1478647069,1,0
1478648409,4,7
1478649309,3,0
1478650213,2,7
1478651416,6,8
1478652314,5,2
1478653426,1,4
1478655022,4,5
1478655914,5,0
1478657113,4,2
1478658015,2,0
1478659334,7,11
1478660169,4,0
1478661013,3,6
1478662089,13,2
1478662932,7,16
1478663910,10,7
1478664914,8,0
1478665688,8,0
1478666715,15,19
1478668454,46,12
1478669415,37,16
1478670317,28,6
1478671511,22,11
1478672416,18,0
1478673315,21,16
1478674571,33,7
1478675416,22,14
1478676324,17,0
1478677216,21,31
1478678712,34,13
1478679612,30,0
1478680650,23,37
1478681710,27,8
1478682803,28,25
1478683821,21,25
1478685221,34,11
1478686338,52,22
1478687412,27,20
1478688313,24,10
1478690124,49,72
1478691309,32,81
1478693812,81,28
