DateTime,Entries,UniqueIPs
1478849404,42992,42992
1478850303,43016,43016
1478850963,43096,43096
1478851803,43070,43070
1478852607,43145,43145
1478853475,43045,43045
1478855103,42949,42949
1478855643,43008,43008
1478856604,42631,42631
1478857504,42527,42527
1478859303,42394,42394
1478860098,42461,42461
1478861103,42104,42104
1478862088,41989,41989
1478862903,42117,42117
1478863732,42241,42241
1478864525,41729,41729
1478865363,41894,41894
1478866203,41713,41713
1478867355,41479,41479
1478868303,41437,41437
1478869219,41244,41244
1478870103,41368,41368
1478871725,41096,41096
1478873104,41023,41023
1478874003,41167,41167
1478874903,41075,41075
1478875323,41059,41059
1478876163,41179,41179
1478877004,41214,41214
1478878204,41292,41292
1478879103,41402,41402
1478880303,41517,41517
1478881204,41688,41688
1478882103,41585,41585
1478883185,41705,41705
1478884372,41691,41691
1478886126,41576,41576
1478887162,41580,41580
1478888103,41745,41745
1478888882,41889,41889
1478889903,41717,41717
1478890895,41636,41636
1478891643,41773,41773
1478892483,41914,41914
1478894703,41058,41058
1478896204,40753,40753
1478897104,40738,40738
1478898150,40588,40588
1478899203,40757,40757
1478900101,40323,40323
1478901092,40380,40380
1478901905,40264,40264
1478904005,40078,40078
1478905282,40010,40010
1478906103,40014,40014
1478906934,40141,40141
1478908343,40017,40017
1478909703,39922,39922
1478910510,40036,40036
1478911325,39727,39727
1478913243,39707,39707
1478914202,39506,39506
1478915103,39481,39481
1478917203,39456,39456
1478918103,39204,39204
1478918524,39147,39147
1478920443,39107,39107
1478921283,39195,39195
1478922303,38858,38858
1478924403,38811,38811
1478925497,38600,38600
1478927103,38516,38516
1478927644,38588,38588
1478928607,38551,38551
1478929503,38622,38622
1478930703,38655,38655
1478931603,38779,38779
1478932083,38845,38845
1478933103,38734,38734
1478935203,38930,38930
1478935683,38973,38973
1478936703,38762,38762
1478937903,38723,38723
1478938777,38793,38793
1478940005,38410,38410
1478940903,38476,38476
1478941803,38329,38329
1478943724,37874,37874
1478944563,37951,37951
1478945403,37729,37729
1478946603,37449,37449
1478947480,37370,37370
1478948475,37231,37231
1478949693,37341,37341
1478950803,36838,36838
1478951657,36945,36945
1478952603,36737,36737
1478953806,36413,36413
1478954703,36342,36342
1478955527,36197,36197
1478956362,36233,36233
1478958124,35885,35885
1478960103,35800,35800
1478961006,35388,35388
1478961903,35374,35374
1478962563,35458,35458
1478963403,35251,35251
1478964483,35361,35361
1478965504,34962,34962
1478966703,34748,34748
1478967603,34827,34827
1478968083,34877,34877
1478969103,34371,34371
1478970843,34243,34243
1478971805,33644,33644
1478972721,33455,33455
1478974803,33219,33219
1478975704,33070,33070
1478976125,33151,33151
1478976993,33266,33266
1478977803,33196,33196
1478978884,33279,33279
1478980758,33139,33139
1478981703,33182,33182
1478982603,33069,33069
1478985420,33084,33084
1478986503,33048,33048
1478988603,33022,33022
1478990103,32974,32974
1478991903,32906,32906
1478992443,32944,32944
1478993403,32887,32887
1478994303,32871,32871
1478995099,32805,32805
1478996103,32844,32844
1478997005,32752,32752
