DateTime,AddedIPs,RemovedIPs
1478531715,23,40
1478532488,11,8
1478533508,10,27
1478534491,5,17
1478536570,23,24
1478538404,18,49
1478539212,16,5
1478540011,14,32
1478541368,27,14
1478542213,10,27
1478544127,27,66
1478546048,23,29
1478547018,11,24
1478547729,2,15
1478549647,17,25
1478550617,13,26
1478551516,12,14
1478553600,23,43
1478554512,14,38
1478554934,6,19
1478556310,22,21
1478557214,8,7
1478558086,12,41
1478558528,4,12
1478559370,9,2
1478560211,6,16
1478561114,12,0
1478562011,12,39
1478562130,0,2
1478564411,20,21
1478565732,11,34
1478566570,12,4
1478567411,17,23
1478567648,2,1
1478568610,9,33
1478569511,16,8
1478570171,6,2
1478571010,12,20
1478571247,1,0
1478572215,10,34
1478573114,5,18
1478574205,6,23
1478575688,16,3
1478576531,8,33
1478577367,8,3
1478578211,16,29
1478579415,14,20
1478580128,13,16
1478581510,13,21
1478582411,9,5
1478583615,4,35
1478585108,16,12
1478586011,11,4
1478586910,12,31
1478587954,13,15
1478589012,23,20
1478589996,7,3
1478590816,14,53
1478592312,20,35
1478593215,11,4
1478594176,14,21
1478595313,15,7
1478596212,6,23
1478598132,21,51
1478600053,17,35
1478601012,11,20
1478601728,10,12
1478602661,13,2
1478603503,6,32
1478604613,13,38
1478608811,61,104
1478609983,13,26
1478610914,12,7
1478611813,4,23
1478613500,21,36
1478615412,28,28
1478616908,43,19
1478617813,8,29
1478619172,13,34
1478621109,36,34
1478622013,12,3
1478622911,7,36
1478623809,10,9
1478624652,6,31
1478625249,6,2
1478626214,14,21
1478628608,29,28
1478630109,30,36
1478631302,16,15
1478632514,18,24
1478633412,12,26
1478634129,11,8
1478634973,8,2
1478635811,10,14
1478636887,11,5
1478637913,8,16
1478639107,6,5
1478640013,7,3
1478642168,53,29
1478643012,8,22
1478644932,18,27
1478646199,13,14
1478647069,10,3
1478648409,14,57
1478649309,7,4
1478650212,10,22
1478651415,12,33
1478652313,12,3
1478653425,18,18
1478655021,19,25
1478655913,10,7
1478657112,19,27
1478658014,4,3
1478659334,16,45
1478660168,9,0
1478661012,5,13
1478662088,6,4
1478662931,22,29
1478663909,15,14
1478664912,25,1
1478665688,6,4
1478666714,28,24
1478668453,22,17
1478669414,9,20
1478670315,7,10
1478671511,8,33
1478672415,8,3
1478673314,13,9
1478674571,20,9
1478675416,15,15
1478676323,17,2
1478677215,10,32
1478678712,28,16
1478679612,15,9
1478680649,14,14
1478681709,15,7
1478682802,10,6
1478683820,14,5
1478685220,17,8
1478686337,16,14
1478687410,7,16
1478688311,6,14
1478690124,18,91
1478691308,7,273
1478693812,44,37
1478694612,26,13
1478695514,14,7
1478697248,34,12
1478698112,13,2
1478698933,12,18
1478700851,39,16
1478701688,6,4
1478703587,25,34
1478704516,10,2
1478705414,13,12
1478706135,10,8
1478706968,6,3
1478707772,14,8
1478708673,13,3
1478709614,5,33
1478711649,22,22
1478712616,7,18
1478713514,15,15
1478714430,17,13
1478715312,31,7
1478716088,10,1
1478717116,24,22
1478718848,22,23
1478719812,16,11
1478720713,15,9
1478721908,13,15
1478722814,23,3
1478723288,14,3
1478724135,12,21
1478725511,20,17
1478726415,10,4
1478727283,9,16
1478727735,5,10
1478729112,11,15
1478730012,16,5
1478731211,15,16
1478732168,25,3
1478733014,24,10
1478733908,26,3
1478734969,14,15
1478736236,10,16
1478737213,19,4
1478740472,29,35
1478741411,6,18
1478742311,8,5
1478744073,19,14
1478746082,30,15
1478746828,11,14
1478747714,9,5
1478748614,5,15
1478749515,8,11
1478750710,9,11
1478751612,18,9
1478752090,6,0
1478753795,25,15
1478754910,20,11
1478755811,12,14
1478756713,10,10
1478758812,34,20
1478759710,7,18
1478760908,13,15
1478761813,8,15
1478762049,2,0
1478763015,27,20
1478764410,24,8
1478765410,12,18
1478767333,11,21
1478768941,14,12
1478770183,19,14
1478771111,23,11
1478772032,16,10
1478772848,11,3
1478773812,16,13
1478775307,16,6
1478776151,9,5
1478777413,7,18
1478779142,11,22
1478780413,20,5
1478781611,12,21
1478782915,17,18
1478784173,41,4
1478786168,33,35
1478787303,10,36
1478788165,7,15
1478789236,8,12
1478790312,6,25
1478791215,8,3
1478792414,10,23
1478793912,21,12
1478794813,13,2
1478795292,3,0
1478796133,8,26
1478796972,25,2
1478797813,11,10
1478799733,31,31
1478801112,11,21
1478802014,87,3
1478802908,135,22
1478804112,156,8
1478805986,20,20
1478807612,21,16
1478808611,13,6
1478809814,5,10
1478810714,5,22
1478811912,11,25
1478812813,7,2
1478813688,7,15
1478814971,9,11
1478815812,5,8
1478817732,7,33
1478818568,7,5
1478819413,5,12
1478820491,12,6
1478821333,6,22
1478823302,15,20
1478824217,12,31
1478825111,7,5
1478826312,14,17
1478826852,9,2
1478827818,5,19
1478828678,6,8
1478830620,20,14
1478831288,6,6
1478832314,12,18
1478833443,12,28
1478834636,8,5
1478835446,9,26
1478837710,17,49
1478838609,6,11
1478841012,16,13
1478842813,11,18
1478843713,10,1
1478844611,7,28
1478845815,6,24
1478847311,9,7
1478848214,10,15
1478849414,7,36
1478850315,6,7
1478850971,4,7
1478851813,8,13
1478852612,8,4
1478853479,9,16
1478855113,12,28
1478855653,5,2
1478856619,9,11
1478857512,4,5
1478858440,8,11
1478859313,7,6
1478860204,7,11
1478861110,6,8
1478862917,18,13
1478863737,11,4
1478864534,8,49
1478865371,6,9
1478866212,10,17
1478867364,14,37
1478868312,15,9
1478869228,18,30
1478870113,11,4
1478871734,19,24
1478873111,17,20
1478874012,16,7
1478874908,7,18
1478875334,5,7
1478876170,9,1
1478877015,9,10
1478878220,10,25
1478879111,8,5
1478881214,20,15
1478882108,5,21
1478883192,14,5
1478884377,5,27
1478886136,17,49
1478887167,8,17
1478888115,4,3
1478888889,3,4
1478889916,9,32
1478890905,13,17
1478891648,5,1
1478892488,7,5
1478894708,17,46
1478896215,12,20
1478897111,5,4
1478898159,13,10
1478899212,11,5
1478900106,12,25
1478901097,12,10
1478901911,10,34
1478904015,33,61
1478905296,18,9
1478906113,7,12
1478906940,9,1
1478908348,11,17
1478909713,11,11
1478910514,9,4
1478911333,6,16
1478913253,15,13
1478914213,14,12
1478915111,10,9
1478916310,9,17
1478917215,9,4
1478918113,8,18
1478918533,8,4
1478920450,19,17
1478921290,10,10
1478922311,10,32
1478924411,22,19
1478925502,9,16
1478927109,11,31
1478927649,5,3
1478928619,14,26
1478929515,7,6
1478931612,13,18
1478932088,5,2
1478933118,6,39
1478935212,27,17
1478935688,5,1
1478936710,7,12
1478937911,6,11
1478938782,2,1
1478940015,9,41
1478940908,5,3
1478941813,5,16
1478943733,9,35
1478944572,2,2
1478945413,6,8
1478946611,7,15
1478947485,3,2
1478948488,12,5
1478949703,7,3
1478950811,5,22
1478951662,8,4
1478952612,6,14
1478953814,6,43
1478954714,4,14
1478955532,7,13
1478956367,4,1
1478958134,11,13
1478960112,13,14
1478961016,9,10
1478961910,6,5
1478962568,11,0
1478963411,4,10
1478964488,9,2
1478965514,7,23
1478966711,9,26
1478967613,7,2
1478968088,5,2
1478969111,7,31
1478970849,16,10
1478971817,9,162
1478972726,13,86
1478975708,21,152
1478976134,2,3
1478976998,11,1
1478977814,7,18
1478978890,7,3
1478980763,14,25
1478981712,14,3
1478982610,11,13
1478985427,19,16
1478986513,13,7
1478988612,15,11
1478990110,16,12
1478991912,14,10
1478992452,2,3
1478993413,7,15
1478994309,10,3
1478995104,3,8
1478996112,3,4
1478997012,5,14
1478997912,8,5
1478999112,10,7
1478999653,5,2
1479000492,6,4
1479001332,3,15
1479003309,18,6
1479004815,12,16
1479005708,6,3
1479006615,23,5
1479007471,4,2
1479009271,12,12
1479012135,27,23
1479012972,6,3
1479013810,6,11
1479014888,8,4
1479015948,8,8
1479018014,12,10
1479018909,5,8
1479019336,4,2
1479020534,8,13
1479021614,7,4
1479022812,11,11
1479024312,7,3
1479024848,1,2
1479025817,4,13
1479026538,3,2
1479027373,7,2
1479028205,4,8
1479029105,11,2
1479030139,12,16
1479031511,11,14
1479032415,8,5
1479033620,4,13
1479036018,21,22
1479036913,9,16
1479037337,3,6
1479038219,4,2
1479039310,10,16
1479040215,8,28
1479040939,2,10
1479042311,14,14
1479043217,10,3
1479044538,9,29
1479045372,9,4
1479046214,7,9
1479048139,17,18
1479049509,6,9
1479050411,3,5
1479051741,24,23
1479052572,272,2
1479053414,90,14
1479054308,6,5
1479055211,10,15
1479055337,4,2
1479056221,2,3
1479057251,4,13
1479058214,6,6
1479059115,7,4
1479061215,13,20
1479062108,10,9
1479065288,45,19
1479066313,28,11
1479067451,14,15
1479068412,8,3
1479069308,9,21
1479069741,3,8
1479071649,21,20
1479072619,4,19
1479073510,13,12
1479074317,4,12
1479075310,7,3
1479076210,9,17
1479077436,6,15
1479078911,8,10
1479080534,5,21
1479081914,4,15
1479082813,5,4
1479083708,6,18
1479084588,7,7
1479085509,10,10
1479087614,18,23
1479088666,7,0
1479089712,6,17
1479090615,6,15
