DateTime,Entries,UniqueIPs
1478561114,2687,2687
1478562011,2660,2660
1478562130,2658,2658
1478564411,2657,2657
1478565732,2634,2634
1478566570,2642,2642
1478567411,2636,2636
1478567648,2637,2637
1478568610,2613,2613
1478569511,2621,2621
1478570171,2625,2625
1478571010,2617,2617
1478571247,2618,2618
1478572215,2594,2594
1478573114,2581,2581
1478574205,2564,2564
1478575688,2577,2577
1478576531,2552,2552
1478577367,2557,2557
1478578211,2544,2544
1478579415,2538,2538
1478580128,2535,2535
1478581510,2527,2527
1478582411,2531,2531
1478583615,2500,2500
1478585108,2504,2504
1478586011,2511,2511
1478586910,2492,2492
1478587954,2490,2490
1478589012,2493,2493
1478589996,2497,2497
1478590816,2458,2458
1478592312,2443,2443
1478593215,2450,2450
1478594176,2443,2443
1478595313,2451,2451
1478596212,2434,2434
1478598132,2404,2404
1478600053,2386,2386
1478601012,2377,2377
1478601728,2375,2375
1478602661,2386,2386
1478603503,2360,2360
1478604613,2335,2335
1478608811,2292,2292
1478609983,2279,2279
1478610914,2284,2284
1478611813,2265,2265
1478613500,2250,2250
1478615412,2250,2250
1478616908,2274,2274
1478617813,2253,2253
1478619172,2232,2232
1478621109,2234,2234
1478622013,2243,2243
1478622911,2214,2214
1478623809,2215,2215
1478624652,2190,2190
1478625249,2194,2194
1478626214,2187,2187
1478628608,2188,2188
1478630109,2182,2182
1478631302,2183,2183
1478632514,2177,2177
1478633412,2163,2163
1478634129,2166,2166
1478634973,2172,2172
1478635811,2168,2168
1478636887,2174,2174
1478637913,2166,2166
1478639107,2167,2167
1478640013,2171,2171
1478642168,2195,2195
1478643012,2181,2181
1478644932,2172,2172
1478646199,2171,2171
1478647069,2178,2178
1478648409,2135,2135
1478649309,2138,2138
1478650212,2126,2126
1478651415,2105,2105
1478652313,2114,2114
1478653425,2114,2114
1478655021,2108,2108
1478655913,2111,2111
1478657112,2103,2103
1478658014,2104,2104
1478659334,2075,2075
1478660168,2084,2084
1478661012,2076,2076
1478662088,2078,2078
1478662931,2071,2071
1478663909,2072,2072
1478664912,2096,2096
1478665688,2098,2098
1478666714,2102,2102
1478668453,2107,2107
1478669414,2096,2096
1478670315,2093,2093
1478671511,2068,2068
1478672415,2073,2073
1478673314,2077,2077
1478674571,2088,2088
1478675416,2088,2088
1478676323,2103,2103
1478677215,2081,2081
1478678712,2093,2093
1478679612,2099,2099
1478680649,2099,2099
1478681709,2107,2107
1478682802,2111,2111
1478683820,2120,2120
1478685220,2129,2129
1478686337,2131,2131
1478687410,2122,2122
1478688311,2114,2114
1478690124,2041,2041
1478691308,1775,1775
1478693812,1782,1782
1478694612,1795,1795
1478695514,1802,1802
1478697248,1824,1824
1478698112,1835,1835
1478698933,1829,1829
1478700851,1852,1852
1478701688,1854,1854
1478703587,1845,1845
1478704516,1853,1853
1478705414,1854,1854
1478706135,1856,1856
1478706968,1859,1859
1478707772,1865,1865
1478708673,1875,1875
1478709614,1847,1847
1478711649,1847,1847
1478712616,1836,1836
1478713514,1836,1836
1478714430,1840,1840
1478715312,1864,1864
1478716088,1873,1873
1478717116,1875,1875
1478718848,1874,1874
1478719812,1879,1879
1478720713,1885,1885
1478721908,1883,1883
1478722814,1903,1903
1478723288,1914,1914
1478724135,1905,1905
1478725511,1908,1908
1478726415,1914,1914
1478727283,1907,1907
1478727735,1902,1902
1478729112,1898,1898
1478730012,1909,1909
1478731211,1908,1908
1478732168,1930,1930
1478733014,1944,1944
1478733908,1967,1967
1478734969,1966,1966
1478736236,1960,1960
1478737213,1975,1975
1478740472,1969,1969
1478741411,1957,1957
1478742311,1960,1960
1478744073,1965,1965
1478746082,1980,1980
1478746828,1977,1977
1478747714,1981,1981
1478748614,1971,1971
1478749515,1968,1968
1478750710,1966,1966
1478751612,1975,1975
1478752090,1981,1981
1478753795,1991,1991
1478754910,2000,2000
1478755811,1998,1998
1478756713,1998,1998
1478758812,2012,2012
1478759710,2001,2001
1478760908,1999,1999
1478761813,1992,1992
1478762049,1994,1994
1478763015,2001,2001
1478764410,2017,2017
1478765410,2011,2011
1478767333,2001,2001
1478768941,2003,2003
1478770183,2008,2008
1478771111,2020,2020
1478772032,2026,2026
1478772848,2034,2034
1478773812,2037,2037
1478775307,2047,2047
1478776151,2051,2051
1478777413,2040,2040
1478779142,2029,2029
1478780413,2044,2044
1478781611,2035,2035
1478782915,2034,2034
1478784173,2071,2071
1478786168,2069,2069
1478787303,2043,2043
1478788165,2035,2035
1478789236,2031,2031
1478790312,2012,2012
1478791215,2017,2017
1478792414,2004,2004
1478793912,2013,2013
1478794813,2024,2024
1478795292,2027,2027
1478796133,2009,2009
1478796972,2032,2032
1478797813,2033,2033
1478799733,2033,2033
1478801112,2023,2023
1478802014,2107,2107
1478802908,2220,2220
1478804112,2368,2368
1478805986,2368,2368
1478807612,2373,2373
1478808611,2380,2380
1478809814,2375,2375
1478810714,2358,2358
1478811912,2344,2344
1478812813,2349,2349
1478813688,2341,2341
1478814971,2339,2339
1478815812,2336,2336
1478817732,2310,2310
1478818568,2312,2312
1478819413,2305,2305
1478820491,2311,2311
1478821333,2295,2295
1478823302,2290,2290
1478824217,2271,2271
1478825111,2273,2273
1478826312,2270,2270
1478826852,2277,2277
1478827818,2263,2263
1478828678,2261,2261
1478830620,2267,2267
1478831288,2267,2267
1478832314,2261,2261
1478833443,2245,2245
1478834636,2248,2248
1478835446,2231,2231
1478837710,2199,2199
1478838609,2194,2194
1478841012,2197,2197
1478842813,2190,2190
1478843713,2199,2199
1478844611,2178,2178
1478845815,2160,2160
1478847311,2162,2162
1478848214,2157,2157
1478849414,2128,2128
1478850315,2127,2127
1478850971,2124,2124
1478851813,2119,2119
1478852612,2123,2123
1478853479,2116,2116
1478855113,2100,2100
1478855653,2103,2103
1478856619,2101,2101
1478857512,2100,2100
1478858440,2097,2097
1478859313,2098,2098
1478860204,2094,2094
1478861110,2092,2092
1478862917,2097,2097
1478863737,2104,2104
1478864534,2063,2063
1478865371,2060,2060
1478866212,2053,2053
1478867364,2030,2030
1478868312,2036,2036
1478869228,2024,2024
1478870113,2031,2031
1478871734,2026,2026
1478873111,2023,2023
1478874012,2032,2032
1478874908,2021,2021
1478875334,2019,2019
1478876170,2027,2027
1478877015,2026,2026
1478878220,2011,2011
1478879111,2014,2014
1478881214,2019,2019
1478882108,2003,2003
1478883192,2012,2012
1478884377,1990,1990
1478886136,1958,1958
1478887167,1949,1949
1478888115,1950,1950
1478888889,1949,1949
1478889916,1926,1926
1478890905,1922,1922
1478891648,1926,1926
1478892488,1928,1928
1478894708,1899,1899
1478896215,1891,1891
1478897111,1892,1892
1478898159,1895,1895
1478899212,1901,1901
1478900106,1888,1888
1478901097,1890,1890
1478901911,1866,1866
1478904015,1838,1838
1478905296,1847,1847
1478906113,1842,1842
1478906940,1850,1850
1478908348,1844,1844
1478909713,1844,1844
1478910514,1849,1849
1478911333,1839,1839
1478913253,1841,1841
1478914213,1843,1843
1478915111,1844,1844
1478916310,1836,1836
1478917215,1841,1841
1478918113,1831,1831
1478918533,1835,1835
1478920450,1837,1837
1478921290,1837,1837
1478922311,1815,1815
1478924411,1818,1818
1478925502,1811,1811
1478927109,1791,1791
1478927649,1793,1793
1478928619,1781,1781
1478929515,1782,1782
1478931612,1777,1777
1478932088,1780,1780
1478933118,1747,1747
1478935212,1757,1757
1478935688,1761,1761
1478936710,1756,1756
1478937911,1751,1751
1478938782,1752,1752
1478940015,1720,1720
1478940908,1722,1722
1478941813,1711,1711
1478943733,1685,1685
1478944572,1685,1685
1478945413,1683,1683
1478946611,1675,1675
1478947485,1676,1676
1478948488,1683,1683
1478949703,1687,1687
1478950811,1670,1670
1478951662,1674,1674
1478952612,1666,1666
1478953814,1629,1629
1478954714,1619,1619
1478955532,1613,1613
1478956367,1616,1616
1478958134,1614,1614
1478960112,1613,1613
1478961016,1612,1612
1478961910,1613,1613
1478962568,1624,1624
1478963411,1618,1618
1478964488,1625,1625
1478965514,1609,1609
1478966711,1592,1592
1478967613,1597,1597
1478968088,1600,1600
1478969111,1576,1576
1478970849,1582,1582
1478971817,1429,1429
1478972726,1356,1356
1478975708,1225,1225
1478976134,1224,1224
1478976998,1234,1234
1478977814,1223,1223
1478978890,1227,1227
1478980763,1216,1216
1478981712,1227,1227
1478982610,1225,1225
1478985427,1228,1228
1478986513,1234,1234
1478988612,1238,1238
1478990110,1242,1242
1478991912,1246,1246
1478992452,1245,1245
1478993413,1237,1237
1478994309,1244,1244
1478995104,1239,1239
1478996112,1238,1238
1478997012,1229,1229
1478997912,1232,1232
1478999112,1235,1235
1478999653,1238,1238
1479000492,1240,1240
1479001332,1228,1228
1479003309,1240,1240
1479004815,1236,1236
1479005708,1239,1239
1479006615,1257,1257
1479007471,1259,1259
1479009271,1259,1259
1479012135,1263,1263
1479012972,1266,1266
1479013810,1261,1261
1479014888,1265,1265
1479015948,1265,1265
1479018014,1267,1267
1479018909,1264,1264
1479019336,1266,1266
1479020534,1261,1261
1479021614,1264,1264
1479022812,1264,1264
1479024312,1268,1268
1479024848,1267,1267
1479025817,1258,1258
1479026538,1259,1259
1479027373,1264,1264
1479028205,1260,1260
1479029105,1269,1269
1479030139,1265,1265
1479031511,1262,1262
1479032415,1265,1265
1479033620,1256,1256
1479036018,1255,1255
1479036913,1248,1248
1479037337,1245,1245
1479038219,1247,1247
1479039310,1241,1241
1479040215,1221,1221
1479040939,1213,1213
1479042311,1213,1213
1479043217,1220,1220
1479044538,1200,1200
1479045372,1205,1205
1479046214,1203,1203
1479048139,1202,1202
1479049509,1199,1199
1479050411,1197,1197
1479051741,1198,1198
1479052572,1468,1468
1479053414,1544,1544
1479054308,1545,1545
1479055211,1540,1540
1479055337,1542,1542
1479056221,1541,1541
1479057251,1532,1532
1479058214,1532,1532
1479059115,1535,1535
1479061215,1528,1528
1479062108,1529,1529
1479065288,1555,1555
1479066313,1572,1572
1479067451,1571,1571
1479068412,1576,1576
1479069308,1564,1564
1479069741,1559,1559
1479071649,1560,1560
1479072619,1545,1545
1479073510,1546,1546
1479074317,1538,1538
1479075310,1542,1542
1479076210,1534,1534
1479077436,1525,1525
1479078911,1523,1523
1479080534,1507,1507
1479081914,1496,1496
1479082813,1497,1497
1479083708,1485,1485
1479084588,1485,1485
1479085509,1485,1485
1479087614,1480,1480
1479088666,1487,1487
1479089712,1476,1476
1479090615,1467,1467
1479091446,1464,1464
1479092307,1462,1462
1479093311,1469,1469
1479094212,1458,1458
1479095973,1452,1452
1479096829,1459,1459
1479097654,1465,1465
1479098528,1453,1453
1479099915,1460,1460
1479100814,1469,1469
1479102167,1481,1481
1479104054,1471,1471
1479105015,1468,1468
1479105918,1468,1468
1479107935,1476,1476
1479109211,1475,1475
1479110362,1479,1479
1479111317,1485,1485
1479112211,1484,1484
1479113111,1484,1484
1479113768,1486,1486
1479114579,1483,1483
1479115511,1485,1485
1479116416,1483,1483
1479117368,1488,1488
1479118210,1472,1472
