DateTime,AddedIPs,RemovedIPs
1478568608,139,108
1478569507,151,53
1478570166,113,0
1478571007,147,112
1478571245,38,0
1478572209,199,88
1478573110,185,33
1478574203,182,64
1478575209,203,0
1478575685,72,0
1478576527,137,86
1478577365,137,1
1478578207,124,67
1478579411,180,61
1478580126,91,30
1478581507,173,55
1478582407,105,0
1478583612,130,87
1478585105,131,27
1478586008,20,0
1478586906,15,62
1478587952,36,36
1478589007,39,32
1478589993,16,1
1478590812,23,88
1478592309,46,47
1478593212,35,2
1478594173,29,50
1478595367,52,18
1478596209,49,36
1478598127,138,95
1478600050,214,69
1478601008,67,44
1478601726,59,13
1478602658,90,0
1478603500,53,65
1478604610,85,69
1478608808,598,188
1478609981,160,57
1478610911,173,3
1478611809,170,65
1478613497,243,69
1478615407,281,75
1478616905,228,22
1478617810,98,42
1478619169,183,63
1478621107,212,75
1478622010,115,1
1478622908,93,69
1478623805,84,20
1478624648,67,56
1478625246,43,0
1478626211,66,55
1478628605,212,65
1478630106,175,63
1478631299,209,25
1478632510,215,44
1478633406,147,62
1478634127,94,15
1478634969,147,1
1478635808,185,20
1478636885,173,1
1478637909,108,25
1478640008,302,13
1478641210,167,48
1478642166,116,0
1478643008,120,35
1478644928,308,44
1478646197,123,51
1478647066,95,0
1478648406,173,100
1478649306,106,0
1478650210,103,27
1478651409,111,57
1478652308,95,8
1478653423,183,32
1478655019,243,49
1478655909,100,32
1478657109,232,53
1478658011,146,0
1478659330,182,74
1478660166,162,1
1478661009,139,33
1478662086,176,1
1478662929,127,85
1478663907,241,27
1478664908,266,2
1478665685,142,1
1478666709,265,51
1478668450,397,29
1478669409,169,30
1478670308,122,22
1478671508,152,44
1478672411,115,0
1478673311,48,36
1478674568,32,19
1478675412,32,45
1478676321,39,0
1478677210,22,86
1478678709,37,40
1478679607,44,0
1478680647,35,42
1478681705,42,17
1478682800,32,40
1478683812,51,52
1478685217,99,28
1478686335,124,81
1478687406,224,185
1478688308,185,64
1478690121,282,239
1478691306,191,462
1478693809,447,241
1478694609,211,227
1478695508,192,66
1478697245,292,142
1478698109,214,4
1478698929,196,290
1478700848,300,142
1478701685,152,0
1478703585,312,412
1478704511,60,4
1478705411,57,104
1478706131,42,35
1478706966,32,0
1478707768,46,80
1478708668,62,0
1478709609,66,165
1478711109,80,87
1478711646,44,0
