DateTime,Entries,UniqueIPs
1478899206,29007,29007
1478900103,28625,28625
1478901095,28659,28659
1478901908,28562,28562
1478904010,28433,28433
1478905290,28386,28386
1478906109,28392,28392
1478906937,28483,28483
1478908346,28376,28376
1478909708,28293,28293
1478910512,28379,28379
1478911329,28141,28141
1478913251,28137,28137
1478914210,27978,27978
1478915109,27953,27953
1478917209,27919,27919
1478918110,27730,27730
1478918530,27684,27684
1478920447,27648,27648
1478921288,27717,27717
1478922307,27454,27454
1478924407,27404,27404
1478925500,27230,27230
1478927107,27205,27205
1478927646,27256,27256
1478928613,27236,27236
1478929509,27287,27287
1478931608,27426,27426
1478932085,27463,27463
1478933115,27437,27437
1478935208,27595,27595
1478935686,27608,27608
1478936707,27486,27486
1478937908,27445,27445
1478938779,27460,27460
1478940010,27180,27180
1478940905,27203,27203
1478941809,27069,27069
1478943730,26607,26607
1478944570,26624,26624
1478945409,26411,26411
1478946608,26152,26152
1478947483,26071,26071
1478948481,25928,25928
1478949696,25963,25963
1478950807,25551,25551
1478951660,25587,25587
1478952609,25413,25413
1478953811,25106,25106
1478954709,25042,25042
1478955529,24922,24922
1478956365,24926,24926
1478958128,24624,24624
1478960108,24507,24507
1478961013,24144,24144
1478961908,24105,24105
1478962566,24143,24143
1478963409,23967,23967
1478964486,24010,24010
1478965510,23668,23668
1478966706,23467,23467
1478967608,23494,23494
1478968086,23507,23507
1478969108,23128,23128
1478970846,22978,22978
1478971812,22582,22582
1478972724,22442,22442
1478974809,22236,22236
1478975706,22150,22150
1478976129,22134,22134
1478976996,22164,22164
1478977808,22069,22069
1478978887,22094,22094
1478980760,22052,22052
1478981709,22069,22069
1478982606,22027,22027
1478985424,22009,22009
1478986508,21970,21970
1478988608,21936,21936
1478990107,21902,21902
1478991908,21837,21837
1478992449,21846,21846
1478993408,21796,21796
1478994306,21780,21780
1478995102,21726,21726
1478996108,21738,21738
1478997009,21653,21653
1478997908,21625,21625
1478999108,21556,21556
1478999650,21563,21563
1479000489,21573,21573
1479001328,21423,21423
1479003306,21370,21370
1479004808,21182,21182
1479005706,21206,21206
1479006609,21126,21126
1479007469,21137,21137
1479009269,20944,20944
1479012131,20646,20646
1479012970,20664,20664
1479013806,20563,20563
1479014886,20591,20591
1479015946,20405,20405
1479018007,20349,20349
1479018906,20290,20290
1479019330,20283,20283
1479020529,20265,20265
1479021608,20285,20285
1479022807,20250,20250
1479024308,20216,20216
1479024846,20223,20223
1479025812,20166,20166
1479026531,20155,20155
1479027369,20172,20172
1479028203,20143,20143
1479029103,20164,20164
1479030014,20079,20079
1479030132,20081,20081
1479031506,19964,19964
1479032409,19990,19990
1479033609,19738,19738
1479036013,19624,19624
1479036909,19465,19465
1479037331,19425,19425
1479038217,19438,19438
1479039306,19325,19325
1479040209,19183,19183
1479040934,19149,19149
1479043212,19079,19079
1479044531,18891,18891
1479045369,18903,18903
1479046209,18807,18807
1479048133,18376,18376
1479049506,18197,18197
1479050408,18210,18210
1479051736,17952,17952
1479052567,18245,18245
1479053409,18205,18205
1479054305,18242,18242
1479055206,18062,18062
1479055331,18066,18066
1479056219,18084,18084
1479057247,17986,17986
1479058208,17768,17768
1479059109,17706,17706
1479061209,17567,17567
1479062105,17362,17362
1479065286,17240,17240
1479066308,17014,17014
1479067444,16900,16900
1479068407,16927,16927
1479069306,16761,16761
1479069735,16718,16718
1479071646,16613,16613
1479072611,16457,16457
1479073507,16401,16401
1479074314,16300,16300
1479075306,16305,16305
1479076206,16151,16151
1479077434,16125,16125
1479078906,16051,16051
1479080529,15852,15852
1479081910,15729,15729
1479082809,15737,15737
1479083705,15625,15625
1479084585,15601,15601
1479085507,15524,15524
1479087609,15392,15392
1479087727,15395,15395
1479088664,15419,15419
1479089708,15353,15353
1479090612,15223,15223
1479091439,15184,15184
1479092304,15119,15119
1479093306,15135,15135
1479094207,15022,15022
1479095971,14904,14904
1479096827,14930,14930
1479097652,14948,14948
1479098526,14769,14769
1479099910,14697,14697
1479100809,14715,14715
1479102151,14529,14529
1479104051,14415,14415
1479105009,14299,14299
1479105915,14311,14311
1479107933,14335,14335
1479109209,14320,14320
1479110360,14332,14332
1479111311,14350,14350
1479112208,14334,14334
1479113106,14347,14347
1479113766,14360,14360
1479114576,14355,14355
1479115503,14375,14375
1479116411,14340,14340
1479117366,14366,14366
1479118206,14339,14339
1479119412,14320,14320
1479120309,14345,14345
1479121433,14323,14323
1479122541,14351,14351
1479123610,14323,14323
1479123727,14325,14325
1479125708,14356,14356
1479126751,14342,14342
1479127717,14367,14367
1479129610,14381,14381
1479130915,14375,14375
1479132539,14382,14382
1479133782,14351,14351
1479134907,14363,14363
1479135861,14346,14346
1479137707,14362,14362
1479139711,14364,14364
1479141007,14391,14391
1479141906,14397,14397
