DateTime,Entries,UniqueIPs
1478163941,154,154
1478164836,153,153
1478171144,152,152
1478173334,153,153
1478175316,154,154
1478176223,155,155
1478178621,153,153
1478179514,153,153
1478180577,151,151
1478182794,153,153
1478186119,154,154
1478187021,153,153
1478188875,152,152
1478191260,149,149
1478194975,149,149
1478195787,152,152
1478196618,151,151
1478197514,153,153
1478199371,151,151
1478203355,139,139
1478204436,142,142
1478205375,143,143
1478207421,144,144
1478209366,145,145
1478211318,145,145
1478212218,145,145
1478213152,145,145
1478215241,144,144
1478216574,145,145
1478218521,145,145
1478219419,146,146
1478222410,147,147
1478223311,149,149
1478224833,149,149
1478229316,150,150
1478230221,151,151
1478231715,152,152
1478233013,151,151
1478233820,152,152
1478234566,150,150
1478237734,152,152
1478240117,154,154
1478240896,153,153
1478243651,155,155
1478244623,156,156
1478245392,157,157
1478246572,158,158
1478247406,160,160
1478248221,159,159
1478249114,159,159
1478250923,160,160
1478251825,159,159
1478252697,159,159
1478253717,159,159
1478254860,160,160
1478255711,159,159
1478256915,158,158
1478258752,159,159
1478259627,158,158
1478261429,159,159
1478262616,158,158
1478265318,156,156
1478266509,154,154
1478267432,155,155
1478268607,154,154
1478271528,155,155
1478274313,156,156
1478276369,156,156
1478279257,155,155
1478280910,150,150
1478282982,147,147
1478284221,146,146
1478286346,144,144
1478288453,142,142
1478289954,144,144
1478293078,142,142
1478295781,143,143
1478297168,144,144
1478298034,146,146
1478299248,144,144
1478300168,145,145
1478301316,146,146
1478305236,147,147
1478306758,148,148
1478309212,150,150
1478310038,150,150
1478313047,149,149
1478313945,150,150
1478314862,151,151
1478315713,152,152
1478317369,153,153
1478320245,152,152
1478320976,153,153
1478324589,152,152
1478328050,150,150
1478329548,152,152
1478331639,151,151
1478334628,150,150
1478336275,149,149
1478338531,147,147
1478341868,146,146
1478342746,147,147
1478343962,146,146
1478346722,145,145
1478349761,144,144
1478353097,144,144
1478355312,145,145
1478356932,145,145
1478358370,143,143
1478360109,140,140
1478362513,141,141
1478365510,138,138
1478367613,137,137
1478371241,137,137
1478374288,136,136
1478377212,137,137
1478378108,136,136
1478380446,137,137
1478382068,137,137
1478383810,136,136
1478385069,137,137
1478387175,138,138
1478388011,140,140
1478391051,141,141
1478392856,140,140
1478395211,138,138
1478396112,136,136
1478396993,134,134
1478399455,131,131
1478402392,132,132
1478404496,133,133
1478405711,132,132
1478406780,131,131
1478408622,131,131
1478409608,132,132
1478410836,131,131
1478412852,130,130
1478415972,128,128
1478418204,130,130
1478419098,129,129
1478420113,127,127
1478421071,128,128
1478421913,127,127
1478423173,127,127
1478425356,127,127
1478428171,127,127
1478431816,125,125
1478433873,125,125
1478438486,124,124
1478442675,125,125
1478443515,126,126
1478448616,128,128
1478450411,129,129
1478451310,130,130
1478452265,129,129
1478457615,132,132
1478459192,131,131
1478460909,129,129
1478464930,128,128
1478466697,128,128
1478467817,126,126
1478468775,128,128
1478469911,127,127
1478470848,128,128
1478472012,127,127
1478475015,128,128
1478476493,128,128
1478477923,132,132
1478478804,132,132
1478479859,132,132
1478481613,133,133
1478482512,136,136
1478484246,137,137
1478485212,138,138
1478486533,137,137
1478488813,139,139
1478490971,144,144
1478491811,143,143
1478493012,142,142
1478495410,142,142
1478497329,141,141
1478499248,140,140
1478500218,139,139
1478506814,139,139
1478508970,140,140
1478512480,139,139
1478514616,140,140
1478515493,142,142
1478518221,146,146
1478522391,145,145
1478524212,146,146
1478526131,145,145
1478527809,145,145
1478529728,146,146
1478533510,144,144
1478538404,147,147
1478541369,148,148
1478544128,148,148
1478546049,149,149
1478547019,148,148
1478547729,147,147
1478550618,147,147
1478553601,148,148
1478554513,149,149
1478554935,150,150
1478556310,150,150
1478557215,153,153
1478558087,167,167
1478558528,178,178
1478560212,176,176
1478561115,174,174
1478562012,174,174
1478564412,176,176
1478565733,176,176
1478569514,177,177
1478571248,176,176
1478573114,176,176
1478574205,175,175
1478575689,174,174
1478576532,173,173
1478577368,174,174
1478578211,174,174
1478580129,173,173
1478581510,174,174
1478583617,174,174
1478585108,173,173
1478586910,174,174
1478589012,173,173
1478589996,174,174
