DateTime,AddedIPs,RemovedIPs
1478577364,20,0
1478578206,18,48
1478579408,20,37
1478580125,11,11
1478581505,34,24
1478582406,13,0
1478583607,21,40
1478585104,31,13
1478586006,16,1
1478586904,14,22
1478587950,29,11
1478589004,24,20
1478589992,15,0
1478590807,12,31
1478592305,36,28
1478593207,12,0
1478594172,23,19
1478595365,27,12
1478596206,22,14
1478598125,35,48
1478599207,19,29
1478600047,17,0
1478601004,26,39
1478601724,17,29
1478602657,24,0
1478603499,26,30
1478604606,41,42
1478608806,107,79
1478609980,19,17
1478610907,20,6
1478611806,17,33
1478613496,30,41
1478615405,43,37
1478616904,25,17
1478617806,42,27
1478619168,81,33
1478621105,89,38
1478622006,27,1
1478622905,26,26
1478623804,22,13
1478624645,32,24
1478625244,15,0
1478626206,26,35
1478628604,52,44
1478630104,37,29
1478631298,36,15
1478632507,30,38
1478633405,21,37
1478634126,22,12
1478634966,31,0
1478635806,17,36
1478636884,28,0
1478637906,42,57
1478640005,95,42
1478641207,31,43
1478642164,25,2
1478643005,11,28
1478644925,44,54
1478646195,24,25
1478647065,14,0
1478648405,35,47
1478649304,29,1
1478650206,17,42
1478651407,28,30
1478652306,17,91
1478653422,24,30
1478655016,29,56
1478655905,18,60
1478657106,31,53
1478658009,21,0
1478659327,32,35
1478660164,12,0
1478661006,31,15
1478662085,25,0
1478662926,24,63
1478663905,32,41
1478664906,36,10
1478665684,21,0
1478666708,34,78
1478668446,38,18
1478669406,19,30
1478670305,21,5
1478671504,21,16
1478672408,10,1
1478673306,21,33
1478674565,30,8
1478675407,27,28
1478676319,15,0
1478677207,25,59
1478678706,35,23
1478679605,18,0
1478680646,23,63
1478681704,23,9
1478682798,21,19
1478683806,24,38
1478685215,35,6
1478686333,40,23
1478687404,41,42
1478688306,39,11
1478690119,45,45
1478691304,27,32
1478693808,53,46
1478694606,21,37
1478695506,21,18
1478697244,28,25
1478698108,16,0
1478698926,14,49
1478700845,29,17
1478701684,12,0
1478703584,38,85
1478704506,19,1
1478705406,24,25
1478706127,19,13
1478706964,16,0
1478707767,15,35
1478708666,18,1
1478709606,27,70
1478711105,36,33
1478711645,13,0
1478712609,23,38
1478713507,17,10
1478714421,22,20
1478715305,19,0
1478716085,10,0
1478717105,39,51
1478718844,26,20
1478719806,21,71
1478720706,16,44
1478721904,25,27
1478722805,23,2
1478723284,15,0
1478724127,22,48
1478725505,34,26
1478726406,18,0
1478727279,24,35
1478727728,15,10
1478729105,24,33
1478730004,15,0
1478731204,30,47
1478732164,20,0
1478733006,15,23
1478733904,13,0
1478734965,24,62
1478736233,34,28
1478737206,23,0
1478740469,81,66
1478741406,21,39
1478742304,15,31
1478744069,49,30
1478746079,44,59
1478746822,18,42
1478747705,20,0
1478748606,14,27
1478749505,34,6
1478750705,54,27
1478751606,16,0
1478752085,11,0
1478753788,42,46
1478754904,29,26
1478755805,19,38
1478756705,21,11
1478758805,25,39
1478759705,24,25
1478760904,31,11
1478761805,21,28
1478762045,7,0
1478763006,24,32
1478764406,33,15
1478765405,24,35
1478767326,53,61
1478768937,29,21
1478770177,74,40
1478771106,16,14
1478772023,13,38
1478772844,17,0
1478773804,27,62
1478775304,33,12
1478776147,18,55
1478777405,30,40
1478779139,33,32
1478780406,40,4
1478781605,23,44
1478782908,27,33
1478784170,16,0
1478785208,24,63
1478786164,16,0
1478787300,27,21
1478788161,14,39
1478789233,21,18
1478791208,43,31
1478792407,17,53
1478793906,40,38
1478794807,17,0
1478795286,10,0
1478796127,22,61
1478796967,21,0
1478797805,20,27
1478799728,37,49
1478801107,31,27
1478802004,21,1
1478802904,23,47
1478804106,25,15
1478805982,45,33
1478807608,33,62
1478808605,17,34
1478809806,29,76
1478810707,14,13
1478811906,18,27
1478812805,17,0
1478813684,29,41
1478814964,41,11
1478815806,21,22
1478817725,37,53
1478818564,10,0
1478819407,13,37
1478820487,16,0
1478821325,18,53
1478823235,30,22
1478824208,15,32
1478825104,20,9
