DateTime,Entries,UniqueIPs
1478547725,4424,4424
1478549644,4451,4451
1478550609,4431,4431
1478551507,4475,4475
1478552705,4454,4454
1478553597,4474,4474
1478554505,4464,4464
1478554928,4458,4458
1478556305,4473,4473
1478557209,4489,4489
1478558083,4476,4476
1478558524,4470,4470
1478559365,4484,4484
1478560204,4485,4485
1478561110,4497,4497
1478562004,4479,4479
1478562125,4480,4480
1478564404,4487,4487
1478565727,4455,4455
1478566564,4471,4471
1478567405,4470,4470
1478567644,4476,4476
1478568605,4464,4464
1478569505,4467,4467
1478570164,4484,4484
1478571004,4485,4485
1478571244,4492,4492
1478572205,4471,4471
1478573106,4492,4492
1478574201,4490,4490
1478575205,4514,4514
1478575684,4528,4528
1478576525,4506,4506
1478577364,4526,4526
1478578206,4496,4496
1478579408,4479,4479
1478580125,4479,4479
1478581505,4489,4489
1478582406,4502,4502
1478583607,4483,4483
1478585104,4501,4501
1478586006,4516,4516
1478586904,4508,4508
1478587950,4526,4526
1478589004,4530,4530
1478589992,4545,4545
1478590807,4526,4526
1478592305,4534,4534
1478593207,4546,4546
1478594172,4550,4550
1478595365,4565,4565
1478596206,4573,4573
1478598125,4560,4560
1478599207,4550,4550
1478600047,4567,4567
1478601004,4554,4554
1478601724,4542,4542
1478602657,4566,4566
1478603499,4562,4562
1478604606,4561,4561
1478608806,4589,4589
1478609980,4591,4591
1478610907,4605,4605
1478611806,4589,4589
1478613496,4578,4578
1478615405,4584,4584
1478616904,4592,4592
1478617806,4607,4607
1478619168,4655,4655
1478621105,4706,4706
1478622006,4732,4732
1478622905,4732,4732
1478623804,4741,4741
1478624645,4749,4749
1478625244,4764,4764
1478626206,4755,4755
1478628604,4763,4763
1478630104,4771,4771
1478631298,4792,4792
1478632507,4784,4784
1478633405,4768,4768
1478634126,4778,4778
1478634966,4809,4809
1478635806,4790,4790
1478636884,4818,4818
1478637906,4803,4803
1478640005,4856,4856
1478641207,4844,4844
1478642164,4867,4867
1478643005,4850,4850
1478644925,4840,4840
1478646195,4839,4839
1478647065,4853,4853
1478648405,4841,4841
1478649304,4869,4869
1478650206,4844,4844
1478651407,4842,4842
1478652306,4768,4768
1478653422,4762,4762
1478655016,4735,4735
1478655905,4693,4693
1478657106,4671,4671
1478658009,4692,4692
1478659327,4689,4689
1478660164,4701,4701
1478661006,4717,4717
1478662085,4742,4742
1478662926,4703,4703
1478663905,4694,4694
1478664906,4720,4720
1478665684,4741,4741
1478666708,4697,4697
1478668446,4717,4717
1478669406,4706,4706
1478670305,4722,4722
1478671504,4727,4727
1478672408,4736,4736
1478673306,4724,4724
1478674565,4746,4746
1478675407,4745,4745
1478676319,4760,4760
1478677207,4726,4726
1478678706,4738,4738
1478679605,4756,4756
1478680646,4716,4716
1478681704,4730,4730
1478682798,4732,4732
1478683806,4718,4718
1478685215,4747,4747
1478686333,4764,4764
1478687404,4763,4763
1478688306,4791,4791
1478690119,4791,4791
1478691304,4786,4786
1478693808,4793,4793
1478694606,4777,4777
1478695506,4780,4780
1478697244,4783,4783
1478698108,4799,4799
1478698926,4764,4764
1478700845,4776,4776
1478701684,4788,4788
1478703584,4741,4741
1478704506,4759,4759
1478705406,4758,4758
1478706127,4764,4764
1478706964,4780,4780
1478707767,4760,4760
1478708666,4777,4777
1478709606,4734,4734
1478711105,4737,4737
1478711645,4750,4750
1478712609,4735,4735
1478713507,4742,4742
1478714421,4744,4744
1478715305,4763,4763
1478716085,4773,4773
1478717105,4761,4761
1478718844,4767,4767
1478719806,4717,4717
1478720706,4689,4689
1478721904,4687,4687
1478722805,4708,4708
1478723284,4723,4723
1478724127,4697,4697
1478725505,4705,4705
1478726406,4723,4723
1478727279,4712,4712
1478727728,4717,4717
1478729105,4708,4708
1478730004,4723,4723
1478731204,4706,4706
1478732164,4726,4726
1478733006,4718,4718
1478733904,4731,4731
1478734965,4693,4693
1478736233,4699,4699
1478737206,4722,4722
1478740469,4737,4737
1478741406,4719,4719
1478742304,4703,4703
1478744069,4722,4722
1478746079,4707,4707
1478746822,4683,4683
1478747705,4703,4703
1478748606,4690,4690
1478749505,4718,4718
1478750705,4745,4745
1478751606,4761,4761
1478752085,4772,4772
1478753788,4768,4768
1478754904,4771,4771
1478755805,4752,4752
1478756705,4762,4762
1478758805,4748,4748
1478759705,4747,4747
1478760904,4767,4767
1478761805,4760,4760
1478762045,4767,4767
1478763006,4759,4759
1478764406,4777,4777
1478765405,4766,4766
1478767326,4758,4758
1478768937,4766,4766
1478770177,4800,4800
1478771106,4802,4802
1478772023,4777,4777
1478772844,4794,4794
1478773804,4759,4759
1478775304,4780,4780
1478776147,4743,4743
1478777405,4733,4733
1478779139,4734,4734
1478780406,4770,4770
1478781605,4749,4749
1478782908,4743,4743
1478784170,4759,4759
1478785208,4720,4720
1478786164,4736,4736
1478787300,4742,4742
1478788161,4717,4717
1478789233,4720,4720
1478791208,4732,4732
1478792407,4696,4696
1478793906,4698,4698
1478794807,4715,4715
1478795286,4725,4725
1478796127,4686,4686
1478796967,4707,4707
1478797805,4700,4700
1478799728,4688,4688
1478801107,4692,4692
1478802004,4712,4712
1478802904,4688,4688
1478804106,4698,4698
1478805982,4710,4710
1478807608,4681,4681
1478808605,4664,4664
1478809806,4617,4617
1478810707,4618,4618
1478811906,4609,4609
1478812805,4626,4626
1478813684,4614,4614
1478814964,4644,4644
1478815806,4643,4643
1478817725,4627,4627
1478818564,4637,4637
1478819407,4613,4613
1478820487,4629,4629
1478821325,4594,4594
1478823235,4602,4602
1478824208,4585,4585
1478825104,4596,4596
1478826846,4605,4605
1478827808,4580,4580
1478828674,4575,4575
1478830616,4595,4595
1478831284,4606,4606
1478832306,4564,4564
1478833440,4553,4553
1478834632,4588,4588
1478835442,4552,4552
1478837705,4564,4564
1478838605,4540,4540
1478841004,4552,4552
1478842805,4543,4543
1478843706,4558,4558
1478844605,4537,4537
1478845806,4528,4528
1478847304,4551,4551
1478848206,4536,4536
1478848444,4541,4541
1478849406,4524,4524
1478850306,4526,4526
1478850965,4541,4541
1478851806,4552,4552
1478852608,4565,4565
1478853476,4541,4541
1478855106,4541,4541
1478855646,4559,4559
1478856607,4502,4502
1478857505,4487,4487
1478859305,4488,4488
1478860099,4502,4502
1478861105,4464,4464
1478862092,4465,4465
1478862907,4482,4482
1478863734,4489,4489
1478864528,4457,4457
1478865366,4481,4481
1478866205,4473,4473
1478867358,4501,4501
1478868305,4513,4513
1478868965,4524,4524
1478869221,4502,4502
1478870105,4516,4516
1478871727,4513,4513
1478873106,4510,4510
1478874005,4525,4525
1478874905,4505,4505
1478875326,4502,4502
1478876165,4518,4518
1478877006,4507,4507
1478878208,4489,4489
1478879105,4489,4489
1478881206,4512,4512
1478882105,4486,4486
1478883188,4503,4503
1478884373,4501,4501
1478886128,4504,4504
1478887164,4487,4487
1478888107,4506,4506
1478888885,4523,4523
1478889905,4498,4498
1478890897,4494,4494
1478891645,4506,4506
1478892485,4524,4524
1478894704,4456,4456
1478896206,4439,4439
1478897106,4460,4460
1478898151,4459,4459
1478899204,4487,4487
1478900102,4485,4485
1478901094,4503,4503
1478901907,4499,4499
1478904008,4481,4481
1478905286,4477,4477
1478906106,4478,4478
1478906936,4502,4502
1478908344,4497,4497
1478909705,4478,4478
1478910511,4494,4494
1478911327,4461,4461
1478913247,4452,4452
1478914207,4436,4436
1478915105,4438,4438
1478917206,4452,4452
1478918106,4431,4431
1478918527,4430,4430
1478920445,4436,4436
1478921285,4445,4445
1478922304,4418,4418
1478924405,4418,4418
1478925499,4391,4391
1478927105,4377,4377
1478927645,4390,4390
1478928611,4397,4397
1478929507,4408,4408
1478931605,4406,4406
1478932084,4418,4418
1478933114,4379,4379
1478935206,4402,4402
1478935684,4409,4409
1478936706,4366,4366
1478937905,4367,4367
1478938778,4389,4389
1478940008,4315,4315
1478940904,4331,4331
1478941806,4324,4324
1478943727,4341,4341
1478944566,4375,4375
1478945406,4361,4361
1478946606,4349,4349
1478947482,4348,4348
1478948478,4352,4352
1478949694,4383,4383
1478950805,4345,4345
1478951659,4384,4384
1478952605,4379,4379
1478953809,4389,4389
1478954706,4391,4391
1478955528,4387,4387
1478956363,4402,4402
1478958126,4389,4389
1478960105,4410,4410
1478961011,4396,4396
1478961905,4411,4411
1478962564,4425,4425
1478963405,4411,4411
1478964485,4436,4436
1478965506,4416,4416
1478966704,4401,4401
1478967605,4419,4419
1478968084,4431,4431
1478969105,4393,4393
1478970845,4405,4405
1478971808,4381,4381
1478972723,4389,4389
1478974805,4401,4401
1478975705,4365,4365
1478976127,4365,4365
1478976995,4375,4375
1478977806,4384,4384
1478978886,4409,4409
1478980759,4395,4395
1478981705,4410,4410
1478982605,4391,4391
1478985421,4422,4422
1478986506,4428,4428
1478988605,4441,4441
1478990105,4439,4439
1478991905,4432,4432
1478992446,4448,4448
1478993405,4445,4445
1478994305,4444,4444
1478995100,4442,4442
1478996106,4457,4457
1478997007,4459,4459
1478997905,4464,4464
1478999105,4472,4472
1478999646,4490,4490
1479000485,4510,4510
1479001326,4481,4481
1479003304,4491,4491
1479004805,4481,4481
1479005704,4497,4497
1479006605,4482,4482
1479007468,4521,4521
1479009267,4520,4520
1479012128,4490,4490
1479012966,4507,4507
1479013804,4501,4501
1479014884,4517,4517
1479015945,4486,4486
1479018005,4489,4489
1479018904,4457,4457
1479019326,4454,4454
1479020527,4451,4451
1479021606,4474,4474
1479022805,4443,4443
1479024304,4421,4421
1479024844,4431,4431
1479025808,4406,4406
1479026527,4408,4408
1479027366,4422,4422
1479028157,4404,4404
1479029102,4412,4412
1479030011,4381,4381
1479030130,4383,4383
1479031504,4388,4388
1479032405,4402,4402
1479033607,4367,4367
1479036009,4386,4386
1479036907,4344,4344
1479037329,4332,4332
1479038216,4369,4369
1479039304,4364,4364
1479040206,4348,4348
1479040931,4351,4351
1479043208,4395,4395
1479044527,4375,4375
1479045366,4399,4399
1479046205,4397,4397
1479048131,4393,4393
1479049505,4370,4370
1479050405,4375,4375
1479051733,4335,4335
1479052564,4382,4382
1479053405,4382,4382
1479054304,4405,4405
1479055205,4363,4363
1479056217,4373,4373
1479057245,4355,4355
1479058206,4315,4315
1479059106,4308,4308
1479061205,4297,4297
1479062104,4272,4272
1479065284,4351,4351
1479066304,4344,4344
1479067440,4352,4352
1479068405,4392,4392
1479069304,4369,4369
1479069730,4351,4351
1479071644,4369,4369
1479072608,4362,4362
1479073505,4384,4384
1479074313,4381,4381
1479075305,4414,4414
1479076205,4388,4388
1479077432,4408,4408
1479078905,4432,4432
1479080526,4422,4422
1479081906,4424,4424
1479082806,4441,4441
1479083704,4423,4423
1479084584,4428,4428
1479085504,4432,4432
1479087606,4441,4441
1479087725,4442,4442
1479088662,4455,4455
1479089705,4429,4429
1479090607,4403,4403
1479091418,4405,4405
1479092303,4410,4410
1479093305,4428,4428
1479094205,4419,4419
1479095970,4422,4422
1479096826,4445,4445
1479097651,4458,4458
1479098525,4405,4405
