DateTime,AddedIPs,RemovedIPs
1478927402,1,2
1478927705,12,61
1478928302,15,0
1478928605,0,4
1478929202,34,3
1478929804,1,11
1478930403,0,2
1478931002,2,1
1478931305,0,15
1478931903,44,46
1478932506,20,55
1478933104,2,19
1478933703,65,4
1478934005,0,45
1478934605,0,36
1478935204,29,38
1478935506,37,21
1478936105,10,25
1478936407,25,65
1478937005,3,15
1478937602,2,1
1478938202,103,3
1478938803,3,4
1478939405,0,34
1478940006,0,63
1478940602,20,25
1478940904,69,13
1478941502,1,12
1478942103,5,5
1478942702,0,3
1478943005,1,7
1478943606,1,54
1478944203,0,36
1478944804,2,30
1478945405,42,22
1478946003,16,12
1478946316,0,31
1478946903,11,37
1478947205,0,49
1478947802,42,31
1478948104,22,6
1478948704,0,3
1478949303,1,26
1478949606,6,33
1478950204,93,39
1478950506,51,41
1478951106,133,103
1478951708,51,114
1478952308,2,116
1478952905,38,103
1478953211,42,73
1478953805,130,59
1478954405,7,47
1478955006,106,78
1478955607,47,107
1478956205,61,15
1478956806,51,53
1478957403,73,13
1478958006,22,25
1478958606,51,66
1478959209,47,107
1478959806,0,66
1478960403,0,38
1478961008,78,64
1478961605,44,34
1478962204,62,33
1478962804,0,32
1478963404,1,32
1478963705,12,46
1478964304,1,27
1478964905,38,23
1478965503,14,28
1478966106,19,42
1478966703,0,6
1478967005,13,25
1478967603,35,3
1478967905,3,21
1478968506,0,81
1478969103,1,12
1478969705,0,18
1478970304,31,11
1478970905,2,3
1478971505,10,38
1478972102,0,1
1478972704,5,7
1478973007,7,89
1478973602,11,2
1478973906,0,21
1478974504,0,54
1478975102,14,3
1478975706,8,38
1478976305,84,28
1478976904,3,60
1478977503,2,5
1478977805,2,8
1478978405,1,51
1478979004,7,11
1478979306,0,11
1478979902,26,4
1478980506,3,54
1478981103,1,55
1478981705,1,29
1478982304,3,32
1478982904,53,24
1478983506,1,55
1478984103,2,3
1478984707,58,76
1478985304,2,28
1478985903,1,39
1478986505,75,39
1478987107,31,50
1478987705,0,46
1478988304,0,21
1478989203,0,41
1478989805,15,36
1478990405,1,34
1478991010,0,99
1478991604,1,37
1478992204,24,32
1478992804,6,31
1478993403,9,9
1478994003,46,6
1478994603,24,6
1478995204,1,8
1478995804,1,19
1478996403,11,17
1478997004,1,19
1478997603,49,4
1478997904,0,23
1478998503,1,2
1478999105,14,19
1478999703,8,9
1479000303,32,4
1479000902,41,21
1479001504,55,3
1479002103,21,1
1479002703,1,1
1479003303,0,3
1479003605,0,2
1479004203,0,4
1479004804,0,15
1479005402,0,1
1479006003,14,3
1479006602,0,4
1479006904,9,2
1479007504,12,6
1479008102,0,2
1479008703,0,20
1479009902,2,2
1479010502,74,1
1479010804,1,28
1479011403,0,5
1479012008,36,36
1479012603,0,1
1479013202,6,30
1479013804,62,9
1479014403,1,13
1479015002,22,13
1479015305,10,28
1479015902,0,8
1479016503,53,3
1479017102,2,0
1479017703,32,9
1479018005,34,36
1479018904,29,23
1479019502,85,8
1479019806,2,31
1479020403,0,33
1479021304,3,7
1479021905,13,57
1479022506,50,21
