DateTime,Entries,UniqueIPs
1479066003,12012,12012
1479066305,12009,12009
1479066903,12069,12069
1479067503,12117,12117
1479068102,12237,12237
1479068703,12250,12250
1479069005,12263,12263
1479069604,12234,12234
1479070203,12313,12313
1479070804,12286,12286
1479071403,12308,12308
1479072003,12307,12307
1479072603,12323,12323
1479072906,12291,12291
1479073503,12337,12337
1479074102,12321,12321
1479074702,12341,12341
1479075302,12344,12344
1479075908,12334,12334
1479076504,12328,12328
1479077103,12370,12370
1479077702,12405,12405
1479078304,12435,12435
1479078903,12410,12410
1479079503,12418,12418
1479080105,12388,12388
1479080704,12360,12360
1479081303,12356,12356
1479081902,12357,12357
1479082504,12362,12362
1479083102,12361,12361
1479084005,12363,12363
1479084602,12363,12363
1479084905,12381,12381
1479085507,12421,12421
1479086103,12441,12441
1479086405,12421,12421
1479087003,12440,12440
1479087604,12429,12429
1479088503,12366,12366
1479089104,12364,12364
1479089703,12381,12381
1479090303,12430,12430
1479090903,12456,12456
1479091502,12457,12457
1479092103,12479,12479
1479092405,12488,12488
1479093003,12480,12480
1479093603,12470,12470
1479094203,12456,12456
1479094802,12450,12450
1479095403,12478,12478
1479096003,12479,12479
1479096606,12449,12449
1479097205,12461,12461
1479097802,12483,12483
1479098110,12450,12450
1479098704,12479,12479
1479099305,12478,12478
1479099907,12426,12426
1479100502,12440,12440
1479101104,12431,12431
1479101704,12401,12401
1479102303,12406,12406
1479102908,12372,12372
1479103502,12370,12370
1479103805,12338,12338
1479104405,12304,12304
1479105007,12271,12271
1479105606,12244,12244
1479106203,12212,12212
1479106803,12259,12259
1479107403,12292,12292
1479108005,12326,12326
1479108607,12307,12307
1479109204,12293,12293
1479109802,12291,12291
1479110403,12312,12312
1479111003,12311,12311
1479111608,12255,12255
1479112204,12243,12243
1479112803,12256,12256
1479113404,12241,12241
1479113706,12192,12192
1479114303,12203,12203
1479114903,12195,12195
1479115503,12214,12214
1479116103,12204,12204
1479116708,12157,12157
1479117303,12180,12180
1479117607,12146,12146
1479118204,12197,12197
1479118804,12183,12183
1479119403,12192,12192
1479120007,12142,12142
