DateTime,AddedIPs,RemovedIPs
1466466291,2,62
1466488336,55,85
1466510185,200,213
1466532108,506,1211
1466554104,40,41
1466575957,54,33
1466598030,207,159
1466620107,129,12
1466641953,86,3
1466664076,90,57
1466686185,96,238
1466708483,114,743
1466730518,66,37
1466752610,65,46
1466774649,189,192
1466796527,3,285
1466818611,48,75
1466840651,27,97
1466862516,150,97
1466884582,34,138
1466906439,2,75
1466928504,420,64
1466950356,901,145
1466972422,6,5
1466994518,4,47
1467016589,228,23
1467038601,1345,87
1467060511,85,25
1467082505,38,2
1467104486,1665,243
1467126504,1888,235
1467148635,39,3
1467170679,41,7
1467192524,934,157
1467214380,35,793
1467236230,100,62
1467258267,70,29
1467280353,1010,1140
1467302473,1847,1142
1467324319,12,31
1467346343,76,32
1467368191,770,886
1467390043,966,38
1467412110,34,97
1467433953,48,71
1467455796,784,1185
1467477947,594,817
1467499963,32,9
1467522063,14,32
1467544099,95,756
1467566030,666,1823
1467588019,71,19
1467610106,71,18
1467631962,158,1190
1467654165,92,2408
1467676103,108,41
1467698012,96,19
1467719874,930,127
1467742003,151,758
1467763954,65,85
1467786106,87,83
1467808207,8611,147
1467830185,54,80
1467852031,5,116
1467874110,16,113
1467895962,4418,394
1467918032,363,247
1467940107,26,62
1467961986,60,81
1467983914,2038,5744
1468005855,225,107
1468027706,58,6
1468049551,105,14
1468071629,459,5535
1468093712,399,169
1468115557,27,32
1468137676,213,51
1468159708,2147,2877
1468181570,119,134
1468203620,34,50
1468225736,203,97
1468247827,314,652
1468269874,120,1060
1468291952,48,27
1468313792,175,169
1468335689,93,2544
1468357704,129,86
1468379557,140,30
1468401630,3195,154
1468423471,86,915
1468445563,80,91
1468467643,30,33
1468489714,3716,122
1468511787,1038,64
1468533660,76,72
1468555720,68,58
1468577798,1552,1824
1468599866,698,56
1468621711,173,70
1468643797,10,18
1468665865,582,3669
1468687964,392,1010
1468710066,100,69
1468732101,83,60
1468753958,918,1433
1468776019,790,315
1468797874,50,202
1468820007,117,11
1468842081,178,1477
1468864106,140,1012
1468885956,61,146
1468908043,149,108
1468930130,78,1285
1468952280,5149,971
1468974261,1987,61
1468996110,648,132
1469017957,198,167
1469039806,104,126
1469061855,118,56
1469083702,11,139
1469105570,109,71
1469127486,4250,2822
1469149460,421,2205
1469171320,105,654
1469193401,72,191
1469215461,2122,102
1469237566,345,121
1469259629,67,10
1469281701,91,92
1469303557,485,4244
1469325647,460,525
1469347708,123,108
1469369804,428,65
1469391850,528,3245
1469413715,614,595
1469435803,5,62
1469457851,105,85
1469479714,405,607
1469501562,605,492
1469523649,12,123
1469545698,94,495
1469567815,9,386
1469589858,168,579
1469611705,3,3
1469633565,15,150
1469655621,995,620
1469677466,700,271
1469699312,39,13
1469721168,47,100
1469743280,585,25
1469765304,169,566
1469787408,6,4
1469809460,2250,14
1469831324,279,844
1469853382,81,742
1469875232,7,33
1469897308,1059,33
1469919398,69,80
1469941253,182,67
1469963312,110,8
1469985166,630,1462
1470007215,837,329
