DateTime,Entries,UniqueIPs
1466444443,7524,7759
1466466291,7521,7756
1466488336,7494,7729
1466510185,7624,7865
1466532108,7930,8189
1466554104,7935,8195
1466575957,7874,8132
1466598030,7986,8253
1466620107,8076,8345
1466641953,8093,8361
1466664076,8095,8356
1466686185,8143,8406
1466708483,8207,8472
1466730518,8242,8507
1466752610,8240,8504
1466774649,8322,8590
1466796527,8272,8538
1466818611,8215,8478
1466840651,8198,8457
1466862516,6512,6697
1466884582,4151,4262
1466906439,4107,4218
1466928504,4375,4493
1466950356,4732,4864
1466972422,3815,3915
1466994518,3791,3889
1467016589,3958,4060
1467038601,4969,5115
1467060511,5028,5175
1467082505,5055,5202
1467104486,6457,6670
1467126504,8036,8283
1467148635,7562,7786
1467170679,7570,7793
1467192524,8333,8592
1467214380,8269,8523
1467236230,8177,8428
1467258267,8189,8440
1467280353,8999,9295
1467302473,10226,10576
1467324319,10163,10513
1467346343,10171,10524
1467368191,10716,11092
1467390043,11124,11509
1467412110,11147,11532
1467433953,11170,11551
1467455796,11725,12146
1467477947,11951,12391
1467499963,11967,12406
1467522063,11976,12415
1467544099,11897,12333
1467566030,12212,12665
1467588019,12253,12706
1467610106,12292,12744
1467631962,12288,12740
1467654165,12055,12488
1467676103,12077,12506
1467698012,12104,12536
1467719874,11453,11851
1467742003,11114,11500
1467763954,11131,11521
1467786106,11160,11552
1467808207,16881,17696
1467830185,16902,17718
1467852031,16836,17649
1467874110,16798,17609
1467895962,19644,20624
1467918032,19454,20418
1467940107,19463,20427
1467961986,19481,20444
1467983914,20405,21436
1468005855,19759,20761
1468027706,19782,20788
1468049551,19835,20842
1468071629,19156,20111
1468093712,18565,19475
1468115557,18557,19468
1468137676,18712,19632
1468159708,19260,20215
1468181570,19038,19984
1468203620,19002,19947
1468225736,19115,20062
1468247827,19130,20077
1468269874,19164,20108
1468291952,19121,20060
1468313792,19175,20114
1468335689,18954,19881
1468357704,18884,19800
1468379557,18936,19853
1468401630,20761,21754
1468423471,16414,17181
1468445563,16397,17165
1468467643,16419,17187
1468489714,18225,19096
1468511787,15014,15710
1468533660,14968,15660
1468555720,15006,15699
1468577798,15951,16692
1468599866,14418,15075
1468621711,14485,15148
1468643797,14470,15134
1468665865,14778,15460
1468687964,14777,15463
1468710066,14215,14863
1468732101,14260,14910
1468753958,14738,15414
1468776019,14092,14709
1468797874,14081,14699
1468820007,14118,14737
1468842081,14112,14738
1468864106,13765,14383
1468885956,13743,14360
1468908043,13796,14414
1468930130,13737,14354
1468952280,16765,17596
1468974261,18020,18911
1468996110,18184,19089
1469017957,16932,17788
1469039806,16949,17804
1469061855,16954,17810
1469083702,16950,17806
1469105570,14542,15272
1469127486,17293,18195
1469149460,17563,18473
1469171320,17580,18491
1469193401,16637,17499
1469215461,17963,18889
1469237566,18071,18994
1469259629,18101,19026
1469281701,17272,18133
1469303557,17252,18100
1469325647,17357,18202
1469347708,17378,18220
1469369804,17164,17985
1469391850,16992,17802
1469413715,17112,17929
1469435803,17024,17840
1469457851,16984,17796
1469479714,17020,17831
1469501562,17116,17937
1469523649,17034,17854
1469545698,17036,17859
1469567815,14805,15527
1469589858,13120,13739
1469611705,12964,13580
1469633565,12886,13501
1469655621,13221,13856
1469677466,13471,14130
