DateTime,Entries,UniqueIPs
1457636100,53327,53327
1457723335,53516,53516
1457723335,53516,53516
1457810441,53609,53609
1457897567,53716,53716
1457984973,53860,53860
1458072076,53956,53956
1458159155,52873,52873
1458246291,51343,51343
1458333411,49567,49567
1458420505,48764,48764
1458507644,48177,48177
1458594794,48984,48984
1458681879,49735,49735
1458769017,49838,49838
1458856161,50255,50255
1458943245,50391,50391
1459030380,50588,50588
1459117493,50808,50808
1459204600,50899,50899
1459291725,51008,51008
1459378849,51101,51101
1459465997,51763,51763
1459553093,51924,51924
1459640472,51769,51769
1459727575,51845,51845
1459814712,51999,51999
1459901821,52210,52210
1459988950,51302,51302
1460076050,51110,51110
1460163294,51246,51246
1460250560,51346,51346
1460337677,51410,51410
1460424777,51378,51378
1460511878,51712,51712
1460599044,52123,52123
1460686132,52359,52359
1460773287,52101,52101
1460860381,51773,51773
1460947496,51469,51469
1461034604,51696,51696
1461121845,51927,51927
1461209138,51814,51814
1461296294,51929,51929
1461383392,52025,52025
1461470517,52195,52195
1461557638,52306,52306
1461644739,52366,52366
1461731880,52534,52534
1461819000,52628,52628
1461906169,52742,52742
1461993510,52893,52893
1462080881,53059,53059
1462168205,53231,53231
1462255330,54395,54395
1462342574,54654,54654
1462429695,54839,54839
1462516923,55052,55052
1462604050,55243,55243
1462691172,55476,55476
1462778298,55627,55627
1462865423,55775,55775
1462952570,55214,55214
1463039900,54869,54869
1463127088,55064,55064
1463214219,55293,55293
1463301516,55443,55443
1463388869,55636,55636
1463476251,53412,53412
1463563584,53784,53784
1463650701,53733,53733
1463737833,54439,54439
1463824956,54331,54331
1463912071,54153,54153
1463999420,54036,54036
1464086573,54431,54431
1464173898,54276,54276
1464261017,54429,54429
1464348169,54340,54340
1464435296,54595,54595
1464522626,54644,54644
1464609752,54810,54810
1464696865,55205,55205
1464784389,54892,54892
1464871608,54082,54082
1464958974,53624,53624
1465046309,53604,53604
1465133686,53605,53605
1465221019,53680,53680
1465308188,53669,53669
1465395560,53710,53710
1465482880,53703,53703
1465570220,53729,53729
1465657396,53783,53783
1465744733,53860,53860
1465831862,53853,53853
1465919168,53758,53758
1466006384,53768,53768
1466093657,53870,53870
1466181018,54109,54109
1466268175,54164,54164
1466355345,54175,54175
1466442641,54198,54198
1466529792,54195,54195
1466617104,54205,54205
1466704507,54279,54279
1466791830,54196,54196
1466878971,54222,54222
1466966306,54196,54196
1467053662,54182,54182
1467141027,54163,54163
1467228156,54381,54381
1467315514,54472,54472
1467402644,54522,54522
1467489989,54580,54580
1467577117,54641,54641
1467664368,54789,54789
1467751588,54757,54757
1467839114,56085,56085
1467926317,55884,55884
1468013689,55291,55291
1468101039,54868,54868
1468188181,54784,54784
1468275522,54776,54776
1468362916,55007,55007
1468450223,55161,55161
1468537374,55287,55287
1468624715,55540,55540
1468711844,55551,55551
1468799184,55655,55655
1468886317,56109,56109
1468973693,55228,55228
1469060863,54981,54981
1469148150,53434,53434
1469235510,52750,52750
1469322638,52455,52455
1469409981,52296,52296
1469497099,51913,51913
1469584222,51719,51719
1469671361,51578,51578
1469758711,51481,51481
1469845832,51409,51409
1469933167,51317,51317
1470020321,51647,51647
1470107653,51862,51862
1470194768,51901,51901
1470281904,51700,51700
1470369275,51575,51575
1470456632,51486,51486
1470543975,51276,51276
1470631102,51266,51266
1470718234,51199,51199
1470805349,51056,51056
1470892461,50994,50994
1470979815,51136,51136
1471066968,51207,51207
1471154297,51258,51258
1471241410,51420,51420
1471328573,51627,51627
1471415904,51940,51940
1471503023,51764,51764
1471590222,52067,52067
1471677529,52274,52274
1471764857,52368,52368
1471851981,52382,52382
1471939097,52606,52606
1472026221,52775,52775
1472113347,52941,52941
1472200479,53043,53043
1472287833,53132,53132
1472374965,53288,53288
1472462300,53467,53467
1472549419,53552,53552
1472636553,53705,53705
1472723893,51307,51307
1472811011,49847,49847
1472898384,48129,48129
1472985483,47154,47154
1473072598,47083,47083
1473159771,47482,47482
1473247078,48073,48073
1473334323,48581,48581
1473421569,48849,48849
1473508683,49029,49029
1473596082,49283,49283
1473683413,48833,48833
1473770528,47317,47317
1473857652,47255,47255
1473945053,46768,46768
1474032365,46551,46551
1474119489,46586,46586
1474206592,46486,46486
1474293777,46466,46466
1474381075,46504,46504
1474468207,46540,46540
1474555336,46652,46652
1474642578,47065,47065
1474729809,46064,46064
1474816932,46240,46240
1474904047,46274,46274
1474991164,46770,46770
1475165405,46386,46386
1475252512,46962,46962
1475339661,47021,47021
1475426760,46665,46665
1475513883,47006,47006
1475601008,46985,46985
1475688114,46968,46968
1475775250,47086,47086
1477604536,56460,56460
1477691654,56669,56669
1477778774,56856,56856
1477865897,57040,57040
1477953024,57189,57189
1478040391,57340,57340
1478127790,57548,57548
1478215105,57711,57711
1478302230,57817,57817
1478389578,57960,57960
1478476758,58125,58125
1478564084,58262,58262
1478651437,58387,58387
1478738785,58525,58525
1478826212,58630,58630
1478913514,58702,58702
1479000872,58764,58764
1479088232,58874,58874
1479175403,59103,59103
1479262720,59264,59264
1479350068,59461,59461
1479437430,59745,59745
