DateTime,Entries,UniqueIPs
1478081310,39,39
1478083221,22,22
1478085141,21,21
1478087060,14,14
1478088987,19,19
1478090909,28,28
1478092831,21,21
1478094750,31,31
1478096651,50,50
1478098572,40,40
1478100499,43,43
1478102465,26,26
1478104341,35,35
1478106261,24,24
1478108195,30,30
1478110110,27,27
1478112026,35,35
1478113951,46,46
1478115860,58,58
1478117781,34,34
1478119658,40,40
1478121619,44,44
1478123541,32,32
1478125448,19,19
1478127380,28,28
1478129314,41,41
1478131258,44,44
1478134093,43,43
1478136015,49,49
1478137938,30,30
1478139854,59,59
1478141770,31,31
1478143709,45,45
1478145674,33,33
1478147545,24,24
1478149451,25,25
1478151396,33,33
1478153302,46,46
1478155215,33,33
1478157143,41,41
1478159055,46,46
1478160978,40,40
1478162892,55,55
1478164815,38,38
1478166743,38,38
1478168656,17,17
1478170882,9,9
1478172741,22,22
1478174660,25,25
1478176573,21,21
1478178502,20,20
1478180410,35,35
1478182336,55,55
1478184254,44,44
1478186182,51,51
1478188166,46,46
1478190034,52,52
1478191949,29,29
1478193859,49,49
1478195791,29,29
1478197711,47,47
1478199685,27,27
1478201549,25,25
1478203499,27,27
1478205384,25,25
1478207308,27,27
1478209229,25,25
1478211155,46,46
1478213054,42,42
1478214982,39,39
1478216901,42,42
1478218866,46,46
1478220779,27,27
1478298254,21,21
1478300184,50,50
1478302107,41,41
1478304062,32,32
1478305943,36,36
1478307858,25,25
1478309787,46,46
1478311728,39,39
1478313626,48,48
1478315552,33,33
1478317484,42,42
1478319407,49,49
1478321411,57,57
1478323228,61,61
1478325164,56,56
1478327057,52,52
1478328979,71,71
1478330913,58,58
1478332878,53,53
1478334755,56,56
1478336921,55,55
1478338815,68,68
1478340749,40,40
1478342651,21,21
1478344589,18,18
1478346507,11,11
1478348434,28,28
1478350343,55,55
1478352256,56,56
1478354179,59,59
1478356110,49,49
1478358075,55,55
1478359951,28,28
1478362128,31,31
1478364032,25,25
1478365965,58,58
1478367863,56,56
1478369807,59,59
1478371706,50,50
1478373637,53,53
1478375566,53,53
1478377482,49,49
1478379400,53,53
1478381319,54,54
1478383284,38,38
1478385144,35,35
1478387069,44,44
1478389009,43,43
1478390900,59,59
1478392835,52,52
1478394748,42,42
1478396670,52,52
1478398839,57,57
1478400758,55,55
1478402660,55,55
1478404580,40,40
1478406500,50,50
1478408458,47,47
1478410349,56,56
1478412266,61,61
1478414220,60,60
1478416107,57,57
1478418034,62,62
1478419950,62,62
1478421862,59,59
1478423806,56,56
1478425705,60,60
1478427616,38,38
1478429550,18,18
1478431466,22,22
1478433380,19,19
1478435309,27,27
1478437275,28,28
1478439150,29,29
1478441093,58,58
1478442993,57,57
1478444910,42,42
1478446826,47,47
1478449015,58,58
1478450908,53,53
1478452837,45,45
1478454755,54,54
1478456672,46,46
1478458594,51,51
1478460517,55,55
1478462490,50,50
1478464357,59,59
1478466270,57,57
1478468188,59,59
1478470099,52,52
1478472027,29,29
1478473949,49,49
1478475858,46,46
1478477784,56,56
1478479706,42,42
1478481618,45,45
1478483637,26,26
1478485452,49,49
1478487389,20,20
1478489311,44,44
1478491265,36,36
1478493158,55,55
1478495065,51,51
1478496987,52,52
1478498922,45,45
1478500823,59,59
1478502767,46,46
1478504655,62,62
1478506596,59,59
1478508506,70,70
1478510348,51,51
1478512341,43,43
1478514261,45,45
1478516185,26,26
1478518097,23,23
1478520068,26,26
1478521940,29,29
1478523852,21,21
1478525814,23,23
1478527694,27,27
1478529876,47,47
1478532053,51,51
1478533954,46,46
1478535852,47,47
1478537777,36,36
1478539705,49,49
1478541686,36,36
1478543544,24,24
1478545457,27,27
1478547392,39,39
1478549311,31,31
1478551230,20,20
1478553152,37,37
1478555063,35,35
1478556998,25,25
1478558910,45,45
1478560821,41,41
1478562755,23,23
1478564653,39,39
1478566575,21,21
1478568502,26,26
1478570464,21,21
1478572394,18,18
1478574268,18,18
1478576198,31,31
1478578105,23,23
1478580028,16,16
1478581943,35,35
1478583851,40,40
1478585782,47,47
1478587701,66,66
1478589629,46,46
1478591573,30,30
1478593450,61,61
1478595377,21,21
1478597302,52,52
1478599273,24,24
1478601142,26,26
1478603064,15,15
1478605004,22,22
1478606914,16,16
1478608830,26,26
1478610758,39,39
1478612655,41,41
1478614594,52,52
1478616503,35,35
1478618427,34,34
1478620374,24,24
1478622265,38,38
1478624180,24,24
1478626101,30,30
