DateTime,Entries,UniqueIPs
1474499011,1102,1102
1474502575,1099,1099
1474506433,1095,1095
1474510256,1094,1094
1474517646,1095,1095
1474520648,1094,1094
1474524085,1091,1091
1474527671,1090,1090
1474531019,1089,1089
1474534493,1088,1088
1474538003,1088,1088
1474541535,1085,1085
1474545225,1087,1087
1474548934,1087,1087
1474552427,1083,1083
1474559613,1085,1085
1474563374,1084,1084
1474566944,1087,1087
1474570474,1080,1080
1474574392,1081,1081
1474577793,1080,1080
1474581480,1081,1081
1474585192,1077,1077
1474588959,1077,1077
1474592890,1079,1079
1474596603,1076,1076
1474600167,1076,1076
1474603376,1074,1074
1474606116,1071,1071
1474609937,1070,1070
1474613538,1068,1068
1474617180,1066,1066
1474620883,1067,1067
1474624838,1062,1062
1474628296,1060,1060
1474631987,1059,1059
1474635534,1060,1060
1474638737,1059,1059
1474642498,1060,1060
1474646453,1060,1060
1474649825,1055,1055
1474653542,1055,1055
1474657394,1057,1057
1474660876,1056,1056
1474664565,1056,1056
1474668434,1056,1056
1474671977,1056,1056
1474674715,1053,1053
1474678056,1056,1056
1474681854,1056,1056
1474685765,1054,1054
1474689089,1053,1053
1474692725,1052,1052
1474696668,1052,1052
1474700150,1051,1051
1474704046,1055,1055
1474707803,1055,1055
1474715142,1055,1055
1474718866,1054,1054
1474722171,1052,1052
1474726031,1053,1053
1474729708,1054,1054
1474733504,1054,1054
1474737186,1055,1055
1474740575,1056,1056
1474743967,1055,1055
1474747604,1055,1055
1474751291,1055,1055
1474754749,1057,1057
1474758480,1055,1055
1474762232,1052,1052
1474765199,1051,1051
1474768899,1049,1049
1474772447,1048,1048
1474782916,1046,1046
1474793810,1040,1040
1474804716,1044,1044
1474815536,1041,1041
1474826299,1029,1029
1474836281,1027,1027
1474847008,1027,1027
1474857696,1027,1027
1474868634,1023,1023
1474878892,1023,1023
1474889125,1016,1016
1474899931,1009,1009
1474910434,1011,1011
1474921445,1009,1009
1474932067,1006,1006
1474942892,1001,1001
1474953535,999,999
1474964095,1002,1002
1474974755,999,999
1474985018,993,993
1474996069,992,992
1475007091,994,994
1475017374,991,991
1475028438,991,991
1475039449,994,994
1475050403,994,994
1475060727,992,992
1475071712,998,998
1475082289,990,990
1475093132,987,987
1475103921,983,983
1475114589,985,985
1475124785,987,987
1475135625,990,990
1475146086,988,988
1475156408,989,989
1475167438,987,987
1475178485,988,988
1475189486,986,986
1475200427,984,984
1475211309,983,983
1475222287,980,980
1475233191,974,974
1475244256,971,971
1475254993,975,975
1475266081,976,976
1475276912,974,974
1475287713,977,977
1475298623,971,971
1475309647,969,969
1475320469,970,970
1475331441,971,971
1475342345,977,977
1475353443,975,975
1475364483,977,977
1475375422,974,974
1475386425,976,976
1475397049,979,979
1475407951,983,983
1475418906,990,990
1475429993,989,989
1475440826,999,999
1475451660,998,998
1475462581,1000,1000
1475473513,1000,1000
1475484289,1003,1003
1475494834,999,999
1475505457,995,995
1475516351,1001,1001
1475527362,996,996
1475538306,1000,1000
1475549270,1000,1000
1475560298,998,998
1475571336,1005,1005
1475582381,1007,1007
1475593206,1005,1005
1475604148,1003,1003
1475614801,1008,1008
1475625607,1007,1007
1475636494,1006,1006
1475647111,1005,1005
1475657569,1005,1005
