DateTime,Entries,UniqueIPs
1446198831,99,99
1446198831,99,99
1446298106,98,98
1446375214,115,115
1446461583,114,114
1446548004,106,106
1446634375,98,98
1446720788,106,106
1446807252,120,120
1446980031,116,116
1447066418,115,115
1447152798,116,116
1447239205,105,105
1447325603,107,107
1447412062,116,116
1447584867,116,116
1447671270,118,118
1447757613,124,124
1447844028,119,119
1447927477,115,115
1448189621,117,117
1448276137,118,118
1448362643,111,111
1448449030,115,115
1448535403,111,111
1448621823,115,115
1448794561,117,117
1448880962,116,116
1448967390,104,104
1449053781,110,110
1449140172,106,106
1449226574,109,109
1449399416,116,116
1449485881,117,117
1449572175,104,104
1449658572,104,104
1449744971,107,107
1449831456,115,115
1450004276,116,116
1450090616,115,115
1450177017,122,122
1450349956,103,103
1450436384,112,112
1450609150,119,119
1450695613,116,116
1450782011,114,114
1450868404,113,113
1450954806,116,116
1451041160,116,116
1451300332,117,117
1451386693,118,118
1452347591,114,114
1452423576,117,117
1452510135,116,116
1453557118,125,125
1453633221,113,113
1453719630,4936,4936
1453806188,5287,5287
1453892467,5322,5322
1453978941,5296,5296
1454065248,5292,5292
1454237968,4937,4937
1454324445,4929,4929
1454410859,5301,5301
1454497248,5297,5297
1454583630,5318,5318
1454670036,5333,5333
1454842851,4920,4920
1454929239,4918,4918
1455015726,5287,5287
1455102070,5308,5308
1455188459,5328,5328
1455274821,5356,5356
1455447791,4909,4909
1455534006,4917,4917
1455620487,5169,5169
1455706975,5347,5347
1455793434,5297,5297
1455879855,5351,5351
1456052423,4901,4901
1456138844,4923,4923
1456225225,5314,5314
1456309820,5340,5340
1456397974,5345,5345
1456484552,5345,5345
1456657201,4926,4926
1456743629,4929,4929
1456830043,5342,5342
1456916795,5345,5345
1457002836,5353,5353
1457089266,5328,5328
1457262033,4933,4933
1457348534,4928,4928
1457434894,5336,5336
1457521265,5413,5413
1457607635,5369,5369
1457694024,5335,5335
1457863357,4924,4924
1457949697,4913,4913
1458036149,5303,5303
1458119175,5306,5306
1458208965,5284,5284
1458295388,5349,5349
1458468032,4937,4937
1458554440,4918,4918
1458640869,5296,5296
1458727271,5296,5296
1458813690,5314,5314
1458900146,5342,5342
1458992353,5076,5076
1459072942,4941,4941
1459159219,4914,4914
1459245649,5058,5058
1459328770,5292,5292
1459418609,5298,5298
1459505028,5310,5310
1459677617,4902,4902
1459764089,4902,4902
1459850393,5271,5271
1459936858,5307,5307
1460023265,5276,5276
1460109699,5344,5344
1460282347,4910,4910
1460368780,4893,4893
1460455193,5287,5287
1460541556,5319,5319
1460627964,5297,5297
1460714390,5310,5310
1460887192,4928,4928
1460973659,4882,4882
1461060024,5259,5259
1461146433,5291,5291
1461232753,5333,5333
1461319178,5298,5298
1461491996,4909,4909
1461578428,4915,4915
1461664923,5287,5287
1461751216,5316,5316
1461837624,5309,5309
1461924006,5330,5330
1462096819,4906,4906
1462183185,4923,4923
1462269622,5314,5314
1462355952,5317,5317
1462442698,5335,5335
1462529104,5349,5349
1462702054,4918,4918
1462788120,4906,4906
1462874688,5342,5342
1462961443,5315,5315
1463047173,5309,5309
1463133550,5309,5309
1463306447,4915,4915
1463392891,4921,4921
1463479285,5283,5283
1463565695,5342,5342
1463652161,5343,5343
1463738420,5355,5355
1463911259,4914,4914
1463997819,4895,4895
1464084118,4977,4977
1464170405,5322,5322
1464256807,5297,5297
1464343209,5331,5331
1464516063,4902,4902
1464602406,4890,4890
1464688799,5264,5264
1464775236,5327,5327
1464861637,5352,5352
1464948101,5323,5323
1465120847,4895,4895
1465207671,4915,4915
1465293666,5260,5260
1465380048,5360,5360
1465466336,5306,5306
1465552953,5272,5272
1465725707,4896,4896
1465812156,4905,4905
1465898443,5324,5324
1465984873,5327,5327
1466071388,5310,5310
1466157687,5323,5323
