DateTime,AddedIPs,RemovedIPs
1473912964,12,0
1473923792,16,0
1473934541,7,0
1473945342,14,0
1473956142,7,8
1473966942,14,0
1473977741,16,0
1473988594,9,140
1473999405,12,17
1474010155,24,0
1474020942,16,0
1474031742,15,0
1474042542,12,0
1474053342,19,0
1474064142,18,0
1474074967,17,130
1474085760,13,0
1474096577,19,0
1474107342,25,0
1474118142,17,4
1474128943,8,0
1474139743,18,0
1474150543,18,0
1474161314,12,112
1474172170,20,21
1474182985,24,0
1474193743,17,0
1474204544,21,0
1474215343,19,0
1474226144,30,0
1474236943,12,0
1474247719,7,114
1474258811,16,23
1474269510,21,0
1474280157,30,0
1474290961,16,0
1474301762,31,0
1474312562,15,0
1474323320,18,0
1474334113,16,104
1474344989,9,20
1474359375,45,0
1474370144,32,0
1474380945,24,0
1474391744,29,0
1474402545,18,0
1474413346,21,0
1474424179,13,116
1474434973,10,0
1474445767,13,11
1474456544,20,0
1474467345,17,0
1474478146,15,0
1474488944,17,0
1474499745,16,0
1474510526,18,78
1474521383,22,0
1474532165,26,0
1474542944,31,0
1474553744,17,0
1474564532,19,0
1474575334,18,0
1474586135,18,0
1474596953,14,118
1474607790,39,1
1474618557,27,1
1474629341,26,0
1474640137,33,0
1474650944,32,0
1474661739,33,0
1474672538,26,0
1474683354,15,138
1474694166,16,0
1474704977,30,2
1474715738,34,0
1474726539,31,0
1474737343,24,0
1474748140,31,0
1474758940,19,0
1474769798,30,175
1474780541,48,0
1474791401,35,0
1474802140,34,0
1474812940,36,0
1474823741,22,0
1474834541,31,0
1474845341,33,0
1474856121,9,132
1474866971,20,0
1474877773,29,0
1474888541,32,0
1474899342,24,1
1474910142,31,0
1474920943,15,0
1474931741,26,0
1474942581,27,157
1474953371,29,0
1474964223,30,0
1474974942,32,0
1474985743,24,0
1474996542,31,0
1475007342,34,0
1475018142,26,0
1475028968,22,128
1475039792,30,0
1475050531,25,0
1475061342,41,0
1475072143,31,0
1475082943,27,0
1475093744,30,0
1475104542,26,0
1475115332,38,151
1475126190,105,0
1475136966,55,0
1475147743,55,0
1475158544,48,0
1475169342,49,0
1475180143,52,0
1475190943,40,0
1475201794,12,228
1475212571,168,62
1475223369,63,0
1475234143,94,0
1475244943,45,0
1475255743,50,0
1475266544,68,0
1475277345,48,0
1475288123,27,163
1475298981,71,3
1475309761,52,0
1475320543,69,0
1475331343,53,0
1475342143,54,0
1475352944,49,0
1475363743,55,0
1475374585,52,291
1475385379,46,2
1475396181,41,0
1475406944,58,0
1475417743,47,0
1475428544,58,0
1475439343,47,0
1475450144,47,0
1475460915,40,197
1475471788,48,0
1475482563,58,0
1475493343,59,0
1475504143,65,0
1475514944,58,0
1475525746,91,2
1475536545,44,0
1475547371,52,286
1475558186,51,0
1475568970,66,0
1475579744,72,0
1475590544,57,0
1475601345,49,0
1475612144,61,0
1475622944,44,0
1475633715,41,242
1475644588,61,0
1475655368,42,0
1475666144,63,0
1475676944,49,0
1475687746,46,0
1475698545,54,0
1475709345,53,0
1475720114,39,366
1475730991,61,0
1475741769,51,0
1475752546,79,0
1475763345,73,0
1475774146,74,0
1475784946,68,0
1475795746,48,0
1475806577,20,527
1475817391,59,9
1475828170,63,0
1475838946,119,0
1475849745,91,0
1475860545,92,0
1475871346,84,0
1475882146,85,0
1475892926,57,402
1475903790,54,0
1475914565,92,0
1475925345,98,0
1475936146,67,0
1475946946,60,0
1475957746,79,0
1475968546,65,0
1475979315,40,415
1475990198,65,0
1476000984,60,0
1476011747,87,0
1476022546,79,0
1476033346,75,0
1476044147,57,0
1476054946,73,0
1476065776,54,427
1476076607,73,0
1476087369,66,0
1476098146,89,0
1476108947,69,0
1476119746,69,0
1476130515,24,0
1476152115,0,441
1476206149,151,12
1476216947,78,0
1476227747,66,0
1476238517,45,413
1476249382,83,0
1476260218,85,0
1476270946,121,0
1476281747,105,0
1476292548,88,0
1476303348,116,0
1476314148,95,0
1476321354,31,482
1476329779,64,63
1476340422,80,0
1476350889,83,0
1476361000,128,0
1476371804,127,0
1476382541,99,0
1476393343,128,0
1476404222,125,527
1476425772,78,14
1476436552,108,0
1476447344,172,0
1476458145,119,0
1476468944,143,0
1476479744,148,0
1476490582,152,637
1476501380,104,0
1476512198,92,0
1476522988,143,0
1476533743,166,0
1476544543,146,0
1476555343,147,0
1476566143,142,0
1476576967,135,507
1476587799,107,72
1476598574,133,0
1476609507,225,0
1476620144,150,0
1476630948,164,0
1476641745,130,0
1476652545,152,0
1476663427,152,493
1476674194,95,0
1476684917,85,0
1476695764,127,0
1476706546,188,0
1476717347,160,0
1476728150,109,0
1476738946,141,0
1476749813,150,249
1476760572,93,0
1476771376,52,0
1476782190,99,0
1476792947,168,0
1476803747,123,0
1476814547,136,0
1476825346,132,0
1476836205,139,683
1476847001,50,0
1476857773,204,0
1476868582,134,0
1476879347,156,0
1476890146,190,0
1476900946,159,0
1476911736,155,0
1476922581,178,789
1476933377,101,62
1476944194,109,0
1476954968,75,0
1476965746,228,0
1476976546,149,0
1476987346,228,0
1476998146,203,0
1477009018,196,932
1477019767,90,89
1477030520,88,0
1477041365,120,0
1477052146,219,0
1477062946,170,0
1477073750,157,0
1477084546,177,0
1477095386,194,1015
1477106123,18,13
1477138547,193,0
1477149347,151,0
1477160147,141,0
1477170946,160,0
1477181798,189,1254
1477192594,41,0
1477203317,30,0
1477214116,56,0
1477224948,174,0
1477235748,129,0
1477246547,147,0
1477257347,150,0
1477268196,147,1054
1477278918,67,0
1477289718,35,0
1477300519,27,0
1477311347,131,0
1477322148,139,0
1477332948,135,0
1477343748,139,0
1477350948,98,0
1477358123,53,975
1477365444,66,47
1477376177,9,0
1477397831,192,0
1477408625,140,0
1477419437,183,22
1477430231,377,68
1477440979,155,990
1477451725,58,81
1477462584,38,0
1477473374,24,0
1477484152,206,0
1477494952,136,0
1477505752,143,0
1477516551,162,0
1477527407,129,1163
1477538118,46,0
1477548919,82,2
1477559779,74,0
1477570552,164,0
1477581352,158,0
1477592153,135,0
1477602952,156,0
1477613802,178,1263
1477624530,54,85
1477635318,36,0
1477646117,24,0
1477656953,97,0
1477667753,145,0
1477678553,157,0
1477689353,159,0
1477700210,166,881
1477711008,55,0
1477721719,32,0
1477732581,56,0
1477743353,197,0
