DateTime,AddedIPs,RemovedIPs
1442462932,5888,11264
1442549325,256,15360
1442635733,0,10240
1442894948,1024,18432
1442981310,0,11264
1443067744,1536,12288
1443154147,3072,10240
1443241941,0,8192
1443499766,2560,12288
1443587617,2560,13312
1443674923,512,9216
1443760409,544,11776
1443847109,512,13312
1444105988,512,5376
1444190925,256,16384
1444277343,1024,10240
1444365171,1024,15360
1444451646,512,26880
1444710808,256,15360
1444797188,0,12544
1444883576,288,13312
1444970044,2304,13312
1445056459,256,8192
1445314165,256,11264
1445402294,256,14592
1445486948,512,16384
1445573321,0,18432
1445659732,0,12288
1445918937,2304,15360
1446005341,0,24576
1446091776,0,14336
1446178173,0,18432
1446264557,1024,9472
1446523754,2048,10240
1446698072,0,33024
1446784508,512,11264
1446872032,0,10240
1447216397,0,29696
1447302874,0,22528
1447387785,0,11264
1447560620,512,14336
1447733749,0,26624
1447820186,0,12288
1447906290,512,7168
1447992597,256,25600
1448166809,0,19456
1448426046,1024,22528
1448599274,768,37888
1448683774,0,15360
1448943000,0,16384
1449117751,1280,93184
1449203702,256,17408
1449374984,0,8192
1449549382,0,15616
1449635824,0,16384
1449720582,16384,11520
1449806958,27648,10240
1449893349,2048,10496
1450154112,256,12288
1450238978,0,6144
1450326429,1024,27648
1450411768,3072,11264
1450498270,0,19968
1450757638,0,10496
1450931460,3072,33792
1451016571,0,5120
1451363225,17408,14336
1451448596,0,4096
1451621398,68608,7168
1451968652,4096,41984
1452055613,256,14336
1452141898,2048,8192
1452226192,0,6144
1452312693,512,8192
1452571877,1024,10240
1452744704,2304,20480
1452917470,2560,27648
1453176580,18432,11264
1453263036,1024,8192
1453350659,0,19456
1453437505,0,9216
1453522300,0,11264
1453867830,1024,30208
1453955873,256,11264
1454042338,0,9216
1454127374,256,9216
1454386241,0,15360
1454472678,0,17408
1454559027,256,10240
1454645421,0,15360
1454731834,32768,15360
1454994791,0,22528
1455079875,0,13312
1455163799,0,11520
1455250211,1280,12288
1455336645,2048,9216
1455595934,0,12288
1455682501,0,15360
1455768654,0,10240
1455855009,0,20480
1455941425,0,10240
1456287062,512,31744
1456373484,256,15872
1456459859,0,9216
1456546319,1536,12288
1456805448,0,15360
1456891902,2304,15360
1456978227,114688,19456
1457064674,25600,16384
1457151448,0,19456
1457410334,512,14336
1457496636,512,10240
1457583048,0,18432
1457669460,0,17408
1457756002,32768,18432
1458015346,0,16384
1458101521,0,10240
1458187883,0,9216
1458274238,1280,15360
1458361327,0,13312
1458620295,0,5120
1458706710,0,9216
1458792707,0,10240
1458879033,0,8192
1459311373,256,12544
1459398150,0,17408
1459483935,0,13312
1459570981,5120,19456
1459829459,0,8192
1459916572,0,19456
1460002253,0,13312
1460088625,0,11520
1460175593,1024,16384
1460434496,0,16384
1460520967,0,15360
1460607561,256,12288
1460694160,0,14336
1460780581,1024,16384
1461039075,0,17408
1461125907,0,11264
1461211970,0,16384
1461298664,0,18432
1461384677,256,14336
1461644050,256,14336
1461730468,0,21504
1461903296,0,21504
1461989811,0,12288
1462249430,256,24576
1462335739,256,11264
1462421905,0,13312
1462594398,0,20480
1462854062,0,17408
1462940433,0,10240
1463027060,768,26624
1463112734,0,13312
1463199130,0,14336
1463544594,0,10496
1463631300,0,19712
1463717483,0,16384
1463803877,0,26624
1464063326,1024,21504
1464149729,256,15360
1464236175,0,8192
1464322587,1024,12288
1464408842,0,10496
1464668051,0,5120
1464754207,0,15360
1464841066,1024,6144
1464927351,16384,8192
1465013775,0,10240
1465272841,512,14592
1465359021,768,9472
1465445552,0,14336
1465532021,0,12288
1465618464,0,4096
1465877695,0,8192
1465964163,0,16384
1466050659,0,18432
1466136666,2048,10240
1466226135,0,10240
1466483848,6144,13312
1466657404,6400,17408
1466743853,1280,10240
1466830284,5120,6144
1467088079,1024,12288
1467175256,4352,7168
1467349010,21504,32768
1467434671,12544,11264
1467781212,4352,22528
1467867488,1024,5120
1467953681,0,8448
1468039816,0,18432
1468299609,0,7424
1468385790,0,9216
1468472253,256,7168
1468557608,0,16896
1468644416,0,14336
1468904460,256,7168
1469078461,5376,23552
1469164122,0,41984
1469250674,0,11264
1469508642,0,9216
1469595292,0,17664
1469768613,7104,24576
1469855174,1344,9216
1470114609,0,14848
1470288101,0,16384
1470374203,0,9216
1470460149,0,18432
1470719909,0,5120
1470803687,0,20480
1470891899,0,9216
1471065397,33536,22528
1471324267,0,24576
1471410906,0,9216
1471497697,0,14336
1471670004,0,35840
1471928341,0,12544
1472014821,0,17408
1472101621,1024,16384
1472188607,1280,14336
1472274946,0,10240
1472533576,0,7168
1472620090,4096,5120
1472705802,0,11264
1472791140,0,14336
1472877637,16896,8192
1473137762,0,7168
1473224056,0,15360
1473396753,0,25600
1473482737,2048,15360
1473741563,0,15360
1473827967,1024,12288
1473914360,0,24576
1474001429,0,17408
1474086967,0,15360
1474346397,0,20480
1474519325,2048,21504
1474693113,287744,29952
1474951813,1536,11264
1475037922,1024,21504
1475124801,0,12288
1475211753,0,16384
1475297162,1280,12288
1475556772,256,16384
1475727260,0,33792
1475816565,0,19456
1475990403,2048,17408
1476162194,0,15360
1476247534,1024,17408
1476335017,0,12288
1476506466,0,30720
1476765775,4096,15360
1476852662,0,20480
1476938236,0,9216
1477025796,0,17408
1477199160,0,12288
1477458363,1536,32768
1477543243,0,19456
1477630282,0,9216
1477714636,0,16384
1477976242,0,10240
1478062919,0,16384
1478148463,0,7424
1478234428,1792,13312
1478406994,4608,15360
1478580263,512,14336
1478665965,1024,14848
1478752747,4096,11264
