DateTime,Entries,UniqueIPs
1442376490,3633,606761224
1442462932,3636,606755848
1442549325,3634,606740744
1442635733,3637,606730504
1442894948,3635,606713096
1442981310,3636,606701832
1443067744,3637,606691080
1443154147,3639,606683912
1443241941,3638,606675720
1443499766,3643,606665992
1443587617,3646,606655240
1443674923,3651,606646536
1443760409,3650,606635304
1443847109,3652,606622504
1444105988,3652,606617640
1444190925,3657,606601512
1444277343,3659,606592296
1444365171,3663,606577960
1444451646,3660,606551592
1444710808,3662,606536488
1444797188,3661,606523944
1444883576,3660,606510920
1444970044,3662,606499912
1445056459,3662,606491976
1445314165,3664,606480968
1445402294,3665,606466632
1445486948,3666,606450760
1445573321,3664,606432328
1445659732,3666,606420040
1445918937,3668,606406984
1446005341,3667,606382408
1446091776,3667,606368072
1446178173,3669,606349640
1446264557,3671,606341192
1446523754,3671,606333000
1446698072,3669,606299976
1446784508,3670,606289224
1446872032,3671,606278984
1447216397,3669,606249288
1447302874,3672,606226760
1447387785,3669,606215496
1447560620,3670,606201672
1447733749,3669,606175048
1447820186,3671,606162760
1447906290,3671,606156104
1447992597,3672,606130760
1448166809,3670,606111304
1448426046,3682,606089800
1448599274,3683,606052680
1448683774,3685,606037320
1448943000,3684,606020936
1449117751,3682,605929032
1449203702,3683,605911880
1449374984,3686,605903688
1449549382,3683,605888072
1449635824,3683,605871688
1449720582,3683,605876552
1449806958,3685,605893960
1449893349,3688,605885512
1450154112,3687,605873480
1450238978,3687,605867336
1450326429,3687,605840712
1450411768,3689,605832520
1450498270,3691,605812552
1450757638,3689,605802056
1450931460,3691,605771336
1451016571,3692,605766216
1451363225,3697,605769288
1451448596,3696,605765192
1451621398,3700,605826632
1451968652,3695,605788744
1452055613,3695,605774664
1452141898,3695,605768520
1452226192,3696,605762376
1452312693,3697,605754696
1452571877,3698,605745480
1452744704,3695,605727304
1452917470,3698,605702216
1453176580,3698,605709384
1453263036,3701,605702216
1453350659,3700,605682760
1453437505,3698,605673544
1453522300,3700,605662280
1453867830,3709,605633096
1453955873,3711,605622088
1454042338,3709,605612872
1454127374,3711,605603912
1454386241,3710,605588552
1454472678,3710,605571144
1454559027,3709,605561160
1454645421,3709,605545800
1454731834,3710,605563208
1454994791,3707,605540680
1455079875,3711,605527368
1455163799,3709,605515848
1455250211,3712,605504840
1455336645,3713,605497672
1455595934,3713,605485384
1455682501,3712,605470024
1455768654,3713,605459784
1455855009,3712,605439304
1455941425,3710,605429064
1456287062,3713,605397832
1456373484,3712,605382216
1456459859,3713,605373000
1456546319,3714,605362248
1456805448,3713,605346888
1456891902,3717,605333832
1456978227,3717,605429064
1457064674,3720,605438280
1457151448,3724,605418824
1457410334,3721,605405000
1457496636,3723,605395272
1457583048,3722,605376840
1457669460,3720,605359432
1457756002,3722,605373768
1458015346,3721,605357384
1458101521,3721,605347144
1458187883,3723,605337928
1458274238,3721,605323848
1458361327,3728,605310536
1458620295,3728,605305416
1458706710,3727,605296200
1458792707,3726,605285960
1458879033,3725,605277768
1459311373,3724,605265480
1459398150,3727,605248072
1459483935,3725,605234760
1459570981,3728,605220424
1459829459,3728,605212232
1459916572,3728,605192776
1460002253,3729,605179464
1460088625,3726,605167944
1460175593,3727,605152584
1460434496,3726,605136200
1460520967,3728,605120840
1460607561,3727,605108808
1460694160,3728,605094472
1460780581,3728,605079112
1461039075,3730,605061704
1461125907,3731,605050440
1461211970,3731,605034056
1461298664,3729,605015624
1461384677,3732,605001544
1461644050,3730,604987464
1461730468,3730,604965960
1461903296,3730,604944456
1461989811,3732,604932168
1462249430,3731,604907848
1462335739,3731,604896840
1462421905,3732,604883528
1462594398,3733,604863048
1462854062,3731,604845640
1462940433,3731,604835400
1463027060,3731,604809544
1463112734,3731,604796232
1463199130,3736,604781896
1463544594,3734,604771400
1463631300,3735,604751688
1463717483,3734,604735304
1463803877,3734,604708680
1464063326,3735,604688200
1464149729,3735,604673096
1464236175,3734,604664904
1464322587,3737,604653640
1464408842,3737,604643144
1464668051,3735,604638024
1464754207,3734,604622664
1464841066,3734,604617544
1464927351,3735,604625736
1465013775,3733,604615496
1465272841,3737,604601416
1465359021,3738,604592712
1465445552,3734,604578376
1465532021,3735,604566088
1465618464,3734,604561992
1465877695,3734,604553800
1465964163,3737,604537416
1466050659,3734,604518984
1466136666,3737,604510792
1466226135,3735,604500552
1466483848,3742,604493384
1466657404,3749,604482376
1466743853,3750,604473416
1466830284,3754,604472392
1467088079,3755,604461128
1467175256,3756,604458312
1467349010,3769,604447048
1467434671,3775,604448328
1467781212,3779,604430152
1467867488,3780,604426056
1467953681,3781,604417608
1468039816,3780,604399176
1468299609,3781,604391752
1468385790,3780,604382536
1468472253,3779,604375624
1468557608,3779,604358728
1468644416,3778,604344392
1468904460,3786,604337480
1469078461,3787,604319304
1469164122,3789,604277320
1469250674,3786,604266056
1469508642,3787,604256840
1469595292,3786,604239176
1469768613,3791,604221704
1469855174,3790,604213832
1470114609,3789,604198984
1470288101,3791,604182600
1470374203,3789,604173384
