DateTime,Entries,UniqueIPs
1479044194,20524,20524
1479044659,20531,20531
1479045158,20537,20537
1479045751,20535,20535
1479046146,20538,20538
1479046831,20550,20550
1479047065,20536,20536
1479047800,20539,20539
1479048024,20541,20541
1479048752,20549,20549
1479049026,20537,20537
1479049713,20538,20538
1479049943,20535,20535
1479050670,20524,20524
1479050943,20510,20510
1479051620,20512,20512
1479051850,20510,20510
1479052596,20502,20502
1479052891,20508,20508
1479053551,20509,20509
1479054032,20511,20511
1479054504,20501,20501
1479055020,20493,20493
1479055456,20488,20488
1479055955,20490,20490
1479056494,20500,20500
1479056920,20499,20499
1479057420,20495,20495
1479057896,20495,20495
1479058357,20496,20496
1479058838,20491,20491
1479059320,20493,20493
1479059814,20487,20487
1479060285,20485,20485
1479060752,20483,20483
1479061258,20488,20488
1479061716,20475,20475
1479062200,20474,20474
1479062666,20463,20463
1479063170,20452,20452
1479063718,20459,20459
1479064118,20454,20454
1479064826,20439,20439
1479065070,20433,20433
1479065797,20434,20434
1479066036,20428,20428
1479066746,20423,20423
1479066998,20420,20420
1479067742,20411,20411
1479067952,20416,20416
1479068652,20412,20412
1479068925,20411,20411
1479069621,20416,20416
1479069867,20416,20416
1479070633,20404,20404
1479070890,20409,20409
1479071547,20414,20414
1479072046,20407,20407
1479072498,20389,20389
1479072983,20382,20382
1479073464,20380,20380
1479074003,20375,20375
1479074472,20375,20375
1479074919,20367,20367
1479075655,20359,20359
1479075875,20350,20350
1479076586,20310,20310
1479076834,20311,20311
1479077546,20286,20286
1479077794,20283,20283
1479078536,20285,20285
1479078746,20274,20274
1479079449,20269,20269
1479079711,20274,20274
1479080416,20271,20271
1479080673,20268,20268
1479081398,20270,20270
1479081678,20264,20264
1479082346,20261,20261
1479082601,20256,20256
1479083343,20239,20239
1479083632,20236,20236
1479084259,20225,20225
1479084582,20217,20217
1479085261,20232,20232
1479085755,20236,20236
1479086209,20216,20216
1479086663,20206,20206
1479087185,20213,20213
1479087630,20205,20205
1479088105,20200,20200
1479088610,20187,20187
1479089066,20170,20170
1479089544,20172,20172
1479090042,20170,20170
1479090512,20173,20173
1479091029,20168,20168
1479091464,20163,20163
1479091951,20152,20152
1479092479,20157,20157
1479092939,20164,20164
1479093388,20161,20161
1479093864,20155,20155
1479094363,20151,20151
1479094828,20142,20142
1479095326,20145,20145
1479095791,20144,20144
1479096277,20133,20133
1479096754,20134,20134
1479097236,20135,20135
1479097707,20115,20115
1479098183,20107,20107
1479098665,20117,20117
1479099152,20113,20113
1479099689,20108,20108
1479100130,20112,20112
1479100599,20112,20112
1479101067,20103,20103
1479101557,20104,20104
1479102047,20104,20104
1479102544,20107,20107
1479102998,20105,20105
1479103469,20108,20108
1479103950,20108,20108
1479104459,20110,20110
1479104908,20123,20123
1479105424,20124,20124
1479105864,20131,20131
1479106354,20133,20133
1479106888,20138,20138
1479107342,20128,20128
1479107802,20118,20118
1479108259,20121,20121
1479108758,20130,20130
1479109236,20123,20123
1479109705,20120,20120
1479110195,20118,20118
1479110666,20110,20110
1479111158,20102,20102
1479111639,20104,20104
1479112101,20095,20095
1479112581,20089,20089
1479113069,20087,20087
1479113562,20093,20093
1479114079,20084,20084
1479114514,20086,20086
1479115036,20077,20077
1479115468,20073,20073
1479115978,20067,20067
1479116423,20073,20073
1479116917,20070,20070
1479117406,20067,20067
1479117865,20061,20061
1479118356,20065,20065
1479118864,20072,20072
1479119312,20077,20077
1479119782,20079,20079
1479120266,20080,20080
1479120793,20055,20055
1479121292,20054,20054
1479121737,20044,20044
1479122426,20045,20045
1479122662,20056,20056
1479123391,20058,20058
1479123631,20049,20049
1479124345,20056,20056
1479124614,20044,20044
1479125311,20045,20045
1479125544,20053,20053
1479126249,20051,20051
1479126544,20025,20025
1479127218,20040,20040
1479127463,20056,20056
1479128182,20051,20051
1479128485,20050,20050
1479129149,20039,20039
1479129655,20031,20031
1479130109,20032,20032
1479130591,20034,20034
1479131063,20042,20042
1479131557,20037,20037
1479132078,20044,20044
1479132536,20041,20041
1479132993,20037,20037
1479133474,20036,20036
1479133945,20043,20043
1479134454,20047,20047
1479134922,20051,20051
1479135402,20051,20051
1479135866,20041,20041
1479136359,20051,20051
1479136835,20044,20044
1479137308,20031,20031
1479137804,20033,20033
1479138257,20029,20029
1479138751,20029,20029
1479139307,20039,20039
1479139738,20047,20047
1479140214,20053,20053
1479140670,20040,20040
1479141148,20037,20037
1479141635,20046,20046
1479142142,20028,20028
1479142599,20015,20015
1479143075,20002,20002
1479143551,20002,20002
1479144043,20011,20011
1479144509,20008,20008
1479144998,20018,20018
1479145460,20017,20017
1479145963,20004,20004
1479146477,20009,20009
1479146978,20014,20014
1479147508,20013,20013
1479148631,20026,20026
1479149588,20044,20044
1479150611,20051,20051
1479151515,20039,20039
1479152433,20051,20051
1479153417,20041,20041
1479154353,20041,20041
1479155315,20046,20046
1479156298,20041,20041
1479157293,20049,20049
1479158213,20030,20030
1479159158,20036,20036
1479160150,20025,20025
1479161071,20015,20015
1479162064,20026,20026
1479163118,20029,20029
1479164182,20032,20032
1479165153,20031,20031
1479166113,20043,20043
1479167067,20039,20039
1479168072,20036,20036
1479168984,20026,20026
1479169985,20021,20021
1479170957,20008,20008
1479171867,19979,19979
1479172871,19979,19979
1479173793,19969,19969
1479174755,19953,19953
1479175751,19965,19965
1479176682,19940,19940
1479177636,19930,19930
1479178630,19915,19915
1479179562,19908,19908
1479180517,19904,19904
1479181475,19894,19894
1479182508,19880,19880
1479183619,19890,19890
1479184608,19874,19874
1479185548,19867,19867
1479186550,19880,19880
1479187479,19877,19877
1479188422,19920,19920
1479189426,19921,19921
1479190364,19918,19918
1479191309,19931,19931
1479192272,19942,19942
1479193288,19939,19939
1479194191,19933,19933
1479195151,19948,19948
1479196146,19954,19954
1479197111,19954,19954
1479198075,19965,19965
1479198995,19970,19970
1479199958,19966,19966
1479200953,19958,19958
1479201864,19978,19978
1479202826,19979,19979
1479203800,19972,19972
1479204759,19973,19973
1479205713,19970,19970
1479206687,19965,19965
1479207684,19965,19965
1479208830,19980,19980
1479209807,19979,19979
1479210747,19987,19987
1479211754,20001,20001
1479212666,19980,19980
1479213621,19987,19987
1479214588,19961,19961
1479215567,19960,19960
1479216509,19969,19969
1479217469,19966,19966
1479218522,19977,19977
1479219658,19982,19982
1479220587,19987,19987
1479221568,19980,19980
1479222541,19979,19979
1479223451,19967,19967
1479224415,19959,19959
1479225394,19939,19939
1479226341,19951,19951
1479227304,19958,19958
1479228266,19962,19962
1479229285,20004,20004
1479230470,20094,20094
1479231397,20128,20128
1479232356,20169,20169
1479233349,20158,20158
