DateTime,AddedIPs,RemovedIPs
1479039910,57,57
1479040356,8,15
1479040831,155,155
1479041339,14,22
1479041792,98,98
1479042267,9,6
1479042756,126,126
1479043257,22,16
1479043705,144,144
1479044194,3,10
1479044659,76,76
1479045158,17,18
1479045751,128,128
1479046146,17,25
1479046831,131,131
1479047065,7,7
1479047800,96,96
1479048024,10,18
1479048752,79,79
1479049026,9,5
1479049713,122,122
1479049943,14,14
1479050670,66,66
1479050943,4,12
1479051620,101,101
1479051850,11,20
1479052596,87,87
1479052891,16,16
1479053551,105,105
1479054032,14,24
1479054504,117,117
1479055020,6,8
1479055456,53,53
1479055955,12,11
1479056494,118,118
1479056920,12,16
1479057420,79,79
1479057896,6,5
1479058357,115,115
1479058838,15,17
1479059320,108,108
1479059814,4,5
1479060285,67,67
1479060752,13,16
1479061258,128,128
1479061716,8,12
1479062200,76,76
1479062666,5,8
1479063170,83,83
1479063718,12,16
1479064118,107,107
1479064826,8,11
1479065070,60,60
1479065797,3,4
1479066036,95,95
1479066746,11,8
1479066998,85,85
1479067742,3,9
1479067952,100,100
1479068652,9,12
1479068925,120,120
1479069621,11,8
1479069867,68,68
1479070633,6,2
1479070890,119,119
1479071547,8,9
1479072046,108,108
1479072498,3,9
1479072983,67,67
1479073464,8,12
1479074003,91,91
1479074472,7,11
1479074919,65,65
1479075655,9,14
1479075875,102,102
1479076586,2,5
1479076834,92,92
1479077546,9,15
1479077794,68,68
1479078536,10,14
1479078746,107,107
1479079449,8,4
1479079711,101,101
1479080416,11,10
1479080673,66,66
1479081398,7,11
1479081678,107,107
1479082346,11,12
1479082601,84,84
1479083343,9,8
1479083632,114,114
1479084259,10,10
1479084582,163,163
1479085261,15,12
1479085755,161,161
1479086209,10,8
1479086663,98,98
1479087185,7,13
1479087630,123,123
1479088105,12,13
1479088610,66,66
1479089066,6,5
1479089544,141,141
1479090042,15,13
1479090512,120,120
1479091029,8,10
1479091464,58,58
1479091951,11,9
1479092479,134,134
1479092939,12,15
1479093388,87,87
1479093864,8,4
1479094363,137,137
1479094828,10,7
1479095326,136,136
1479095791,11,13
1479096277,77,77
1479096754,12,13
1479097236,149,149
1479097707,3,3
1479098183,89,89
1479098665,14,11
1479099152,102,102
1479099689,14,8
1479100130,135,135
1479100599,5,6
1479101067,78,78
1479101557,16,9
1479102047,132,132
1479102544,13,5
1479102998,76,76
1479103469,14,9
1479103950,165,165
1479104459,14,15
1479104908,145,145
1479105424,4,9
1479105864,69,69
1479106354,16,13
1479106888,122,122
1479107342,8,2
1479107802,46,46
1479108259,13,19
1479108758,108,108
1479109236,9,21
1479109705,130,130
1479110195,14,11
1479110666,61,61
1479111158,9,19
1479111639,126,126
1479112101,12,19
1479112581,70,70
1479113069,9,21
1479113562,113,113
1479114079,11,18
1479114514,126,126
1479115036,5,9
1479115468,57,57
1479115978,13,14
1479116423,105,105
1479116917,11,15
1479117406,60,60
1479117865,12,2
1479118356,114,114
1479118864,16,12
1479119312,111,111
1479119782,2,10
1479120266,58,58
1479120793,14,16
1479121292,136,136
1479121737,7,6
1479122426,109,109
1479122662,11,11
1479123391,57,57
1479123631,9,13
1479124345,133,133
1479124614,11,3
1479125311,124,124
1479125544,8,11
1479126249,62,62
1479126544,9,3
1479127218,114,114
1479127463,16,11
1479128182,55,55
1479128485,16,15
1479129149,134,134
1479129655,7,15
1479130109,113,113
1479130591,8,3
1479131063,75,75
1479131557,13,9
1479132078,109,109
1479132536,12,20
1479132993,74,74
1479133474,6,10
1479133945,103,103
1479134454,12,17
1479134922,109,109
1479135402,11,10
1479135866,86,86
1479136359,10,10
1479136835,118,118
1479137308,10,3
1479137804,99,99
1479138257,10,10
1479138751,83,83
1479139307,16,7
1479139738,125,125
1479140214,6,9
1479140670,55,55
1479141148,13,10
1479141635,109,109
1479142142,6,5
1479142599,49,49
1479143075,6,12
1479143551,115,115
1479144043,15,6
1479144509,105,105
1479144998,10,9
1479145460,49,49
1479145963,10,13
1479146477,122,122
1479146978,9,3
1479147508,115,115
1479148631,116,106
1479149588,128,127
1479150611,142,137
1479151515,67,65
1479152433,142,131
1479153417,54,55
1479154353,126,121
1479155315,91,89
1479156298,82,73
1479157293,134,127
1479158213,78,72
1479159158,120,118
1479160150,125,125
1479161071,84,91
1479162064,122,119
1479163118,81,82
1479164182,108,108
1479165153,128,126
1479166113,117,112
1479167067,74,71
1479168072,138,143
1479168984,99,95
1479169985,166,161
1479170957,152,155
1479171867,98,103
1479172871,163,165
1479173793,99,101
1479174755,121,123
1479175751,149,147
1479176682,71,73
1479177636,118,121
1479178630,69,70
1479179562,122,124
1479180517,147,149
1479181475,109,112
1479182508,160,157
1479183619,159,154
1479184608,121,115
1479185548,119,111
1479186550,166,172
1479187479,74,77
1479188422,151,147
1479189426,87,82
1479190364,121,122
1479191309,95,99
1479192272,79,73
1479193288,135,142
1479194191,70,68
1479195151,173,161
1479196146,153,154
1479197111,99,97
1479198075,135,129
