DateTime,Entries,UniqueIPs
1478933783,46558,47144
1478934760,46534,47118
1478935748,46544,47129
1478936659,46556,47142
1478937685,46528,47114
1478938820,46545,47131
1478939782,46556,47142
1478940747,46578,47164
1478941728,46550,47137
1478942655,46556,47144
1478943620,46570,47158
1478944616,46578,47166
1478945564,46546,47134
1478946500,46555,47143
1478947487,46572,47160
1478948485,46595,47183
1478949391,46563,47147
1478950355,46576,47160
1478951339,46587,47171
1478952535,46557,47135
1478953457,46573,47151
1478954431,46593,47172
1478955430,46598,47177
1478956357,46574,47153
1478957300,46601,47180
1478958272,46611,47190
1478959300,46637,47216
1478960426,46623,47203
1478961387,46638,47219
1478962348,46662,47243
1478963329,46670,47251
1478964249,46635,47217
1478965215,46662,47244
1478966508,46676,47263
1478967618,46634,47219
1478968591,46656,47242
1478969563,46668,47254
1478970503,46618,47203
1478971478,46624,47209
1478972414,46641,47226
1478973380,46650,47235
1478974350,46615,47199
1478975322,46622,47206
1478976247,46646,47230
1478977286,46659,47244
1478978187,46576,47161
1478979150,46589,47174
1478980136,46601,47186
1478981065,46529,47111
1478982020,46552,47135
1478983041,46564,47147
1478983945,46572,47155
1478984943,46532,47113
1478985865,46537,47118
1478986819,46548,47130
1478987785,46552,47134
1478988794,46487,47069
1478989723,46494,47076
1478990659,46502,47084
1478991705,46510,47092
1478992821,46458,47040
1478993787,46462,47044
1478994751,46474,47056
1478995717,46401,46980
1478996648,46408,46987
1478997626,46419,46999
1478998603,46428,47008
1478999536,46441,47021
1479000505,46397,46977
1479001451,46407,46987
1479002411,46421,47001
1479003397,46374,46952
1479004375,46387,46965
1479005304,46394,46972
1479006270,46401,46979
1479007225,46413,46991
1479008191,46367,46945
1479009157,46382,46960
1479010145,46388,46966
1479011058,46366,46944
1479012063,46378,46957
1479013028,46393,46972
1479013956,46410,46989
1479014910,46373,46950
1479015857,46382,46960
1479016862,46389,46967
1479017832,46358,46936
1479019000,46366,46944
1479019956,46380,46959
1479020920,46399,46978
1479021859,46365,46943
1479022825,46382,46960
1479023831,46390,46968
1479024748,46414,46992
1479025735,46395,46972
1479026662,46401,46978
1479027681,46412,46990
1479028595,46430,47008
1479029563,46403,46983
1479030527,46413,46993
1479031471,46419,46999
1479032432,46432,47012
1479033387,46404,46984
1479034385,46416,46996
1479035355,46433,47013
1479036535,46380,46957
1479037468,46392,46969
1479038491,46406,46984
1479039404,46412,46990
1479040356,46349,46926
