DateTime,Entries,UniqueIPs
1478650822,26143,29909
1478651799,26142,29910
1478652786,26149,29917
1478653744,26152,29921
1478654660,26153,29922
1478655642,26157,29925
1478656591,26159,29929
1478657563,26146,29911
1478658505,26145,29911
1478659461,26143,29908
1478660504,26148,29912
1478661623,26137,29900
1478662595,26139,29901
1478663555,26140,29902
1478664532,26141,29903
1478665458,26138,29897
1478666412,26140,29900
1478667376,26138,29896
1478668357,26129,29889
1478669332,26127,29885
1478670260,26129,29887
1478671275,26125,29878
1478672188,26128,29881
1478673150,26121,29869
1478674142,26124,29876
1478675064,26119,29871
1478676022,26114,29866
1478677000,26115,29867
1478677964,26114,29866
1478678943,26110,29860
1478679861,26107,29858
1478680814,26106,29857
1478681787,26103,29855
1478682747,26104,29856
1478683730,26102,29854
1478684649,26101,29854
1478685671,26105,29859
1478686595,26110,29862
1478687553,26113,29865
1478688543,26104,29852
1478689471,26098,29846
1478690432,26094,29842
1478691403,26095,29839
1478692619,26096,29838
1478693549,26098,29838
1478694531,26098,29838
1478695458,26096,29838
1478696472,26092,29834
1478697401,26092,29833
1478698376,26089,29832
1478699315,26089,29834
1478700300,26091,29835
1478701228,26092,29839
1478702196,26087,29835
1478703197,26086,29834
1478704147,26092,29839
1478705066,26094,29842
1478706033,26097,29847
1478707002,26095,29845
1478707963,26093,29843
1478708906,26098,29845
1478709866,26099,29848
1478710893,26102,29852
1478712032,26103,29857
1478713051,26101,29854
1478713957,26105,29858
1478714951,26104,29859
1478715873,26103,29856
1478716834,26104,29859
1478717791,26104,29857
1478718765,26102,29854
1478719708,26095,29847
1478720660,26097,29849
1478721690,26096,29852
1478722822,26098,29855
1478723806,26095,29854
1478724757,26094,29855
1478725764,26090,29854
1478726665,26078,29845
1478727855,26084,29856
1478728923,26087,29861
1478730024,26093,29869
1478730986,26097,29873
1478731954,26095,29870
1478732961,26103,29878
1478734153,26104,29881
1478735083,26106,29880
1478736292,26104,29877
1478737234,26112,29885
1478738191,26114,29888
1478739174,26110,29885
1478740131,26115,29892
1478741083,26114,29889
1478742075,26109,29885
1478742999,26112,29891
1478743948,26107,29886
1478744965,26111,29887
1478746150,26110,29886
1478747070,26109,29884
1478748029,26115,29888
1478748996,26108,29880
1478749971,26106,29876
1478750923,26099,29867
1478751865,26095,29865
1478752825,26101,29866
1478753798,26105,29870
1478754758,26103,29872
1478755736,26103,29876
1478756664,26104,29878
1478757654,26106,29882
1478758847,26100,29872
1478759798,26098,29871
1478760784,26103,29876
1478761717,26106,29881
1478762660,26104,29880
1478763656,26116,29893
1478764604,26109,29890
1478765549,26116,29894
1478766514,26118,29893
1478767469,26115,29890
1478768491,26120,29897
1478769640,26120,29897
1478770642,26120,29897
1478771555,26119,29897
1478772612,26118,29892
1478773706,26110,29885
1478774657,26107,29883
1478775710,26110,29886
1478776827,26117,29891
1478777800,26119,29891
1478778748,26109,29880
1478779732,26108,29880
1478780664,26099,29873
1478781624,26110,29885
1478782582,26112,29884
1478783564,26110,29884
1478784533,26109,29883
1478785467,26107,29882
1478786473,26110,29883
1478787434,26102,29875
1478788369,26093,29865
1478789553,26095,29866
1478790509,26100,29872
1478791462,26101,29874
1478792414,26103,29880
1478793393,26105,29882
1478794359,26109,29888
1478795317,26110,29889
1478796293,26106,29887
1478797281,26104,29886
1478798191,26113,29897
1478799156,26116,29901
1478800142,26120,29908
1478801066,26114,29902
1478802022,26117,29905
1478803008,26112,29901
1478804003,26115,29903
1478804956,26121,29911
1478805865,26121,29913
1478806823,26121,29915
1478807844,26117,29915
1478808788,26114,29919
1478809704,26115,29923
1478810665,26117,29924
1478811676,26122,29931
1478812591,26124,29933
1478813546,26129,29938
1478814525,26136,29947
1478815468,26134,29948
1478816433,26137,29951
1478817391,26142,29955
1478818385,26141,29954
1478819311,26140,29959
1478820268,26141,29961
1478821232,26141,29960
1478822200,26141,29964
1478823165,26148,29970
1478824103,26151,29973
1478825084,26147,29963
1478826085,26150,29969
1478827230,26152,29973
1478828192,26150,29971
1478829178,26151,29972
1478830099,26152,29971
1478831064,26155,29974
1478832033,26165,29984
1478832974,26168,29988
1478833957,26172,29995
1478834929,26179,30004
1478835860,26185,30010
1478836875,26185,30010
1478837822,26184,30011
1478838787,26184,30012
1478839725,26184,30011
1478840668,26178,30002
1478841664,26186,30009
1478842605,26177,29999
1478843558,26181,30003
1478844537,26178,30003
1478845471,26181,30004
1478846463,26174,29996
1478847392,26175,29997
1478848355,26180,30002
1478849339,26184,30008
1478850258,26187,30010
1478851280,26192,30015
1478852231,26192,30013
1478853179,26202,30021
1478854109,26205,30023
1478855067,26202,30018
1478856026,26204,30021
1478857047,26207,30021
1478857956,26211,30028
1478858939,26205,30024
1478859874,26208,30024
1478860845,26216,30032
1478861786,26208,30024
1478862766,26209,30025
1478863700,26211,30028
1478864665,26216,30033
1478865683,26217,30034
1478866584,26215,30033
1478867823,26223,30041
1478868746,26225,30043
1478869743,26224,30042
1478870656,26219,30036
1478871616,26224,30041
1478872633,26217,30033
1478873543,26223,30039
1478874503,26227,30040
1478875450,26223,30036
1478876486,26211,30022
1478877394,26214,30025
1478878346,26217,30026
1478879355,26219,30027
1478880274,26216,30023
1478881236,26220,30022
1478882203,26213,30015
1478883148,26218,30020
1478884149,26220,30022
1478885059,26216,30019
1478886033,26215,30022
1478887029,26213,30024
1478887952,26210,30019
