DateTime,AddedIPs,RemovedIPs
1478911224,94,94
1478912277,77,77
1478913388,110,110
1478914360,95,95
1478915340,112,112
1478916267,72,72
1478917230,112,112
1478918204,77,77
1478919160,88,88
1478920109,116,116
1478921066,63,63
1478922021,116,116
1478922989,51,51
1478923951,118,118
1478924901,97,97
1478925852,79,79
1478926908,98,98
1478928026,110,110
1478929008,71,71
1478929985,106,106
1478930927,122,122
1478931863,55,55
1478932847,111,111
1478933786,58,58
1478934763,155,155
1478935750,159,159
1478936662,81,81
1478937687,141,141
1478938822,131,131
1478939784,83,83
1478940750,135,135
1478941731,146,146
1478942658,68,68
1478943624,110,110
1478944618,84,84
1478945567,134,134
1478946503,127,127
1478947490,103,103
1478948488,148,148
1478949395,100,100
1478950357,127,127
1478951341,172,172
1478952538,176,176
1478953459,89,89
1478954433,141,141
1478955432,94,94
1478956360,134,134
1478957303,84,84
1478958274,75,75
1478959302,112,112
1478960428,109,109
1478961390,94,94
1478962351,110,110
1478963332,132,132
1478964252,67,67
1478965218,119,119
1478966510,135,135
1478967621,128,128
1478968594,89,89
1478969566,97,97
1478970506,136,136
1478971481,68,68
1478972417,125,125
1478973383,79,79
1478974353,94,94
1478975325,112,112
1478976250,48,48
1478977289,101,101
1478978421,114,114
1478979384,86,86
1478980337,94,94
1478981308,136,136
1478982257,65,65
1478983212,117,117
1478984181,42,42
1478985144,130,130
1478986099,109,109
1478987050,84,84
1478988090,86,86
1478989266,121,121
1478990182,64,64
1478991160,88,88
1478992107,121,121
1478993060,60,60
1478994035,97,97
1478994982,80,80
1478995958,118,118
1478996910,164,164
1478997859,100,100
1478999016,166,166
1479000014,152,152
1479000985,98,98
1479001952,136,136
1479002901,146,146
1479003858,57,57
1479004857,138,138
1479005786,65,65
1479006756,149,149
1479007722,142,142
1479008657,92,92
1479009669,160,160
1479010599,102,102
1479011639,115,115
1479012760,158,158
1479013696,161,161
1479014652,70,70
1479015641,149,149
1479016584,108,108
1479017547,156,156
1479018517,109,109
1479019456,66,66
1479020480,134,134
1479021409,74,74
1479022354,98,98
1479023314,102,102
1479024272,68,68
1479025234,120,120
1479026184,72,72
1479027156,106,106
1479028121,143,143
1479029062,72,72
1479030031,154,154
1479030995,93,93
1479031961,124,124
1479032903,130,130
1479033964,87,87
1479034896,94,94
1479036050,114,114
1479037001,56,56
1479037956,75,75
1479038935,124,124
1479039910,57,57
1479040831,155,155
1479041792,98,98
1479042756,126,126
1479043705,144,144
1479044659,76,76
1479045751,128,128
1479046831,131,131
1479047800,96,96
1479048752,79,79
1479049713,122,122
1479050670,66,66
1479051620,101,101
1479052596,87,87
1479053551,105,105
1479054504,117,117
1479055456,53,53
1479056494,118,118
1479057420,79,79
1479058357,115,115
1479059320,108,108
1479060285,67,67
1479061258,128,128
1479062200,76,76
1479063170,83,83
1479064118,107,107
1479065070,60,60
1479066036,95,95
1479066998,85,85
1479067952,100,100
1479068925,120,120
1479069867,68,68
1479070890,119,119
1479072046,108,108
1479072983,67,67
1479074003,91,91
1479074919,65,65
1479075875,102,102
1479076834,92,92
1479077794,68,68
1479078746,107,107
1479079711,101,101
1479080673,66,66
1479081678,107,107
1479082601,84,84
1479083632,114,114
1479084582,163,163
1479085755,161,161
1479086663,98,98
1479087630,123,123
1479088610,66,66
1479089544,141,141
1479090512,120,120
1479091464,58,58
1479092479,134,134
1479093388,87,87
1479094363,137,137
1479095326,136,136
1479096277,77,77
1479097236,149,149
1479098183,89,89
1479099152,102,102
1479100130,135,135
1479101067,78,78
1479102047,132,132
1479102998,76,76
1479103950,165,165
1479104908,145,145
1479105864,69,69
1479106888,122,122
1479107802,46,46
1479108758,108,108
1479109705,130,130
1479110666,61,61
1479111639,126,126
1479112581,70,70
1479113562,113,113
1479114514,126,126
1479115468,57,57
1479116423,105,105
1479117406,60,60
1479118356,114,114
1479119312,111,111
1479120266,58,58
1479121292,136,136
1479122426,109,109
1479123391,57,57
1479124345,133,133
1479125311,124,124
1479126249,62,62
1479127218,114,114
1479128182,55,55
1479129149,134,134
1479130109,113,113
1479131063,75,75
1479132078,109,109
1479132993,74,74
1479133945,103,103
1479134922,109,109
1479135866,86,86
1479136835,118,118
1479137804,99,99
1479138751,83,83
1479139738,125,125
1479140670,55,55
1479141635,109,109
1479142599,49,49
1479143551,115,115
1479144509,105,105
1479145460,49,49
1479146477,122,122
1479147508,115,115
1479148631,91,91
1479149588,118,118
1479150611,129,129
1479151515,60,60
1479152433,129,129
1479153417,51,51
1479154353,115,115
1479155315,78,78
1479156298,66,66
1479157293,120,120
1479158213,68,68
1479159158,113,113
1479160150,121,121
1479161071,77,77
1479162064,111,111
1479163118,71,71
1479164182,97,97
1479165153,119,119
1479166113,100,100
1479167067,67,67
1479168072,127,127
1479168984,93,93
1479169985,147,147
1479170957,145,145
1479171867,88,88
1479172871,144,144
1479173793,91,91
1479174755,105,105
1479175751,138,138
1479176682,63,63
1479177636,111,111
1479178630,61,61
1479179562,108,108
1479180517,136,136
1479181475,100,100
1479182508,150,150
1479183619,141,141
1479184608,111,111
1479185548,102,102
1479186550,154,154
1479187479,69,69
1479188422,136,136
1479189426,75,75
1479190364,108,108
1479191309,80,80
1479192272,65,65
1479193288,127,127
1479194191,62,62
1479195151,147,147
1479196146,142,142
1479197111,89,89
1479198075,117,117
1479198995,117,117
1479199958,107,107
1479200953,128,128
1479201864,68,68
1479202826,104,104
1479203800,59,59
1479204759,125,125
1479205713,119,119
1479206687,106,106
1479207684,171,171
1479208830,119,119
1479209807,83,83
1479210747,96,96
1479211754,168,168
1479212666,63,63
1479213621,121,121
1479214588,60,60
1479215567,132,132
1479216509,115,115
1479217469,70,70
1479218522,122,122
1479219658,115,115
1479220587,72,72
1479221568,108,108
1479222541,156,156
1479223451,65,65
1479224415,125,125
1479225394,54,54
1479226341,120,120
1479227304,116,116
1479228266,89,89
1479229285,138,138
1479230470,127,127
1479231397,85,85
1479232356,91,91
1479233349,124,124
1479234305,63,63
1479235226,97,97
1479236234,57,57
1479237199,116,116
1479238110,90,90
1479239062,75,75
1479240093,146,146
1479241214,107,107
1479242190,99,99
1479243143,87,87
1479244106,120,120
1479245083,61,61
1479246022,117,117
1479246979,66,66
1479247965,125,125
1479248926,105,105
1479249878,54,54
1479250910,127,127
1479251864,92,92
1479253001,135,135
1479253951,97,97
1479254960,112,112
1479255861,79,79
1479256827,131,131
1479257796,135,135
1479258749,160,160
1479259718,148,148
1479260683,101,101
1479261671,130,130
1479262593,104,104
1479263547,97,97
1479264546,117,117
1479265470,76,76
1479266424,138,138
1479267404,96,96
1479268358,133,133
1479269348,165,165
1479270264,65,65
1479271211,128,128
1479272174,106,106
1479273167,123,123
1479274117,132,132
1479275086,83,83
1479276076,150,150
1479276991,113,113
1479277954,161,161
1479278940,103,103
1479279865,76,76
1479280834,134,134
1479281840,86,86
1479282746,135,135
1479283741,196,196
1479284668,105,105
1479285623,156,156
1479286626,105,105
1479287566,133,133
1479288504,125,125
1479289483,76,76
1479290482,146,146
1479291445,125,125
1479292352,90,90
1479293341,124,124
1479294268,88,88
1479295329,172,172
1479296429,135,135
1479297382,110,110
1479298346,125,125
1479299327,130,130
1479300265,76,76
1479301312,157,157
1479302413,199,199
1479303397,50,50
1479304350,97,97
1479305813,121,121
1479306755,139,139
1479307739,120,120
1479308674,85,85
1479309662,107,107
1479310586,79,79
1479311573,97,97
1479312532,135,135
1479313466,71,71
1479314492,96,96
1479315698,125,125
1479316841,131,131
1479317851,134,134
1479318757,119,119
1479319752,147,147
1479320915,91,91
1479321862,78,78
1479322922,136,136
1479324024,136,136
1479324987,92,92
1479325944,98,98
1479326950,148,148
1479327854,59,59
1479328813,111,111
1479329797,73,73
1479330747,91,91
1479331736,116,116
1479332664,66,66
1479333747,103,103
1479334856,116,116
1479335794,78,78
1479336793,101,101
1479337757,140,140
1479338675,62,62
1479339658,131,131
1479340589,77,77
1479341568,116,116
1479342522,184,184
1479343481,83,83
1479344490,192,192
1479345397,122,122
1479346356,136,136
1479347343,126,126
1479348279,110,110
1479349234,114,114
1479350201,135,135
1479351160,106,106
1479352141,98,98
1479353061,78,78
1479354077,141,141
1479354981,106,106
1479355955,151,151
1479356914,128,128
1479357884,96,96
1479358881,176,176
1479359797,129,129
1479360756,151,151
1479361746,156,156
1479362665,111,111
1479363674,138,138
1479364628,87,87
1479365599,84,84
1479366554,148,148
1479367475,63,63
1479368428,107,107
1479369433,51,51
1479370350,124,124
1479371316,109,109
1479372291,65,65
1479373304,137,137
1479374206,83,83
1479375167,184,184
1479376141,130,130
1479377213,99,99
1479378258,101,101
1479379214,102,102
1479380202,71,71
1479381148,97,97
1479382120,82,82
1479383061,75,75
1479384126,103,103
1479385288,183,183
1479386198,100,100
1479387175,135,135
1479388116,134,134
1479389057,77,77
1479390024,114,114
1479391029,85,85
1479391948,120,120
1479392936,101,101
1479393850,81,81
1479394918,118,118
1479396047,127,127
1479397042,78,78
1479398235,125,125
1479399175,115,115
