DateTime,Entries,UniqueIPs
1433333787,496,7870016
1433333787,496,7870016
1433333787,496,7870016
1433333787,496,7870016
1433333787,496,7870016
1436356244,499,7873088
1438796967,489,7875669
1438796967,489,7875669
1438796967,489,7875669
1438796967,489,7875669
1438796967,489,7875669
1438796967,489,7875669
1438796967,489,7875669
1438796967,489,7875669
1441246525,490,7876693
1444359278,505,7885896
1446592594,506,7887688
1449013155,507,7888969
1452023189,520,7890758
1454432278,523,7895879
1456986150,538,7910539
1459872962,534,7905097
1460478568,536,7907145
1462498435,546,7911097
1465305233,550,7914170
1467904696,561,8046518
1470167278,632,8059079
1473169220,637,8202622
1473283131,702,7966702
1475589293,651,8053171
1478173292,655,8059763
