DateTime,AddedIPs,RemovedIPs
1448623086,3,0
1448666828,1,0
1448710564,3,0
1448754307,1,0
1448799515,2,0
1448843227,1,0
1448886975,2,0
1448930707,2,0
1448974814,2,0
1449106026,1,0
1449153990,1,0
1449197646,2,0
1449244001,1,0
1449335367,3,0
1449379088,4,0
1449517519,1,1
1449561246,2,0
1449605349,2,0
1449649086,1,0
1449692827,1,0
1449780317,3,0
1449868147,4,0
1449911904,1,0
1449999365,1,0
1450043107,1,0
1450086856,1,0
1450130951,3,0
1450262165,1,0
1450305918,2,0
1450349654,2,0
1450438032,1,0
1450529151,1,0
1450572845,1,0
1450661243,1,0
1450748708,2,0
1450792450,2,0
1450836549,3,0
1450880287,1,0
1450924030,2,0
1451011505,1,0
1451194592,1,0
1451369891,1,0
1451501135,1,0
1451676434,3,0
1451764447,1,0
1451852833,2,0
1451940846,4,0
1451984979,2,0
1452028687,2,0
1452072426,1,0
1452116166,2,0
1452203646,1,0
1452247750,2,0
1452291492,4,0
1452335226,1,0
1452378976,1,0
1452422715,4,0
1452466446,2,0
1452598031,2,0
1452641781,1,0
1452685507,1,0
1452729248,3,0
1452773348,1,0
1452817111,1,0
1452904564,3,0
1452949780,3,0
1452993486,3,0
1453037225,2,0
1453080971,3,0
1453124659,2,0
1453168338,6,0
1453212017,1,0
1453255700,3,0
1453299373,2,0
1453430410,1,0
1453474098,1,0
1453517770,3,0
1453561457,2,0
1453605135,8,0
1453648812,3,0
1453692490,2,0
1453736176,7,0
1453779850,5,0
1453823531,1,0
1453867221,10,0
1453910895,10,0
1453954569,1,0
1453998252,11,0
1454041931,3,0
1454085612,5,0
1454129289,4,0
1454172970,1,0
1454260331,2,0
1454304011,8,0
1454347689,4,0
1454391370,8,0
1454435055,5,0
1454478734,3,0
1454522409,6,0
1454566104,2,0
1454610014,2,0
1454653690,2,0
1454697372,3,0
1454741049,8,0
1454784731,4,0
1454828654,6,0
1454872334,6,0
1454916013,2,0
1454959692,1,0
1455003370,14,0
1455047056,7,0
1455090734,4,0
1455134417,1,0
1455178093,9,0
1455221769,3,0
1455309132,5,0
1455352810,1,0
1455396490,3,0
1455440169,5,0
1455483855,2,0
1455527530,1,0
1455571220,1,0
1455614892,1,0
1455658571,4,0
1455702253,5,0
1455746176,3,0
1455789855,2,0
1455833532,3,0
1455877210,2,0
1455920890,2,0
1455964582,4,0
1456008258,3,0
1456051930,5,0
1456095616,3,0
1456139293,2,0
1456182970,2,0
1456226657,2,0
1456270330,1,0
1456314013,2,0
1456445049,3,0
1456488976,4,0
1456532656,3,0
1456576329,5,0
1456620009,5,0
1456663694,2,0
1456707371,3,0
1456751053,2,0
1456794733,1,0
1456882089,3,0
1456925770,5,0
1457013133,4,0
1457056816,4,0
1457100493,7,0
1457144170,3,0
1457275210,7,0
1457318889,2,0
1457362571,8,0
1457406255,3,0
1457449933,7,0
1457493614,2,0
1457537290,2,0
1457580972,4,0
1457624650,7,0
1457668330,2,0
1457712023,2,0
1457755692,1,0
1457800339,1,0
1457844014,4,0
1457887696,10,0
1457931375,3,0
1457975049,2,0
1458018975,4,0
1458062649,2,0
1458106329,6,0
1458150743,2,0
1458194412,4,0
1458238095,4,0
1458281776,7,0
1458325451,2,0
1458369130,6,0
1458412810,9,0
1458456489,4,0
1458500172,4,0
1458543849,6,0
1458587532,5,0
1458631210,3,0
1458674892,6,0
1458718569,2,0
1458762250,1,0
1458805932,5,0
1458849611,5,0
1458893293,5,0
1458936971,1,0
1458980650,4,0
1459024334,3,0
1459068009,4,0
1459111690,1,0
1459155379,3,0
1459199059,1,0
1459242970,4,0
1459286649,7,0
1459330329,5,0
1459374254,2,0
1459417932,4,0
1459461854,1,0
1459505529,3,0
1459549453,2,0
1459593132,3,0
1459636815,2,0
1459680489,2,0
1459724170,4,0
1459767849,4,0
1459811529,5,0
1459855239,5,0
1459898892,10,0
1459942574,2,0
1459986249,2,0
1460029937,4,0
1460073612,1,0
1460161216,2,0
1460205132,2,0
1460248812,2,0
1460292489,3,0
1460380820,1,0
1460424491,2,0
1460468171,4,0
1460511849,4,0
1460555536,2,0
1460599216,3,0
1460643373,2,0
1460687053,3,0
1460774413,1,0
1460818094,3,0
1460861772,10,0
1460905499,1,0
1460949131,3,0
1460992813,3,0
1461036492,5,0
1461080169,5,0
1461123848,2,0
1461171377,7,0
1461215048,3,0
1461304089,6,0
1461347768,4,0
1461391448,3,0
1461435129,1,0
1461479052,3,0
1461522740,4,0
1461566417,5,0
1461610088,1,0
1461653777,3,0
1461697692,2,0
1461741370,3,0
1461785049,7,0
1461828729,7,0
1461872411,4,0
1461916088,3,0
1461959771,5,0
1462003451,3,0
1462047128,5,0
1462090810,2,0
1462134488,4,0
1462178169,3,0
1462221848,2,0
1462265527,1,0
1462309220,2,0
1462352890,2,0
1462396570,3,0
1462440248,2,0
1462483929,2,0
1462527608,2,0
1462572733,2,0
1462660090,6,0
