DateTime,AddedIPs,RemovedIPs
1456244406,3,0
1456288118,4,0
1456331794,5,0
1456375712,3,0
1456419374,2,0
1456463072,4,0
1456506742,2,0
1456550412,2,0
1456594118,7,0
1456637805,1,0
1456681453,4,0
1456725134,3,0
1456768828,4,0
1456812531,2,0
1456856191,1,0
1456899861,2,0
1456943668,0,3404
1456987454,3411,0
1457031150,2,0
1457074848,4,0
1457118520,2,0
1457162227,6,0
1457205856,5,0
1457249539,3,0
1457293222,7,0
1457336896,2,0
1457380869,3,0
1457424506,3,0
1457468197,4,0
1457511871,2,0
1457555569,2,0
1457599238,2,0
1457643601,9,0
1457687306,4,0
1457735196,3,0
1457778974,3,0
1457822647,5,0
1457910073,2,0
1457953696,4,0
1457997390,3,0
1458041053,5,0
1458084741,2,0
1458128422,2,0
1458172093,1,0
1458215769,3,0
1458259466,5,0
1458303145,1,0
1458346836,7,0
1458390495,1,0
1458434185,3,0
1458477852,4,0
1458521554,1,0
1458565241,1,0
1458608908,6,0
1458652585,5,0
1458696257,3,0
1458739952,4,0
1458783621,4,0
1458827321,1,0
1458914673,6,0
1458958344,2,0
1459002274,2,0
1459045949,3,0
1459089628,2,0
1459133321,2,0
1459176976,1,0
1459220657,3,0
1459264347,4,0
1459308040,5,0
1459351708,1,0
1459395944,23,0
1459440086,4,0
1459484008,4,0
1459527650,6,0
1459571326,5,0
1459614990,4,0
1459658658,2,0
1459702346,1,0
1459746024,3,0
1459789705,4,0
1459877126,5,0
1459920759,2,0
1459964471,2,0
1460008100,3,0
1460051806,3,0
1460139153,8,0
1460182858,1,0
1460226512,3,0
1460270213,2,0
1460313861,1,0
1460357541,3,0
1460401484,4,0
1460445481,4,0
1460489321,4,0
1460532978,3,0
1460576645,2,0
1460620399,4,0
1460664073,3,0
1460707972,2,0
1460751783,1,0
1460795551,6,0
1460839240,2,0
1460882901,2,0
1460926589,7,0
1460970258,1,0
1461015443,3,0
1461059307,4,0
1461104399,2,0
1461162454,3,0
1461206195,2,0
1461249851,3,0
1461293548,3,0
1461337234,8,0
1461380901,5,0
1461424615,4,0
1461468248,5,0
1461511971,4,0
1461555624,4,0
1461599319,7,0
1461642985,3,0
1461686934,3,0
1461730594,2,0
1461774253,3,0
1461817953,1,0
1461861638,1,0
1461948991,4,0
1461992646,1,0
1462080017,3,0
1462123712,5,0
1462211061,4,0
1462254801,1,0
1462298439,2,0
1462342101,4,0
1462385787,5,0
1462429578,1,0
1462473378,4,0
1462517068,4,0
1462560775,6,0
1462604422,6,0
1462648101,6,0
1462691776,2,0
1462735455,2,0
1462779152,11,0
1462822819,8,0
1462866532,9,0
1462910177,2,0
1462953856,1,0
1462997800,1,0
1463041470,1,0
1463085153,2,0
1463128871,5,0
1463172553,2,0
1463216182,6,0
1463259875,9,0
1463303544,6,0
1463347240,3,0
1463390903,5,0
1463434606,6,0
1463478250,4,0
1463521960,5,0
1463565641,5,0
1463609312,5,0
