DateTime,AddedIPs,RemovedIPs
1477339220,0,2
1477342821,1,0
1477346420,0,1
1477350020,0,1
1477357220,0,1
1477360821,0,2
1477364420,1,1
1477368020,1,0
1477375220,0,2
1477386021,1,1
1477389620,2,0
1477393220,1,0
1477396821,2,1
1477404021,2,0
1477407621,0,1
1477411221,2,0
1477414821,1,1
1477418421,1,0
1477422021,2,1
1477425621,2,1
1477432822,4,0
1477436422,1,2
1477440021,3,1
1477443621,0,3
1477447221,2,1
1477450820,2,1
1477454420,2,0
1477458021,2,1
1477461620,0,2
1477468824,1,1
1477472424,0,2
1477476024,0,1
1477479621,2,1
1477486823,1,1
1477490424,3,0
1477494024,2,1
1477497625,2,1
1477501225,0,2
1477504820,2,0
1477508420,0,2
1477512023,1,0
1477519224,2,1
1477522821,1,2
1477526425,2,1
1477530025,2,1
1477533625,1,2
1477537221,3,0
1477540829,1,0
1477548021,1,1
1477551621,2,0
1477555221,0,2
1477558821,0,3
1477566021,0,1
1477573221,0,2
1477576820,3,0
1477580421,1,0
1477584021,1,1
1477587621,1,0
1477591221,0,1
1477594821,3,3
1477598421,1,0
1477602052,2,1
1477605621,1,1
1477609221,1,2
1477612821,2,1
1477616421,3,2
1477620021,1,0
1477623621,1,1
1477627221,0,1
1477630820,0,1
1477634421,0,2
1477638021,1,0
1477641621,1,0
1477645221,2,0
1477648825,0,1
1477652420,1,0
1477663220,1,3
1477666821,1,1
1477670420,0,1
1477674021,0,1
1477677621,0,2
1477681220,1,2
1477684820,0,1
1477688420,1,1
1477692021,4,2
1477695621,0,1
1477699221,1,2
1477702821,1,0
1477706422,1,0
1477713621,0,2
1477717221,0,1
1477720820,0,1
1477728021,3,0
1477731620,1,0
1477735221,0,2
1477738821,0,2
1477742420,0,1
1477746020,1,0
1477749620,1,1
1477753222,1,1
1477756820,0,2
1477760420,1,2
1477764020,1,0
1477767620,1,2
1477771221,0,1
1477774821,1,2
1477785621,4,1
1477789221,1,5
1477792821,1,1
1477796421,3,0
1477800021,0,1
1477803621,1,1
1477807221,2,0
1477810820,2,0
1477814421,1,1
1477818020,1,0
1477821621,1,1
1477825221,1,2
1477828820,2,14
1477832421,0,1
1477836020,0,1
1477843220,1,1
1477846821,1,3
1477850421,0,1
1477854020,1,0
1477857620,2,1
1477861220,0,1
1477864820,4,0
1477868420,1,4
1477872020,1,2
1477879221,2,0
1477886420,2,1
1477890020,1,0
1477904420,1,2
1477911621,2,0
1477915221,0,2
1477918820,0,1
1477922419,2,2
1477926020,1,2
1477929620,1,1
1477933219,1,1
1477936820,2,0
1477940419,0,1
1477944019,2,1
1477947620,4,0
1477951221,1,1
1477954820,2,5
1477958420,1,1
1477962020,4,1
1477965620,2,1
1477969220,1,3
1477972820,1,0
1477976420,1,0
1477980020,0,1
1477987220,1,0
1477990819,0,1
1477998020,1,0
1478001619,1,0
1478005221,3,0
1478008820,1,3
1478012421,3,0
1478019620,0,2
1478023220,2,2
1478026820,2,1
1478030421,1,0
1478037620,2,3
1478041220,0,1
1478044820,1,1
1478048421,3,0
1478052021,1,2
1478055621,3,1
1478059220,1,0
1478062820,0,1
1478070020,2,0
1478073621,1,1
1478080821,1,2
1478084420,0,1
1478091620,0,2
1478095220,1,2
1478098821,1,4
1478102420,4,0
1478106021,1,2
1478109621,0,1
1478113220,0,3
1478116820,1,0
1478120420,0,1
1478124020,2,2
1478127619,2,3
1478134820,2,3
1478138420,1,0
1478142169,2,3
1478145619,1,1
1478149220,2,0
1478152821,1,2
1478156419,2,1
1478160020,1,0
1478170819,2,0
1478174420,2,1
1478178021,1,0
1478181620,0,1
1478185220,0,1
1478188820,1,3
1478192420,1,1
1478196020,2,0
1478199619,0,1
1478203220,2,3
1478206820,2,0
1478210420,4,1
1478214020,3,2
1478217621,1,0
1478221220,3,1
1478224820,3,1
1478228420,1,3
1478232021,3,0
1478235620,2,1
1478242821,0,2
1478250020,2,1
1478253621,2,1
1478257221,0,1
1478264420,3,2
1478271620,0,1
1478278821,1,2
1478282421,1,0
1478286020,0,1
1478289621,2,1
1478293221,2,2
1478296821,1,4
1478300420,1,0
1478304020,1,0
1478307621,1,1
1478311220,0,1
1478314821,3,0
1478318421,0,1
1478325621,1,0
1478329220,0,2
1478332821,1,1
1478336421,1,2
1478343620,0,2
1478350820,0,1
1478354421,1,2
1478358020,1,0
1478361620,1,0
1478368820,0,2
1478372421,1,0
1478376021,1,1
1478379621,2,1
1478386821,1,2
1478390421,2,3
1478394020,0,1
1478397621,2,0
1478401220,0,3
1478408421,0,2
1478412020,2,1
1478415620,1,2
1478419220,3,0
1478422822,1,0
1478426420,0,2
1478433621,1,3
1478437220,0,1
1478444421,2,1
1478448020,2,0
1478451621,1,1
1478462420,3,0
1478466021,0,2
1478469620,0,4
1478473221,6,0
1478476821,13,2
1478480422,1,0
1478484021,1,0
1478487622,0,1
1478491221,1,2
1478498422,0,1
1478502022,0,1
1478505621,1,0
1478512821,1,1
1478516422,2,2
1478520021,0,1
1478523621,0,2
1478527221,0,1
1478530821,1,0
1478534421,1,2
1478538021,1,1
1478541621,2,0
1478545221,0,3
1478548821,0,5
1478552421,2,1
1478556021,1,1
1478559622,2,2
1478563221,1,1
1478566821,2,2
1478574021,1,0
1478581221,2,1
1478584822,4,0
1478588421,11,0
1478592022,8,1
1478595622,5,2
1478599222,3,1
1478602822,2,2
1478606422,2,1
1478610023,1,0
1478613622,0,1
1478617222,0,1
1478620822,1,1
1478628022,0,1
1478635222,2,2
1478638822,3,0
1478642423,0,3
1478646022,2,2
1478649623,5,2
1478653223,1,0
1478656822,0,1
1478660422,0,2
1478664022,0,3
1478667622,1,1
1478674822,0,1
1478678421,0,1
1478682022,0,2
1478685622,1,1
1478689221,1,0
1478692822,0,1
1478696422,1,1
1478700022,1,3
1478703622,1,2
1478707221,2,3
1478710822,1,0
1478714421,3,0
1478718022,1,0
1478721622,7,0
1478725222,2,2
1478728822,3,0
1478732422,1,4
1478736022,1,1
1478739622,2,1
1478743222,2,1
1478746822,2,0
1478750422,0,3
1478754024,1,0
1478757623,2,0
1478761223,1,2
1478764823,2,0
1478772023,1,1
1478775622,1,2
1478779223,0,1
1478782822,0,1
