DateTime,Entries,UniqueIPs
1477641802,3599,3599
1477645403,3602,3602
1477649005,3600,3600
1477652602,3603,3603
1477656202,3596,3596
1477659806,3589,3589
1477663398,3553,3553
1477666999,3552,3552
1477670599,3550,3550
1477674203,3564,3564
1477677801,3569,3569
1477681399,3569,3569
1477685001,3589,3589
1477688603,3592,3592
1477692204,3607,3607
1477695803,3626,3626
1477699403,3637,3637
1477703005,3642,3642
1477706605,3631,3631
1477710202,3595,3595
1477713801,3592,3592
1477717402,3586,3586
1477721002,3582,3582
1477724602,3573,3573
1477728201,3575,3575
1477731799,3554,3554
1477735394,3433,3433
1477738989,3349,3349
1477742589,3354,3354
1477746190,3369,3369
1477749790,3380,3380
1477753396,3387,3387
1477756990,3393,3393
1477760590,3411,3411
1477764193,3413,3413
1477767794,3413,3413
1477771393,3415,3415
1477774992,3418,3418
1477778592,3426,3426
1477782195,3436,3436
1477785796,3443,3443
1477789394,3450,3450
1477792993,3448,3448
1477796594,3450,3450
1477800194,3440,3440
1477803794,3436,3436
1477807393,3440,3440
1477810992,3439,3439
1477814593,3445,3445
1477818195,3450,3450
1477821794,3457,3457
1477825394,3460,3460
1477828995,3463,3463
1477832595,3459,3459
1477836194,3461,3461
1477839796,3468,3468
1477843395,3464,3464
1477846997,3482,3482
1477850598,3506,3506
1477854197,3505,3505
1477857797,3506,3506
1477861401,3573,3573
1477865000,3568,3568
1477868602,3602,3602
1477872202,3601,3601
1477875804,3607,3607
1477879402,3601,3601
1477883002,3595,3595
1477886601,3583,3583
1477890200,3577,3577
1477893806,3649,3649
1477897404,3641,3641
1477901005,3653,3653
1477904604,3650,3650
1477908205,3660,3660
1477911805,3662,3662
1477915407,3671,3671
1477919018,3888,3888
1477922614,3885,3885
1477926212,3890,3890
1477929817,3908,3908
1477933579,3910,3910
1477937019,3921,3921
1477940614,3914,3914
1477944215,3918,3918
1477947816,3955,3955
1477951420,3966,3966
1477955017,3976,3976
1477958617,3977,3977
1477962217,3982,3982
1477965819,3984,3984
1477969420,3983,3983
1477973019,3998,3998
1477976617,3999,3999
1477980219,3993,3993
1477983820,3978,3978
1477987420,3965,3965
1477991017,3961,3961
1477994616,3957,3957
1477998223,3957,3957
1478001820,3949,3949
1478005419,3955,3955
1478009017,3950,3950
1478012622,3952,3952
1478016221,3963,3963
1478019819,3969,3969
1478023422,3969,3969
1478027021,3971,3971
1478030620,3963,3963
1478034218,3961,3961
1478037820,3966,3966
1478041425,4051,4051
1478045027,4121,4121
1478048627,4134,4134
1478052230,4126,4126
1478055829,4131,4131
1478059426,4129,4129
1478063026,4125,4125
1478066628,4129,4129
1478070231,4181,4181
1478073830,4191,4191
1478077431,4206,4206
1478081035,4249,4249
1478084637,4303,4303
1478088237,4303,4303
1478091837,4292,4292
1478095436,4284,4284
1478099037,4287,4287
1478102636,4292,4292
1478106237,4295,4295
1478109838,4289,4289
1478113437,4285,4285
1478117036,4286,4286
1478120637,4288,4288
1478124238,4294,4294
1478127836,4296,4296
1478131438,4292,4292
1478135037,4286,4286
1478138635,4285,4285
1478142380,4276,4276
1478145833,4266,4266
1478149433,4251,4251
1478153032,4249,4249
1478156632,4248,4248
1478160239,4257,4257
1478163833,4266,4266
1478167432,4265,4265
1478171033,4273,4273
1478174636,4269,4269
1478178236,4277,4277
1478181832,4270,4270
1478185433,4271,4271
1478189036,4260,4260
1478192637,4256,4256
1478196234,4251,4251
1478199835,4256,4256
1478203434,4255,4255
1478207036,4252,4252
1478210636,4253,4253
1478214233,4254,4254
1478217834,4256,4256
1478221434,4247,4247
1478225036,4246,4246
1478228633,4237,4237
1478232231,4197,4197
1478235831,4193,4193
1478239434,4194,4194
1478243034,4196,4196
1478246632,4192,4192
1478250231,4193,4193
1478253830,4192,4192
1478257433,4189,4189
1478261031,4189,4189
1478264629,4176,4176
1478268230,4173,4173
1478271828,4174,4174
1478275432,4168,4168
1478279030,4171,4171
1478282630,4179,4179
1478286231,4182,4182
1478289830,4172,4172
1478293430,4164,4164
1478297030,4165,4165
