DateTime,AddedIPs,RemovedIPs
1477652163,57,62
1477656005,51,45
1477657922,64,55
1477661763,53,61
1477665603,62,45
1477669442,62,60
1477673282,61,53
1477677123,62,65
1477680963,57,64
1477685042,53,63
1477686964,64,84
1477690803,50,62
1477694643,50,60
1477698482,78,72
1477702323,44,68
1477706163,60,61
1477710005,70,77
1477711923,104,122
1477715763,110,114
1477721523,100,79
1477723442,57,57
1477727282,58,50
1477731124,68,43
1477734963,68,44
1477738804,62,57
1477740722,67,50
1477744563,50,42
1477748403,46,62
1477752243,47,50
1477756324,192,260
1477758243,290,212
1477760163,43,52
1477764005,60,58
1477768807,48,62
1477770723,47,47
1477774563,41,58
1477778405,51,61
1477782243,41,71
1477784176,76,71
1477788004,57,65
1477791845,64,60
1477795685,54,61
1477799525,66,76
1477803364,81,91
1477807266,83,72
1477809373,45,45
1477813202,60,41
1477815126,63,43
1477820882,58,43
1477824724,65,56
1477830485,56,46
1477832405,53,55
1477834325,54,56
1477838175,47,51
1477842005,49,52
1477846082,63,41
1477848003,41,63
1477849923,86,78
1477853763,54,51
1477857603,47,45
1477859522,47,56
1477863363,55,71
1477867202,50,70
1477871042,48,76
1477877044,72,75
1477878963,75,72
1477880884,136,124
1477882805,54,68
1477884722,77,76
1477888563,87,100
1477892403,91,77
1477896242,65,57
1477900082,49,48
1477903924,58,58
1477907763,61,45
1477911605,49,47
1477913522,53,49
1477917363,64,54
1477919283,63,51
1477925282,49,64
1477929124,57,55
1477932963,67,49
1477936805,69,60
1477940643,54,67
1477942562,54,61
1477946643,57,56
1477950482,53,62
1477954324,61,71
1477958163,48,67
1477960083,90,72
1477963924,79,61
1477967775,64,53
1477971616,86,82
1477975442,92,106
1477979282,104,79
1477985043,59,63
1477986962,55,62
1477989123,18,5470
1477991043,5472,0
1477992962,59,44
1477996803,61,58
1478000645,57,67
1478004483,67,48
1478008323,73,61
1478012404,56,56
1478014322,70,50
1478018164,52,57
1478022003,65,58
1478025843,73,60
1478029682,46,40
1478033523,63,64
1478037363,54,70
1478041205,43,73
1478043123,49,77
1478046962,89,67
1478050803,61,65
1478054643,50,55
1478058482,91,95
1478062324,76,96
1478066163,96,75
1478070004,73,59
1478071924,52,54
1478075762,61,37
1478079603,47,52
1478083442,56,55
1478087283,46,53
1478091123,62,49
1478094963,48,53
1478098804,51,48
1478100722,64,58
1478104563,55,58
1478108403,69,49
1478112243,67,57
1478116082,49,66
1478119924,59,70
1478123762,54,65
1478129522,76,123
1478133603,71,53
1478137442,61,64
1478141523,58,69
1478145363,71,82
1478149204,83,98
1478151122,99,88
1478154973,67,65
1478158814,53,60
1478162643,58,59
1478166482,74,49
1478170324,50,65
1478172243,65,50
1478174163,95,112
1478178005,53,56
1478181842,56,49
1478183774,50,68
1478187615,72,49
1478191444,77,58
1478195282,65,43
1478199124,67,60
1478202963,63,58
1478207042,78,47
1478208962,50,77
1478212804,47,54
1478216642,50,68
1478220723,69,64
1478224563,58,55
1478228404,54,62
1478230323,81,85
1478234403,78,87
1478238244,99,86
1478242082,64,50
1478246163,52,70
1478250005,82,45
1478251923,59,52
1478255776,49,56
1478259616,57,58
1478263443,58,53
1478267282,63,67
1478271123,41,64
1478274963,70,54
1478278805,71,54
1478280723,66,69
1478284575,61,73
1478288414,58,53
1478292244,44,56
1478296082,45,53
1478299922,52,61
1478303762,34,51
1478307605,79,54
1478311686,57,61
1478313603,50,59
1478317456,84,91
1478321282,87,97
1478325123,82,71
1478328963,57,63
1478332805,52,43
1478334726,56,37
1478338804,53,39
1478342643,61,59
1478346483,64,66
1478352243,62,54
1478354163,54,61
1478358005,61,48
1478359922,58,65
1478365924,50,64
1478367843,58,46
1478371683,49,53
1478375537,52,55
1478379363,50,60
1478383205,46,63
1478385122,40,63
1478388963,45,69
1478392803,88,62
1478396643,67,57
1478400722,46,64
1478404563,83,85
1478408405,81,99
1478410322,83,79
1478414177,51,51
1478418003,51,37
1478421842,53,51
1478425683,59,41
1478429524,78,54
1478433363,62,76
1478437205,251,299
1478439122,347,275
1478442975,67,61
1478446803,70,58
1478448963,50,53
1478454723,55,42
1478458563,56,51
1478462404,48,72
1478464322,50,55
1478468163,37,64
1478472002,35,67
1478475842,43,64
1478479682,57,48
1478483523,56,50
1478487363,44,53
1478491205,79,95
1478493122,72,81
1478496962,69,74
1478500803,86,61
1478506563,55,42
1478508483,41,41
1478512563,57,50
1478516405,46,46
1478518322,53,50
1478522164,58,47
1478526002,48,53
1478529843,44,43
1478533934,56,55
1478537762,67,53
1478541605,63,53
1478543522,61,60
1478547363,63,71
1478551203,51,57
1478555043,44,55
1478558884,42,68
1478562735,42,72
1478566562,72,62
1478570404,59,65
1478572322,51,43
1478576162,77,88
1478580002,74,98
1478583842,67,72
1478587683,88,57
1478591537,60,45
1478595363,55,34
1478597283,43,46
1478601123,46,41
1478604964,43,49
1478608803,48,56
1478612642,61,43
1478616482,50,47
1478620336,38,54
1478624163,60,51
1478628005,70,57
1478629922,67,50
1478633764,53,60
1478637603,63,60
1478643362,40,63
1478647202,49,60
1478649136,41,83
1478652962,72,68
1478656805,60,49
1478658723,45,53
1478662803,74,88
1478666642,89,91
1478670482,74,79
1478674323,84,56
1478678163,48,54
1478682005,72,45
1478683923,48,50
1478688016,52,68
1478691842,50,49
1478695682,61,48
1478699523,40,61
1478703605,54,40
1478705523,57,41
1478709363,66,54
1478713444,67,56
1478717283,54,43
1478721124,64,71
1478724963,59,74
1478728803,53,62
1478730723,49,74
1478734564,46,71
1478738642,74,72
1478742483,63,64
1478746563,56,56
1478750404,82,82
1478754242,99,89
1478756163,63,74
1478760014,87,61
1478763842,49,52
1478767924,53,35
1478771762,58,47
1478773684,56,50
1478777526,56,65
1478783284,44,57
1478785204,62,46
1478789044,47,56
1478792886,58,48
1478796725,58,44
1478800566,61,50
1478804409,50,50
1478806322,59,51
1478810163,38,59
1478815924,45,57
1478819764,49,66
1478821682,46,54
1478825524,78,61
1478827447,63,63
1478829363,63,63
1478831284,63,63
1478833204,64,61
1478835124,89,90
1478839202,79,83
1478843043,61,75
1478846883,79,63
1478852642,49,48
1478856482,57,52
1478858405,58,41
1478860324,55,50
1478864164,54,44
1478868243,69,48
1478872082,55,64
1478875924,58,61
1478879777,55,50
1478883605,60,58
1478885522,74,47
1478891283,60,57
1478893206,45,78
1478897044,50,58
1478900884,56,58
1478904725,56,56
1478908805,45,55
1478910722,76,68
1478914563,62,54
1478918417,49,60
1478922242,71,104
1478926082,77,103
1478929924,74,85
1478933762,92,54
1478935684,376,349
1478937604,359,392
1478939525,53,46
1478943365,43,37
1478947219,49,40
1478951043,61,43
1478954884,55,58
1478958725,58,64
1478962565,64,60
1478966417,48,52
1478968322,67,56
1478972164,55,50
1478976014,59,54
1478979844,42,49
1478983683,42,43
1478987523,42,52
1478991605,45,70
1478993525,41,55
1478997366,73,63
