DateTime,Entries,UniqueIPs
1477665603,6924,6924
1477669442,6926,6926
1477673282,6934,6934
1477677123,6931,6931
1477680963,6924,6924
1477685042,6914,6914
1477686964,6894,6894
1477690803,6882,6882
1477694643,6872,6872
1477698482,6878,6878
1477702323,6854,6854
1477706163,6853,6853
1477710005,6846,6846
1477711923,6828,6828
1477715763,6824,6824
1477721523,6845,6845
1477723442,6845,6845
1477727282,6853,6853
1477731124,6878,6878
1477734963,6902,6902
1477738804,6907,6907
1477740722,6924,6924
1477744563,6932,6932
1477748403,6916,6916
1477752243,6913,6913
1477756324,6845,6845
1477758243,6923,6923
1477760163,6914,6914
1477764005,6916,6916
1477768807,6902,6902
1477770723,6902,6902
1477774563,6885,6885
1477778405,6875,6875
1477782243,6845,6845
1477784176,6850,6850
1477788004,6842,6842
1477791845,6846,6846
1477795685,6839,6839
1477799525,6829,6829
1477803364,6819,6819
1477807266,6830,6830
1477809373,6830,6830
1477813202,6849,6849
1477815126,6869,6869
1477820882,6884,6884
1477824724,6893,6893
1477830485,6903,6903
1477832405,6901,6901
1477834325,6899,6899
1477838175,6895,6895
1477842005,6892,6892
1477846082,6914,6914
1477848003,6892,6892
1477849923,6900,6900
1477853763,6903,6903
1477857603,6905,6905
1477859522,6896,6896
1477863363,6880,6880
1477867202,6860,6860
1477871042,6832,6832
1477877044,6829,6829
1477878963,6832,6832
1477880884,6844,6844
1477882805,6830,6830
1477884722,6831,6831
1477888563,6818,6818
1477892403,6832,6832
1477896242,6840,6840
1477900082,6841,6841
1477903924,6841,6841
1477907763,6857,6857
1477911605,6859,6859
1477913522,6863,6863
1477917363,6873,6873
1477919283,6885,6885
1477925282,6870,6870
1477929124,6872,6872
1477932963,6890,6890
1477936805,6899,6899
1477940643,6886,6886
1477942562,6879,6879
1477946643,6880,6880
1477950482,6871,6871
1477954324,6861,6861
1477958163,6842,6842
1477960083,6860,6860
1477963924,6878,6878
1477967775,6889,6889
1477971616,6893,6893
1477975442,6879,6879
1477979282,6904,6904
1477985043,6900,6900
1477986962,6893,6893
1477989123,1441,1441
1477991043,6913,6913
1477992962,6928,6928
1477996803,6931,6931
1478000645,6921,6921
1478004483,6940,6940
1478008323,6952,6952
1478012404,6952,6952
1478014322,6972,6972
1478018164,6967,6967
1478022003,6974,6974
1478025843,6987,6987
1478029682,6993,6993
1478033523,6992,6992
1478037363,6976,6976
1478041205,6946,6946
1478043123,6918,6918
1478046962,6940,6940
1478050803,6936,6936
1478054643,6931,6931
1478058482,6927,6927
1478062324,6907,6907
1478066163,6928,6928
1478070004,6942,6942
1478071924,6940,6940
1478075762,6964,6964
1478079603,6959,6959
1478083442,6960,6960
1478087283,6953,6953
1478091123,6966,6966
1478094963,6961,6961
1478098804,6964,6964
1478100722,6970,6970
1478104563,6967,6967
1478108403,6987,6987
1478112243,6997,6997
1478116082,6980,6980
1478119924,6969,6969
1478123762,6958,6958
1478129522,6911,6911
1478133603,6929,6929
1478137442,6926,6926
1478141523,6915,6915
1478145363,6904,6904
1478149204,6889,6889
1478151122,6900,6900
1478154973,6902,6902
1478158814,6895,6895
1478162643,6894,6894
