DateTime,AddedIPs,RemovedIPs
1476436808,15,0
1476437107,138,0
1476437408,15,0
1476437707,2,0
1476438007,143,21
1476438308,79,21
1476438608,49,0
1476438907,2,19
1476439207,36,0
1476439508,65,0
1476439807,18,0
1476444907,0,1
1476445207,76,0
1476446107,4,0
1476446407,0,1
1476460807,0,1
1476464708,0,2
1476522007,1,1
1476540008,1,0
1476547207,0,1
1476550507,0,1
1476552607,0,1
1476565207,1,0
1476566106,0,1
1476621307,15,0
1476621608,180,0
1476621908,3,0
1476622207,33,0
1476633607,1,0
1476640807,0,1
1476671407,0,1
1476672908,0,1
1476687307,0,1
1476691808,94,0
1476692107,244,0
1476692407,48,0
1476692708,18,0
1476693006,6,0
1476693307,7,0
1476693607,60,0
1476694807,9,0
1476703807,0,1
1476704107,0,1
1476704708,0,1
1476706507,0,1
1476709207,1,0
1476713407,0,1
1476716709,0,1
1476731412,0,1
1476732607,0,1
1476759607,1,0
1476783307,416,0
1476783608,16,0
1476783909,12,0
1476784207,1,0
1476784507,121,0
1476784808,3,0
1476785108,0,1
1476785407,12,0
1476786007,7,0
1476786309,1,1
1476791108,0,1
1476799208,1,0
1476801307,0,1
1476804307,77,0
1476815107,0,1
1476822007,0,1
1476838808,1,0
1476855007,0,1
1476860410,1,0
1476864607,382,0
1476864907,48,0
1476869108,0,1
1476871207,0,2
1476871507,0,2
1476885609,359,0
1476885908,46,0
1476888307,0,1
1476891607,48,0
1476893707,0,1
1476901807,0,1
1476928807,1,0
1476940207,0,1
1476946807,1,0
1476951008,171,0
1476951608,217,0
1476952507,4,0
1476952807,107,0
1476953107,51,0
1476953706,6,0
1476954007,39,0
1476954907,4,0
1476961806,7,0
1476962108,302,0
1476963607,10,0
1476968107,0,1
1477033207,1,0
1477038908,257,0
1477039207,1,1
1477041906,157,3
1477053908,0,1
1477054807,1,0
1477060807,0,1
1477061407,0,1
1477068908,0,1
1477080007,1,0
1477086308,0,2
1477121407,92,0
1477121707,5,0
1477122007,42,0
1477137607,1,0
1477138207,0,1
1477166107,0,1
1477166708,0,1
1477174207,76,0
1477174807,182,0
1477188007,1,0
1477193707,0,1
1477197907,0,1
1477198807,1,0
1477210807,244,0
