DateTime,Entries,UniqueIPs
1462337707,2296,2325
1462382707,2295,2324
1462386307,2296,2325
1462426507,2297,2326
1462426807,2298,2327
1462432207,2299,2328
1462437907,2300,2329
1462446906,2301,2330
1462449005,2302,2331
1462451706,2301,2330
1462457107,2302,2331
1462462206,2303,2332
1462481706,2302,2331
1462508706,2303,2332
1462539608,2304,2333
1462540507,2303,2332
1462547707,2304,2333
1462601407,2305,2334
1462609206,2307,2336
1462628106,2308,2337
1462630208,2309,2338
1462641906,2311,2340
1462656007,2312,2341
1462656608,2313,2342
1462686906,2314,2343
1462711807,2315,2344
1462728606,2314,2343
1462768507,2313,2342
1462769407,2314,2343
1462797307,2313,2342
1462805407,2314,2343
1462814106,2315,2344
1462826107,2316,2345
1462838710,2317,2346
1462857908,2318,2347
1462867508,2319,2348
1462869306,2318,2347
1462877707,2319,2348
1462890608,2318,2347
1462897207,2317,2346
1462899607,2318,2347
1462905908,2319,2348
1462935307,2318,2347
1462935607,2319,2348
1462943706,2318,2347
1462951506,2319,2348
1462971608,2320,2349
1462972207,2321,2350
1462972807,2320,2349
1462977606,2319,2348
1462994107,2320,2349
1462995907,2321,2350
1462997706,2322,2351
1463012708,2323,2352
1463013607,2324,2353
1463050505,2325,2354
1463054106,2325,2354
1463066107,2326,2355
1463069706,2325,2354
1463114707,2326,2355
1463130907,2327,2356
1463148307,2328,2357
1463152807,2329,2358
1463160306,2328,2357
1463175606,2329,2358
1463177707,2328,2357
1463185508,2329,2358
1463186106,2330,2359
1463241307,2329,2358
1463245507,2328,2357
1463316307,2329,2358
1463322907,2330,2359
1463338207,2332,2361
1463342707,2333,2362
1463355607,2334,2363
1463373607,2335,2364
1463374207,2336,2365
1463374507,2335,2364
1463409306,2336,2365
1463461507,2337,2366
1463474707,2338,2367
1463485806,2337,2366
1463493008,2338,2367
1463498407,2337,2366
1463499306,2338,2367
1463501407,2339,2368
1463523008,2340,2369
1463524807,2339,2368
1463526008,2341,2370
1463535008,2342,2371
1463555707,2342,2372
1463556307,2341,2371
1463573707,2342,2372
1463577608,2343,2373
1463580608,2343,2372
1463583007,2342,2371
1463583907,2341,2370
1463589908,2342,2371
1463602507,2343,2372
1463639407,2345,2374
1463651706,2344,2373
1463658608,2345,2374
1463660407,2346,2375
1463661607,2345,2374
1463664007,2344,2373
1463666407,2344,2374
1463672107,2345,2375
1463673909,2346,2376
1463674807,2345,2375
1463675408,2346,2376
1463679606,2345,2375
1463683807,2346,2376
1463686207,2345,2375
1463687707,2345,2375
1463710206,2345,2374
1463722809,2346,2375
1463726407,2347,2376
1463737807,2348,2377
1463745607,2349,2378
1463747108,2348,2377
1463749807,2349,2378
1463764207,2348,2377
1463768107,2347,2376
1463789707,2348,2377
1463838308,2347,2376
1463865007,2348,2377
1463865907,2349,2378
1463868307,2350,2379
1463870407,2351,2380
1463877607,2351,2381
1463926807,2352,2382
1463934907,2352,2381
1463941508,2352,2382
1463942708,2353,2383
1463967307,2354,2384
1463969107,2353,2383
1464003907,2354,2384
1464004807,2352,2382
1464005707,2353,2383
1464006007,2354,2384
1464009007,2355,2385
1464010208,2354,2384
1464020107,2355,2385
1464024007,2356,2386
1464024607,2357,2387
1464025808,2358,2388
1464066008,2359,2389
1464085509,2358,2388
1464088507,2359,2389
1464110107,2360,2390
1464117907,2361,2391
1464118807,2362,2392
1464120008,2363,2393
1464172807,2362,2392
1464195606,2363,2393
1464198007,2362,2392
1464207607,2363,2393
1464208206,2364,2394
1464209107,2365,2395
1464254107,2366,2396
1464258309,2367,2397
1464266407,2366,2396
1464273307,2367,2397
1464282608,2368,2398
1464291007,2369,2399
1464294007,2368,2398
1464297607,2369,2399
1464329707,2370,2400
1464336907,2371,2401
1464354907,2372,2402
1464356408,2371,2401
1464424207,2372,2402
1464469507,2373,2403
1464535208,2372,2402
1464537907,2373,2403
1464548107,2374,2404
1464612008,2373,2403
1464653706,2378,2409
1464663608,2379,2410
1464670507,2378,2409
1464670807,2379,2410
1464671108,2378,2409
1464675607,2379,2410
1464700507,2380,2411
1464701108,2379,2410
1464724507,2380,2411
1464725407,2379,2410
1464729007,2380,2411
1464740107,2381,2412
1464753607,2380,2411
1464759607,2381,2412
1464764107,2382,2413
1464819607,2383,2414
1464822308,2384,2415
1464857707,2385,2416
1464858007,2384,2415
1464861607,2385,2416
1464863708,2384,2415
1464878107,2385,2416
1464887706,2386,2417
1464892507,2385,2416
1464897912,2386,2417
1464902107,2387,2418
1464904807,2388,2419
1464912607,2389,2420
1464924907,2388,2419
1464928206,2389,2420
1464928507,2388,2419
1464940208,2387,2418
1464950107,2388,2419
1464950407,2389,2420
1464950708,2390,2421
1464961207,2391,2422
1464963608,2390,2421
1464968107,2391,2422
1464969307,2390,2421
1464978907,2389,2420
1464984307,2390,2421
1464987607,2389,2420
1464988807,2390,2421
1464996307,2391,2422
1465030807,2392,2423
1465063208,2391,2422
1465064407,2390,2421
1465121108,2392,2423
1465124407,2393,2424
1465126207,2394,2425
1465129207,2393,2424
1465134007,2392,2423
1465135208,2393,2424
1465137607,2394,2425
1465139107,2395,2426
1465147508,2396,2427
1465164007,2397,2428
1465176607,2398,2429
1465187107,2397,2428
1465190106,2398,2429
1465190707,2399,2430
1465205107,2400,2431
1465219808,2401,2432
1465221909,2400,2431
1465230308,2401,2432
1465245608,2402,2433
1465313407,2401,2432
1465322107,2402,2433
1465325707,2403,2434
1465333207,2404,2435
1465371306,2405,2436
1465386007,2404,2435
1465391407,2403,2434
1465401308,2404,2435
1465408807,2403,2434
1465411508,2404,2435
1465413307,2405,2436
1465414507,2404,2435
1465419007,2405,2436
1465425908,2406,2437
1465426807,2407,2438
1465439707,2408,2439
1465461307,2409,2440
1465461607,2410,2441
1465464906,2411,2442
1465477808,2410,2441
1465565708,2409,2440
1465597507,2408,2439
1465638007,2408,2438
1465728906,2407,2437
1465795507,2406,2436
1465914307,2405,2435
1465915206,2404,2434
1465915507,2403,2433
1465962907,2402,2432
1465977908,2401,2431
1466001007,2400,2430
1466198708,2399,2429
1466682607,2398,2428
1466682907,2397,2427
1466706007,2396,2426
1467040208,2395,2425
1467045007,2394,2424
1467137706,2393,2423
1467153007,2392,2422
1467296107,2391,2421
1467502806,2390,2420
1467535807,2389,2419
1467738907,2388,2418
1467788707,2387,2417
1467816007,2386,2416
1467930007,2385,2415
1467989108,2384,2414
1468061107,2388,2418
1468061408,2389,2419
1468363808,2388,2418
1468485308,2387,2417
1468519807,2386,2416
1468527607,2385,2415
1468527907,2384,2414
1468528207,2383,2413
1468529407,2382,2412
1468592107,2381,2411
1468606808,2380,2410
1468617907,2379,2409
1468775708,2378,2408
1468903508,2377,2407
1468937707,2376,2406
1468958107,2375,2405
1468971908,2374,2404
1469193307,2373,2403
1469223908,2372,2402
1469294107,2371,2401
1469558407,2370,2400
1469566808,2369,2399
1469629508,2368,2398
1469744408,2366,2396
1470174008,2365,2395
1470426007,2364,2394
1470668107,2363,2393
1470876308,2362,2392
1470908408,2361,2391
1470935707,2360,2390
1471348507,2359,2389
1471450508,2358,2388
1471466107,2357,2387
1471466407,2356,2386
1471647007,2355,2385
1471689908,2354,2384
1471701607,2353,2383
1472032508,2352,2382
1472198108,2351,2381
1472205907,2350,2380
1472563508,2349,2379
1472673308,2348,2378
1472942108,2347,2377
1473109207,2346,2376
1473311707,2345,2375
1473361509,2344,2374
1473420308,2343,2373
1473901207,2342,2372
1473972607,2341,2371
1474011008,2340,2370
1474301408,2339,2369
1474551909,2338,2368
1474625709,2337,2367
1474629908,2336,2366
1474633508,2335,2365
1474893307,2334,2364
1474965608,2333,2363
1475015408,2332,2362
1475058008,2331,2361
1475150108,2330,2360
1475566507,2329,2359
1475662807,2328,2358
1475718907,2327,2357
1475764807,2326,2356
1476118511,2325,2355
1476118808,2324,2354
1476220807,2323,2353
1476297007,2322,2352
1476297307,2321,2351
1476301207,2320,2350
1476465008,2319,2349
1476690008,2318,2348
1476732607,2317,2347
1477158308,2315,2345
1477330207,2314,2344
1477430408,2313,2343
1477545307,2314,2344
1477548908,2315,2345
1477549509,2316,2346
1477549808,2317,2347
1477551609,2318,2348
1477553107,2319,2349
1477553408,2320,2350
1477554007,2321,2351
1477554308,2322,2352
1477557908,2323,2353
1477561208,2324,2354
1477567807,2325,2355
1477572608,2326,2356
1477573207,2327,2357
1477579808,2328,2358
1477580412,2329,2359
1477581915,2330,2360
1477588207,2331,2361
1477591808,2332,2362
1477592408,2333,2363
1477639507,2335,2365
1477641607,2336,2366
1477642507,2338,2368
1477644308,2339,2369
1477645208,2340,2370
1477645808,2341,2371
1477647608,2342,2372
1477648208,2343,2373
