DateTime,AddedIPs,RemovedIPs
1473991808,0,1
1473994807,13,0
1473997208,0,1
1473998408,16,0
1474001107,0,1
1474002008,9,0
1474003510,0,1
1474005608,1,0
1474009208,9,0
1474012808,15,0
1474013108,0,1
1474016408,9,0
1474020008,5,0
1474023608,12,0
1474027208,30,0
1474027508,0,1
1474029308,0,1
1474029607,0,1
1474030809,31,0
1474033207,0,2
1474034408,39,0
1474034708,2,0
1474036808,0,1
1474038008,38,0
1474038309,16,0
1474039809,0,1
1474041608,38,0
1474041908,13,0
1474045207,21,0
1474048808,39,0
1474050607,0,2
1474052408,35,0
1474052708,11,0
1474056008,37,0
1474056307,12,0
1474057207,0,1
1474059607,39,0
1474059907,2,0
1474060507,0,1
1474063208,32,0
1474066808,26,0
1474070407,24,0
1474071907,0,1
1474073108,0,1
1474074008,33,0
1474077608,21,0
1474081208,19,0
1474082708,0,1
1474084808,15,0
1474086007,0,1
1474088407,19,0
1474092008,15,0
1474094707,0,1
1474095608,15,0
1474099208,20,0
1474099808,0,1
1474101307,0,1
1474102808,29,0
1474104008,0,1
1474106408,31,0
1474110007,29,0
1474110308,0,1
1474113007,0,2
1474113607,31,1
1474116008,0,1
1474117207,31,0
1474120808,36,0
1474121108,15,0
1474123208,0,1
1474124408,36,0
1474124708,13,1
1474127407,0,1
1474128008,36,0
1474128308,12,0
1474128907,0,1
1474130108,0,1
1474131007,0,1
1474131608,35,0
1474131908,13,0
1474133707,0,1
1474135208,33,0
1474135507,14,0
1474138808,31,2
1474139108,28,0
1474141807,0,1
1474142408,33,0
1474142708,20,0
1474146008,35,0
1474147808,0,1
1474149608,35,0
1474149907,8,1
1474152008,0,1
1474153208,35,0
1474155008,0,1
1474156808,25,0
1474160408,28,0
1474164008,26,0
1474166107,0,1
1474166407,0,1
1474167608,29,0
1474171209,25,0
1474172708,0,1
1474174807,21,0
1474176310,0,1
1474181108,0,1
1474182008,0,1
1474182907,10,0
1474188308,0,1
1474192507,0,1
1474198507,0,2
1474201208,0,1
1474206608,0,1
1474206908,0,1
1474208408,0,1
1474209608,0,1
1474215908,0,1
1474216808,0,1
1474229408,0,1
1474229708,0,1
1474230908,0,1
1474233908,0,1
1474237808,0,1
1474242308,0,1
1474242607,0,1
1474248907,0,1
1474255808,0,1
1474256108,0,1
1474261207,0,2
1474264808,0,1
1474274708,0,1
1474286408,0,2
1474293008,0,1
1474296007,0,1
1474299008,0,1
1474300208,0,1
1474301109,0,1
1474305907,0,1
1474306208,0,1
1474307707,0,1
1474308308,0,1
