DateTime,AddedIPs,RemovedIPs
1473698490,0,512
1473700288,0,1536
1473702102,0,512
1473703899,0,1024
1473704780,0,1280
1473721900,0,3840
1473722790,0,2304
1473724569,0,512
1473727303,0,1024
1473729496,0,1280
1473729977,0,768
1473731776,0,1280
1473734511,0,768
1473736312,0,1024
1473737172,0,512
1473740259,0,1792
1473741701,0,768
1473742568,0,1536
1473745314,0,512
1473747098,0,1024
1473747989,0,768
1473749770,0,1024
1473752504,0,512
1473754297,0,1024
1473756098,0,768
1473757908,0,512
1473759710,0,512
1473761953,0,768
1473763332,0,1536
1473764174,0,1280
1473766372,0,768
1473769180,0,2304
1473770504,0,256
1473771379,0,1024
1473772634,256,0
1473774089,0,512
1473775883,0,1536
1473777705,0,768
1473779483,0,256
1473781283,0,1024
1473783096,0,1792
1473784921,0,768
1473786689,0,1024
1473787607,0,512
1473790311,0,512
1473792096,0,256
1473793920,0,2560
1473795759,0,256
1473798210,0,512
1473798488,0,1280
1473801407,0,512
1473802907,0,256
1473804703,0,2304
1473806506,0,768
1473807376,0,512
1473809200,0,1024
1473812314,0,512
1473813707,0,512
1473814579,0,1536
1473816384,0,1024
1473819100,0,1024
1473820917,0,1536
1473822703,0,1792
1473824507,0,1280
1473826737,0,2816
1473828115,0,2304
1473830295,0,768
1473830797,0,512
1473831805,0,256
1473832691,0,2304
1473834379,0,512
1473837103,0,1792
1473838067,0,768
1473840090,0,1536
1473841898,0,512
1473844360,0,1280
1473846108,0,768
1473847909,0,1536
1473848427,768,0
1473849690,0,1024
1473851485,0,2048
1473853339,0,1792
1473855107,0,2304
1473856083,0,2304
1473857774,0,3584
1473858680,0,256
1473865884,256,0
1473867692,0,256
1473880601,0,256
1473916659,0,1280
1473925304,0,256
1473942390,0,1024
1473948703,0,256
1473949374,512,0
1473952661,256,0
1473963997,0,512
1473968498,256,512
1473975680,0,256
1473982056,0,512
1473986489,0,256
1473998173,0,256
1473999980,0,256
1474002696,0,512
1474028451,768,768
1474035084,256,0
1474044085,0,256
1474047710,256,0
1474056982,256,0
1474074704,256,0
1474080975,0,256
1474109781,0,1024
1474114969,768,0
1474115197,0,256
1474116083,256,0
1474117882,256,0
1474121489,256,0
1474130522,0,256
1474131376,0,256
1474137823,256,0
1474204632,1024,0
1474207886,256,0
1474211486,256,0
1474224976,0,1024
1474228576,0,256
1474229495,256,0
1474238492,0,256
1474240306,256,0
1474274506,256,0
1474291377,512,768
1474301518,0,256
1474313320,0,256
1474324914,256,0
1474366640,768,0
1474369877,256,0
1474377456,0,512
1474378886,256,0
1474391551,512,0
1474393294,256,0
1474418506,256,0
1474453008,0,512
1474454507,0,256
1474481518,256,0
1474492321,256,0
1474553964,0,512
1474570634,0,256
1474582317,0,256
1474584971,0,256
1474586312,256,0
1474587731,0,256
1474632775,0,256
1474644036,768,0
1474658174,0,256
1474662422,0,256
1474668688,256,0
1474693912,0,256
1474716019,512,0
