DateTime,AddedIPs,RemovedIPs
1476625684,1,1
1476629524,3,3
1476637204,1,2
1476641044,1,1
1476644884,1,1
1476648725,1,1
1476656403,2,2
1476660243,2,2
1476664084,1,0
1476667923,26,25
1476671770,1,1
1476679443,1,1
1476687124,1,1
1476695043,6,5
1476698885,1,1
1476702724,1,1
1476706563,1,1
1476710402,1,1
1476714244,1,1
1476744963,1,1
1476748804,2,3
1476752643,20,19
1476764403,1,1
1476768243,1,1
1476775934,2,2
1476779764,2,1
1476791283,1,1
1476795124,1,0
1476798963,1,1
1476802805,1,1
1476810485,1,1
1476822003,1,0
1476833533,1,1
1476837364,0,1
1476841205,14,13
1476852723,1,1
1476871923,1,1
1476879615,1,1
1476883444,1,1
1476891134,1,2
1476894963,1,1
1476910323,0,1
1476914164,1,1
1476918004,4,3
1476921845,2,2
1476925684,25,24
1476929524,0,1
1476933363,1,1
1476941044,2,1
1476956403,1,1
1476975605,2,2
1476983283,1,1
1476990962,1,1
1476995044,1,1
1476998943,2,2
1477002725,3,3
1477006574,2,2
1477014244,24,26
1477021924,1,2
1477025763,3,2
1477033442,1,1
1477041122,1,2
1477052644,1,1
1477056482,1,1
1477068003,1,1
1477072083,1,1
1477080005,1,1
1477083843,2,2
1477087684,1,1
1477091523,1,2
1477095363,1,1
1477099205,20,17
1477103044,1,1
1477106883,1,3
1477114562,1,1
1477126083,2,2
1477129924,1,1
1477133763,1,1
1477145284,2,2
1477149123,1,1
1477152963,1,0
1477156804,2,2
1477164482,0,1
1477172166,1,0
1477179843,1,1
1477183683,16,17
1477187524,1,1
1477191362,1,1
1477195209,1,0
1477199043,2,2
1477206723,3,3
1477210803,3,3
1477214644,1,1
1477226163,1,1
1477230003,2,2
1477241523,1,1
1477245364,1,1
1477249209,1,1
1477256884,2,2
1477264563,1,0
1477272244,34,35
1477276084,0,1
1477279923,2,1
1477283763,0,1
1477295283,1,1
1477299124,1,1
1477302965,0,1
1477306806,1,1
1477310643,1,0
1477314484,1,3
1477337523,2,3
1477345203,1,1
1477352883,1,2
1477356724,35,34
1477364404,1,1
1477375923,0,1
1477383843,1,0
1477387683,1,0
1477395374,2,3
1477403042,1,0
1477414563,1,0
1477418405,1,0
1477422242,1,0
1477426084,1,2
1477429924,1,0
1477433763,1,1
1477437606,3,2
1477445284,34,35
1477449124,1,1
1477452973,1,1
1477460643,3,3
1477476007,1,1
1477487523,1,1
1477499284,1,1
1477510803,3,3
1477518483,1,1
1477522324,1,1
1477530004,79,69
1477533843,13,16
1477537684,3,3
1477541523,1,1
1477545364,2,2
1477553044,4,3
1477556883,1,1
1477560724,2,2
1477568403,1,1
1477576083,3,3
1477579925,4,3
1477587604,1,1
1477591443,1,1
1477599123,1,1
1477602988,2,2
1477610644,1,1
1477614484,0,1
1477618323,27,25
1477622170,2,2
1477626003,2,3
1477633705,2,3
1477637524,1,1
1477645209,2,2
1477649285,1,1
1477657215,1,1
1477661044,3,3
1477664884,1,1
1477668722,0,1
1477672564,3,1
1477684083,2,1
1477691763,4,4
1477695605,2,2
1477699443,2,1
1477703284,21,26
1477707123,3,2
1477714804,1,1
1477718644,1,1
1477726324,1,1
1477730164,1,1
1477741684,1,1
1477745524,1,1
1477749364,1,2
1477753207,3,2
1477764724,7,5
1477768805,2,2
1477776483,2,2
1477784175,1,1
1477791844,21,24
1477795684,8,8
1477799524,4,3
1477803363,3,3
1477811044,4,5
1477815125,1,1
1477818963,2,2
1477822805,2,2
1477830483,3,3
1477834323,2,2
1477838174,5,6
1477845844,1,0
1477849683,2,1
1477857363,1,1
1477861206,1,1
1477865043,1,1
1477872724,24,24
1477876564,0,1
1477880403,2,1
1477884245,1,2
1477888084,3,3
1477895775,4,4
1477903442,1,1
1477907284,1,1
1477911124,1,2
1477914964,1,1
1477918805,1,1
1477934403,2,0
1477938243,2,2
1477945923,1,1
1477953605,1,1
1477961283,40,36
1477968963,2,1
1477972805,2,3
1477976645,1,1
1477980483,1,1
1477988163,2,2
1477992245,2,2
1477996083,1,1
1477999924,1,1
1478003765,1,1
1478022964,2,2
1478026805,1,1
1478030643,1,1
1478034484,2,2
1478038324,1,1
1478042163,1,1
1478046004,25,22
1478049844,2,2
1478053683,12,16
1478057524,6,6
1478061364,4,4
1478069045,2,1
1478072882,3,3
1478076724,2,2
1478080563,5,6
1478084407,1,1
1478088243,2,2
1478092085,1,0
1478099765,1,1
1478103602,3,2
1478107445,1,1
1478111283,1,1
1478115125,1,0
1478118962,3,3
1478130483,2,2
1478134325,29,28
1478138163,7,5
1478142007,1,1
1478145843,3,4
1478149684,2,2
1478157605,2,2
1478161445,3,4
1478165282,1,1
1478169125,3,3
1478176804,3,3
1478184484,3,3
1478188324,1,2
1478196005,1,1
1478200085,1,1
1478203924,1,2
1478207765,4,5
1478211605,8,8
1478215445,1,1
1478219283,18,18
1478223125,1,1
1478226975,34,31
1478234643,1,1
1478238725,1,1
1478246409,2,2
1478250243,1,1
1478254084,1,1
1478261764,3,3
1478269445,2,2
1478277123,2,2
1478284808,1,1
