DateTime,AddedIPs,RemovedIPs
1434947408,824,804
1435033809,617,587
1435120208,638,518
1435206609,612,592
1435293008,537,667
1435552207,815,755
1435638609,606,586
1435725009,669,749
1435811408,708,598
1435897808,589,689
1436157009,777,797
1436243409,604,494
1436329808,521,751
1436416209,674,504
1436502608,570,600
1436538492,409,399
1436761809,695,835
1436848209,551,531
1436934610,522,552
1437021010,554,554
1437107408,525,545
1437366608,827,707
1437453009,505,635
1437539409,543,573
1437625808,534,514
1437712209,535,535
1437971409,714,814
1438057810,574,484
1438144209,507,607
1438230610,510,540
1438317009,536,516
1438489809,804,704
1438576210,502,662
1438662610,587,567
1438749009,601,531
1438921810,747,707
1439181009,775,785
1439267410,538,548
1439353809,488,598
1439440210,513,453
1439526610,551,521
1439785810,744,764
1439872209,474,614
1439958610,568,458
1440045010,501,611
1440131410,539,499
1440390609,737,747
1440477009,543,433
1440563410,508,508
1440649810,504,614
1440736209,554,454
1440995409,750,760
1441081810,583,613
1441168210,649,489
1441254609,522,512
1441341010,553,523
1441686617,763,903
1441773011,546,456
1441859411,488,518
1441945816,521,521
1442032209,486,576
1442205010,594,584
1442291418,690,430
1442377810,473,583
1442550613,625,685
1442723410,644,594
1442809809,524,444
1442896211,486,626
1442982611,509,479
1443069009,463,473
1443155409,494,474
1443414609,726,666
1443501008,494,514
1443587408,522,492
1443673808,532,502
1443760208,542,502
1444019408,709,669
1444105807,475,525
1444192213,438,528
1444278608,495,475
1444365011,425,445
1444624208,638,688
1444710609,505,485
1444797012,442,452
1444883408,505,525
1444969808,448,428
1445056207,473,483
1445229008,593,573
1445315407,491,491
1445401808,515,495
1445488207,520,510
1445574608,425,425
1445747408,642,612
1445833808,462,442
1445920208,507,497
1446006608,485,485
1446093007,518,518
1446179408,506,546
1446265902,613,423
1446442208,758,648
1446528608,471,621
1446615015,552,552
1446701410,419,439
1446787808,498,508
1447047007,705,685
1447133412,429,429
1447219812,564,534
1447306212,559,509
1447392609,512,592
1447651810,716,716
1447738208,524,524
1447824610,471,441
1447911009,545,515
1447997409,539,519
1448256609,746,766
1448343009,543,563
1448515810,680,680
1448861409,818,838
1448947810,625,525
1449034209,615,545
1449120608,482,522
1449207008,535,465
1449379809,671,671
1449466211,515,525
1449552608,562,502
1449639008,530,520
1449725408,473,473
1449811808,541,521
1450071009,723,753
1450243810,705,685
1450330208,534,554
1450416608,501,481
1450675808,712,712
1450762210,467,467
1450848608,497,527
1450935009,498,538
1451280609,745,775
1451367009,481,441
1451453410,528,518
1451626208,711,661
1451885409,844,724
1451971808,580,530
1452058210,492,502
1452144608,516,536
1452231007,550,460
1452403809,763,663
1452490210,598,788
1452576608,555,545
1452749409,679,669
1452835808,541,551
1453008609,660,670
1453095009,525,535
1453181409,574,524
1453267809,556,546
1453354209,495,485
1453440611,541,581
1453699811,903,783
1453786213,685,835
1453872621,559,549
1453959022,557,537
1454045425,497,527
1454304632,799,759
1454391032,574,484
1454477417,551,541
1454563818,616,546
1454650227,526,536
1454909416,737,777
1454995814,553,543
1455082214,470,510
1455168616,562,562
1455255016,551,571
1455341412,534,534
1455514216,661,681
1455600636,566,566
1455687042,522,482
1455773426,546,566
1455859825,568,568
1456032613,697,717
1456119013,487,497
1456205413,482,462
1456291811,527,547
1456378210,559,549
1456464617,548,568
1456637407,662,702
1456723808,567,587
1456810211,605,525
1456896614,549,499
1456983009,536,546
1457069408,584,564
1457242210,652,702
1457328610,548,548
1457415012,558,498
1457501415,532,602
1457587813,465,485
1457674211,542,572
1457760611,495,485
1457929817,604,674
1458016212,523,473
1458102612,518,528
1458189014,548,528
1458275413,522,532
1458361816,486,456
1458534615,602,632
1458621016,551,541
1458707416,524,514
1458793813,471,501
1458880214,590,530
1459053013,601,671
1459139418,507,487
1459225814,545,585
1459312215,511,501
1459398623,433,453
1459485007,633,533
1459657809,702,682
1459744213,534,534
1459830608,559,529
1459917010,476,486
1460003409,532,522
1460089810,513,483
1460435412,752,832
1460521822,479,469
1460608211,512,522
1460694611,510,490
1460953812,697,697
1461040212,509,549
1463504073,1589,1719
1463545814,483,493
1463632218,477,477
1463718614,490,480
1463977812,653,663
1464064213,438,428
1464150614,531,501
1464237011,456,476
1464323431,431,431
1464669015,705,735
1464755412,486,466
1464841817,546,496
1464928213,415,425
1465187412,697,667
1465273816,482,472
1465360212,423,433
1465446618,451,471
1465533018,484,474
1465619413,442,422
1465705812,471,501
1465792224,406,416
1465878613,476,506
1465965012,546,436
1466051415,520,540
1466137813,417,457
1466397014,624,704
1466483415,470,450
1466569813,462,492
1466656219,494,454
1466742611,496,456
1466915431,618,618
1467001812,413,413
1467088213,463,463
1467174614,498,528
1467261013,500,470
1467347414,556,546
1467693013,772,772
1467779416,476,496
1467865816,482,562
1467952213,425,425
1468211415,643,643
1468297810,427,417
1468384214,462,472
1468470613,471,501
1468557013,453,463
1468816224,614,654
1468902616,483,463
1468989014,435,415
1469075427,467,487
1469161826,454,494
1469421016,607,647
1469507413,468,438
1469593816,414,404
1469680220,456,446
1469766609,377,297
1470112238,774,814
1470198609,468,468
1470285009,437,407
1470371410,483,463
1470630616,638,668
1470717013,479,479
1470803412,457,457
1470889817,497,487
1470976230,407,407
1471235414,589,639
1471321813,478,448
1471408210,453,443
1471494611,438,468
1471581013,472,532
1471840211,695,625
1471926616,507,497
1472013020,416,406
1472099413,467,477
1472185826,484,464
1472445009,617,607
1472531410,433,413
1472617812,503,533
1472704214,518,478
1472790613,528,488
1473136210,782,742
1473222610,469,449
