DateTime,AddedIPs,RemovedIPs
1478820268,34,52
1478821232,30,22
1478822200,38,44
1478822404,98,126
1478823165,51,47
1478824103,45,45
1478825084,32,39
1478825551,36,50
1478825769,25,38
1478826085,49,77
1478827230,183,238
1478827946,7,7
1478828192,20,54
1478829178,36,35
1478829377,23,0
1478829863,91,103
1478830099,36,30
1478831064,35,34
1478831783,7,5
1478832033,66,42
1478832974,28,20
1478833203,94,110
1478833711,3,2
1478833957,52,35
1478834929,46,35
1478835624,6,7
1478835860,31,37
1478836875,47,38
1478837545,87,68
1478837822,27,16
1478838787,32,31
1478839446,10,4
1478839725,20,16
1478840668,116,121
1478841664,58,44
1478842605,28,21
1478843558,51,50
1478844002,107,84
1478844537,40,51
1478845471,51,41
1478846463,35,36
1478847392,38,54
1478847602,141,95
1478848355,35,26
1478849339,78,59
1478850258,23,52
1478851280,154,136
1478852231,32,43
1478853179,58,38
1478854109,33,69
1478855067,130,181
1478856026,48,0
1478856509,5,17
1478857047,32,92
1478857956,44,14
1478858402,124,162
1478858939,54,73
1478859874,33,58
1478860845,69,39
1478861786,36,53
1478862002,114,120
1478862766,59,45
1478863700,30,29
1478864665,40,36
1478865683,55,58
1478866584,142,144
1478867823,51,29
1478868504,5,14
1478868746,25,44
1478869202,116,147
1478869743,53,50
1478870427,8,2
1478870656,21,35
1478871616,32,26
1478872347,10,7
1478872633,13,50
1478872802,160,104
1478873543,48,33
1478874260,20,1
1478874503,52,42
1478875450,38,38
1478876183,6,4
1478876486,161,154
1478877394,12,34
1478878099,12,6
1478878346,53,41
1478879355,46,26
1478880072,6,8
1478880274,130,160
1478881236,43,48
1478881935,10,19
1478882203,24,21
1478883148,26,40
1478883601,148,211
1478884149,32,31
1478885059,23,49
1478886033,40,52
1478887029,22,33
1478887201,112,113
1478887952,47,63
1478888924,29,39
1478889889,36,29
1478890878,158,213
1478891796,31,33
1478892778,32,43
1478893716,49,44
1478894402,86,144
1478894685,17,52
1478895635,56,57
1478896632,32,38
1478897572,43,85
1478898002,84,119
1478898557,48,34
1478899464,54,69
1478900432,44,47
1478901642,59,40
1478902636,111,147
1478903568,53,48
1478904503,44,38
1478905202,134,92
1478905477,28,46
1478906498,47,27
1478907428,42,48
1478908355,25,31
1478908802,75,113
1478909317,44,49
1478910284,31,64
1478910754,78,0
1478911224,46,38
1478912277,20,67
1478912402,67,103
1478913143,15,2
1478913388,37,66
1478914360,42,33
1478914578,24,25
1478915047,21,4
1478915340,21,45
1478916267,113,153
1478916974,11,9
1478917230,52,42
1478918204,32,51
1478918902,7,5
1478919160,43,26
1478919602,83,90
1478920109,45,65
1478920835,10,3
1478921066,18,60
1478922021,37,28
1478922758,18,5
1478922989,15,42
1478923202,65,95
1478923951,36,46
1478924657,15,9
1478924901,47,34
1478925852,25,30
1478926584,8,9
1478926908,38,68
1478928026,139,158
1478928503,13,4
1478929008,31,108
1478929985,44,61
1478930462,8,0
1478930927,114,100
1478931863,37,38
1478932338,23,25
1478932847,51,67
1478933786,34,50
1478934266,107,143
1478934763,73,132
1478935750,101,37
1478936195,15,19
1478936662,64,32
1478937687,172,117
1478938131,14,11
1478938822,93,105
1478939784,61,48
1478940028,14,15
1478940750,86,83
1478941202,78,96
1478941460,8,0
1478941731,45,54
1478941955,16,0
1478942658,27,30
1478943624,77,33
1478943874,9,6
1478944618,57,53
1478944802,102,117
1478945567,65,30
1478946033,10,7
1478946503,37,49
1478947490,33,32
1478947952,15,6
1478948488,192,161
1478949395,31,33
1478949859,16,4
1478950357,37,43
1478951341,60,54
1478951805,16,3
1478952538,154,150
1478953459,40,54
1478953703,15,3
1478954433,61,35
1478955432,57,37
1478955679,123,118
1478956360,52,43
1478957303,51,40
1478957543,14,8
1478958274,35,40
1478959302,176,234
1478959713,11,8
1478960428,65,37
1478961390,60,49
1478961640,22,16
1478962351,79,75
1478962802,361,134
1478963332,63,26
1478963556,12,3
1478964252,49,33
1478965218,81,48
1478965461,11,13
1478966510,262,153
1478967389,13,5
1478967621,81,48
1478968594,59,27
1478969313,13,7
1478969566,58,67
1478970002,127,154
1478970506,72,3
1478971227,22,8
1478971481,34,67
1478972417,51,3
1478973149,21,7
1478973383,33,26
1478973602,133,135
1478974353,51,46
1478975059,10,13
1478975325,51,45
1478976250,34,19
1478976993,11,10
1478977289,207,193
1478978187,8,0
1478978421,38,26
1478978897,11,15
1478979150,13,14
1478979384,21,25
1478980136,12,26
1478980337,31,18
1478980874,114,126
1478981065,14,0
1478981308,46,22
1478982020,24,16
1478982257,27,13
1478982746,21,16
1478983041,12,14
1478983212,42,36
1478983945,7,0
1478984181,18,33
1478984401,73,111
1478984664,13,16
1478984943,10,30
1478985144,40,22
1478985865,5,14
1478986099,31,20
1478986586,12,13
1478986819,12,0
1478987050,29,28
1478987785,4,16
1478988090,125,106
1478988794,32,27
1478989266,29,28
1478989723,6,7
1478990182,10,31
1478990659,25,21
1478991160,22,17
1478991705,105,145
1478992107,34,43
1478992582,11,9
1478992821,12,17
1478993060,15,21
1478993787,4,7
1478994035,29,16
1478994506,14,13
1478994751,11,9
1478994982,24,37
1478995203,86,69
1478995717,9,29
1478995958,29,24
1478996427,13,12
1478996648,6,0
1478996910,34,28
1478997626,12,28
1478997859,14,17
1478998384,14,12
1478998603,7,0
1478999016,281,236
1478999536,12,15
1479000014,25,30
1479000264,16,11
1479000505,6,24
1479000985,25,26
1479001451,10,28
1479001952,16,13
1479002187,17,12
1479002411,14,31
1479002665,104,113
1479002901,24,26
1479003397,8,25
1479003858,10,23
1479004126,17,10
1479004375,12,10
1479004857,17,22
1479005304,7,24
1479005786,8,41
1479006061,20,6
1479006270,86,108
1479006756,37,24
1479007225,12,7
1479007722,21,32
1479007936,18,11
1479008191,4,17
1479008657,30,8
1479009157,14,13
1479009669,97,110
1479009855,8,14
1479010145,6,30
1479010599,20,24
1479011058,11,14
1479011639,15,13
1479012063,25,22
1479012760,41,21
1479013028,15,22
1479013203,101,99
1479013696,41,35
1479013956,24,33
1479014652,13,20
1479014910,4,11
1479015641,38,24
1479015857,18,29
1479016584,26,41
1479016862,7,6
1479017547,126,81
1479017832,22,26
1479018517,28,28
1479019000,8,17
1479019456,9,10
1479019703,18,28
1479019956,14,9
1479020480,117,122
1479020920,19,11
1479021409,19,29
1479021627,20,16
1479021859,10,8
1479022354,28,19
1479022825,17,25
1479023314,32,40
1479023540,14,14
1479023831,8,11
1479024002,59,80
1479024272,15,36
1479024748,22,15
1479025234,22,18
1479025449,18,18
1479025735,14,5
1479026184,19,0
1479026662,6,11
1479027156,22,64
1479027374,16,14
1479027681,102,98
1479028121,39,0
1479028595,16,18
1479029062,20,45
1479029294,11,13
1479029563,29,34
1479030031,36,24
1479030527,10,8
1479030995,20,0
1479031271,20,8
1479031471,68,120
1479031961,30,31
1479032432,13,1
1479032903,35,40
1479033150,6,9
1479033387,10,16
1479033964,19,27
1479034385,12,6
1479034896,91,131
1479035355,22,16
1479036050,28,34
1479036535,9,13
1479037001,16,43
1479037228,13,14
1479037468,10,12
1479037956,18,33
1479038491,89,89
1479038935,35,0
1479039404,17,28
1479039910,22,52
1479040356,8,16
1479040831,42,0
1479041339,24,22
1479041792,25,15
1479042003,105,105
1479042267,9,10
1479042756,39,40
1479043257,26,30
1479043705,32,47
1479044194,3,10
1479044659,22,0
1479045158,25,35
1479045751,115,158
1479046146,16,38
1479046831,43,31
1479047065,17,14
1479047800,20,24
1479048024,9,11
1479048752,23,26
1479049026,24,21
1479049202,76,307
1479049713,35,3
1479049943,14,16
1479050670,28,37
1479050943,30,26
1479051620,31,34
1479051850,9,10
1479052596,11,0
1479052891,225,231
1479053551,30,45
1479054032,14,17
1479054504,28,34
1479054743,17,12
1479055020,4,3
1479055456,13,31
1479055955,12,0
1479056494,218,163
1479056920,26,28
1479057420,29,20
1479057896,6,9
1479058357,23,30
1479058838,30,23
1479059320,38,20
1479059814,4,6
1479060285,145,165
1479060752,26,23
1479061258,26,31
1479061716,8,0
1479062200,24,17
1479062666,24,30
1479063170,26,36
1479063718,135,197
1479064118,30,31
1479064596,20,9
1479064826,7,16
1479065070,13,24
1479065797,3,9
1479066036,28,20
1479066500,15,16
1479066746,11,23
1479066998,25,32
1479067202,98,116
1479067742,3,22
1479067952,20,25
1479068432,16,12
1479068652,8,8
1479068925,35,24
1479069621,11,13
1479069867,16,9
1479070359,17,13
1479070633,6,22
1479070890,123,105
1479071547,8,11
1479072046,35,41
1479072253,18,15
1479072498,3,18
1479072983,16,30
1479073464,8,6
1479074003,23,25
1479074209,14,17
1479074472,169,99
1479074919,17,36
1479075655,9,3
1479075875,24,19
1479076103,7,11
1479076586,1,13
1479076834,24,26
1479077546,9,6
1479077794,15,31
1479078073,94,132
1479078536,9,12
1479078746,32,20
1479079449,8,3
1479079711,30,27
1479079935,8,16
1479080416,11,7
1479080673,22,26
1479081398,7,13
1479081678,136,138
1479081857,12,16
1479082346,10,5
1479082601,25,32
1479083343,9,11
