DateTime,Entries,UniqueIPs
1478925852,200816,213026
1478926908,200829,213045
1478928026,200737,212954
1478929008,200742,212957
1478929985,200763,212981
1478930927,200729,212948
1478931863,200744,212964
1478932847,200753,212976
1478933786,200767,212991
1478934763,200744,212964
1478935750,200754,212976
1478936662,200763,212989
1478937687,200747,212972
1478938822,200763,212988
1478939784,200779,213005
1478940750,200799,213024
1478941460,200798,213023
1478941731,200780,213005
1478942658,200781,213008
1478943624,200793,213021
1478944618,200796,213030
1478945567,200780,213016
1478946503,200789,213030
1478947490,200805,213046
1478948488,200822,213072
1478949395,200803,213051
1478950357,200818,213065
1478951341,200834,213083
1478952538,200822,213069
1478953459,200843,213090
1478954433,200864,213115
1478955432,200879,213129
1478956360,200345,212597
1478957303,200371,212626
1478958274,200383,212640
1478959302,200414,212674
1478960428,200414,212670
1478961390,200425,212686
1478962351,200450,212711
1478963332,200459,212719
1478964252,200434,212691
1478965218,200468,212734
1478966510,200487,212750
1478967621,200467,212728
1478968594,200493,212756
1478969566,200508,212778
1478970506,200476,212748
1478971481,200485,212755
1478972417,200504,212775
1478973383,200511,212784
1478974353,200490,212764
1478975325,200501,212778
1478976250,200527,212804
1478977289,200541,212820
1478978187,200474,212753
1478978421,200475,212754
1478979150,200488,212767
1478979384,200486,212764
1478980136,200498,212776
1478980337,200501,212782
1478981065,200448,212726
1478981308,200446,212724
1478982020,200469,212748
1478982257,200471,212752
1478983041,200483,212764
1478983212,200489,212771
1478983945,200496,212779
1478984181,200501,212785
1478984943,200469,212751
1478985144,200473,212758
1478985865,200478,212763
1478986099,200483,212767
1478986819,200494,212779
1478987050,200496,212784
1478987785,200500,212788
1478988090,200495,212782
1478988794,200454,212741
1478989266,200451,212738
1478989723,200458,212745
1478990182,200458,212745
1478990659,200466,212753
1478991160,200469,212755
1478991705,200477,212763
1478992107,200479,212766
1478992821,200442,212729
1478993060,200441,212727
1478993787,200445,212731
1478994035,200443,212734
1478994751,200453,212745
1478994982,200455,212746
1478995717,200413,212698
1478995958,200414,212700
1478996648,200421,212707
1478996910,200422,212706
1478997626,200433,212718
1478997859,200428,212714
1478998603,200437,212723
1478999016,200452,212740
1478999536,200465,212753
1479000014,200461,212748
1479000505,200444,212725
1479000985,200444,212724
1479001451,200454,212734
1479001952,200444,212727
1479002411,200458,212741
1479002665,200461,212743
1479002901,200458,212741
1479003397,200422,212703
1479003858,200419,212701
1479004375,200431,212713
1479004857,200432,212713
1479005304,200439,212720
1479005786,200438,212721
1479006270,200444,212727
1479006756,200452,212733
1479007225,200464,212745
1479007722,200467,212747
1479008191,200433,212712
1479008657,200438,212718
1479009157,200453,212733
1479009669,200452,212730
1479010145,200458,212736
1479010599,200461,212737
1479011058,200446,212722
1479011639,200445,212719
1479012063,200457,212732
1479012760,200462,212738
1479013028,200477,212753
1479013696,200482,212765
1479013956,200498,212782
1479014652,200493,212775
1479014910,200463,212743
1479015641,200470,212754
1479015857,200479,212764
1479016584,200479,212765
1479016862,200485,212772
1479017547,200494,212781
1479017832,200468,212754
1479018517,200467,212754
1479019000,200475,212762
1479019456,200472,212757
1479019956,200486,212772
1479020480,200484,212770
1479020920,200502,212789
1479021409,200502,212790
1479021859,200479,212767
1479022354,200480,212766
1479022825,200497,212783
1479023314,200503,212789
1479023831,200511,212797
1479024272,200511,212798
1479024748,200533,212822
1479025234,200534,212825
1479025735,200523,212814
1479026184,200523,212816
1479026662,200529,212822
1479027156,200529,212821
1479027681,200538,212833
1479028121,200542,212837
1479028595,200559,212855
1479029062,200562,212857
1479029563,200552,212850
1479030031,200558,212855
1479030527,200567,212865
1479030995,200564,212863
1479031471,200570,212869
1479031961,200578,212878
1479032432,200590,212891
1479032903,200592,212892
1479033387,200573,212873
1479033964,200572,212872
1479034385,200583,212884
1479034896,200577,212886
1479035355,200593,212903
1479036050,200597,212907
1479036535,200570,212880
1479037001,200569,212879
1479037468,200581,212891
1479037956,200582,212892
1479038491,200596,212907
1479038935,200597,212907
1479039404,200602,212913
