DateTime,AddedIPs,RemovedIPs
1478964722,12,4
1478964799,3,1
1478965321,29,21
1478965921,3,0
1478966417,41,16
1478966600,1,11
1478967122,1,0
1478967363,0,85
1478967722,5,5
1478968322,78,0
1478968921,0,9
1478969522,0,9
1478969762,21,2
1478970122,6,9
1478970200,1,2
1478970721,4,0
1478971321,3,5
1478971922,6,5
1478972164,50,8
1478972522,3,0
1478973125,0,81
1478973363,6,5
1478973722,6,3
1478973799,1,3
1478974322,2,0
1478974429,1,1
1478974921,0,11
1478975521,8,2
1478975581,9,1
1478976014,50,0
1478976721,3,0
1478976962,1,3
1478977339,48,8
1478977921,3,0
1478978522,2,0
1478978882,0,49
1478979121,0,15
1478979181,0,1
1478979844,39,3
1478980562,9,4
1478980922,12,1
1478980941,0,1
1478981522,4,3
1478982122,5,0
1478982721,12,5
1478983321,7,4
1478983683,27,9
1478983922,1,0
1478984163,7,4
1478984644,3,81
1478985122,1,0
1478985721,2,0
1478986922,1,0
1478987523,39,0
1478987762,8,7
1478988200,2,24
1478988721,6,0
1478989321,7,2
1478989922,1,0
1478990522,5,2
1478991122,6,9
1478991605,52,5
1478991800,1,3
1478992324,0,100
1478992921,2,2
1478993525,48,10
1478994140,3,7
1478994721,2,0
1478994963,7,1
1478995340,5,20
1478995921,5,2
1478996163,0,52
1478996521,1,0
1478997121,2,12
1478997366,69,0
1478997722,2,25
1478998323,3,1
1478998922,8,3
1478999002,0,2
1478999521,12,4
1479000005,0,55
1479000122,2,6
1479000722,4,0
1479001207,55,0
1479001322,8,6
1479001922,4,1
1479002163,3,0
1479002521,1,4
1479003121,6,19
1479003721,1,5
1479004322,0,1
1479004381,6,9
1479005044,49,12
1479005522,14,0
1479005763,0,104
1479006142,11,4
1479006722,4,21
1479007922,0,4
1479008522,1,8
1479008885,81,0
1479009122,5,0
1479009363,3,2
1479009800,4,4
1479010322,4,14
1479010923,15,10
1479011522,3,1
1479012121,5,1
1479012725,95,7
1479013442,3,181
1479013922,3,0
1479014521,8,2
1479015122,1,14
1479015722,4,2
1479016322,2,2
1479016564,56,0
1479016921,11,8
1479017521,2,0
1479018122,19,7
1479018781,3,9
1479019321,1,2
