DateTime,Entries,UniqueIPs
1479080522,41098,48172
1479081122,41094,48168
1479081803,41078,48152
1479082323,41078,48152
1479082921,41075,48149
1479083522,41076,48150
1479084244,41070,48144
1479084721,41059,48132
1479085401,41058,48131
1479085922,41057,48130
1479086527,41058,48131
1479087121,41053,48126
1479087722,41055,48128
1479088084,41010,48082
1479088322,41004,48069
1479089001,41007,48072
1479089522,41006,48071
1479090122,41001,48065
1479090782,41002,48066
1479091322,41001,48065
1479091923,41018,48081
1479092541,41019,48082
1479093121,41007,48070
1479093722,41002,48063
1479094322,40986,48045
1479095522,40962,48020
1479095763,41030,48088
1479096203,41027,48085
1479096722,41024,48082
1479097685,40897,47955
1479097921,40894,47952
1479098522,40914,47971
1479099121,40911,47974
1479099605,40989,48052
1479099721,40990,48053
1479100322,40975,48036
1479100921,40966,48026
1479101525,41023,48083
1479102122,41017,48077
1479103343,41004,48065
1479104403,40854,47915
1479104521,40857,47918
1479105122,40843,47903
1479105364,40930,47990
1479105722,40930,47990
1479106321,40928,47988
1479107001,40925,47985
1479107522,40924,47984
1479108141,40916,47976
1479108782,40917,47977
1479109205,40950,48010
1479109321,40946,48006
1479110163,40846,47907
1479110522,40833,47894
1479111122,40827,47887
1479113044,40869,47929
1479113522,40870,47930
1479114122,40875,47935
1479114202,40873,47933
1479114721,40868,47928
1479115321,40869,47929
1479116521,40874,47934
1479116886,40891,47951
1479117121,40890,47951
1479117801,40881,47940
1479118322,40874,47932
1479118922,40876,47934
1479119522,40877,47935
1479119581,40876,47934
1479120121,40880,47938
1479120725,40902,47960
1479121342,40904,47962
1479121922,40904,47962
1479122645,40822,47880
1479123122,40821,47879
1479123722,40822,47880
1479124322,40803,47859
1479124565,40855,47911
1479125002,40851,47907
1479125521,40854,47909
1479126121,40847,47902
1479126484,40809,47864
1479126722,40808,47863
1479127321,40809,47865
1479127922,40811,47867
1479128405,40858,47914
1479128522,40859,47915
1479128543,40858,47914
1479129121,40860,47916
1479129722,40840,47895
1479130324,40800,47853
1479130923,40800,47853
1479131522,40804,47857
1479132246,40850,47904
1479132721,40829,47882
1479133321,40824,47877
1479133922,40827,47880
1479134165,40813,47866
1479134522,40817,47870
1479135122,40817,47870
1479135742,40805,47858
1479136086,40766,47819
1479136921,40767,47820
1479137522,40765,47818
1479137581,40769,47822
1479138003,40820,47873
1479138122,40823,47875
1479138721,40820,47870
1479139343,40817,47867
1479139921,40815,47865
1479140521,40812,47861
1479141721,40813,47862
1479142082,40845,47894
1479142322,40829,47878
1479143004,40823,47872
1479143521,40828,47877
1479144008,40764,47813
1479144121,40765,47814
1479144721,40764,47812
1479145321,40766,47814
1479145923,40828,47877
1479146522,40841,47890
1479146543,40836,47885
1479147122,40844,47893
1479148326,40787,47836
1479148922,40785,47833
1479149522,40781,47829
1479150244,40845,47893
1479150721,40842,47889
1479151922,40853,47900
1479152164,40883,47930
1479152522,40887,47934
1479153121,40943,47990
1479153745,40938,47985
1479154321,40940,47987
1479154923,40942,47989
1479155522,40940,47986
1479156008,40905,47951
1479156121,40893,47939
1479156721,40894,47940
1479157403,40889,47935
1479158166,40830,47875
1479158522,40825,47870
1479159121,40819,47864
1479159181,40821,47866
1479159722,40813,47852
1479160083,40859,47898
1479160322,40858,47897
1479160945,40853,47892
1479161522,40846,47885
1479162004,40797,47836
1479162122,40798,47837
1479162781,40804,47843
1479163322,40805,47844
1479163923,40844,47883
1479164521,40843,47882
1479165121,40848,47887
1479165722,40856,47895
1479166921,40842,47880
1479167522,40841,47879
1479167763,40812,47850
1479168204,40815,47853
1479168722,40810,47848
1479169322,40819,47857
1479169922,40818,47856
1479170521,40818,47856
1479171122,40819,47857
1479171612,40772,47809
1479171802,40756,47793
1479172322,40748,47784
1479172922,40746,47781
1479173521,40748,47783
1479174121,40723,47755
1479174721,40724,47756
1479175684,40791,47823
1479175922,40789,47821
1479176522,40802,47835
1479177121,40802,47835
1479177181,40801,47834
1479177603,40840,47873
1479177721,40838,47871
1479178322,40839,47872
1479178923,40843,47877
1479179004,40841,47875
1479179524,40713,47747
1479180123,40717,47751
1479180722,40722,47756
1479180781,40732,47766
1479181443,40801,47834
1479181922,40801,47834
1479182603,40804,47837
1479183363,40714,47747
1479183722,40711,47744
1479184322,40712,47745
1479184922,40715,47748
1479185283,40810,47843
1479186121,40796,47828
1479186204,40795,47827
1479187321,40768,47800
1479187921,40770,47802
1479187981,40781,47813
1479188521,40773,47805
1479189123,40791,47823
1479189362,40846,47878
1479189743,40842,47874
1479190322,40844,47876
1479190921,40844,47876
1479191283,40696,47728
1479191521,40702,47734
1479192122,40705,47737
1479192721,40707,47739
1479193205,40793,47825
1479193404,40791,47823
1479193921,40795,47827
1479194522,40793,47825
1479195124,40802,47835
1479195743,40783,47817
1479197003,40779,47813
1479197522,40780,47814
1479198122,40776,47810
1479198964,40769,47803
1479199321,40770,47804
1479199921,40771,47805
1479200522,40768,47802
1479200603,40767,47801
1479201122,40786,47820
1479201722,40783,47817
1479202321,40787,47821
1479202803,40823,47857
1479202921,40822,47856
1479203522,40825,47859
1479204143,40827,47861
1479204724,40764,47798
1479205321,40767,47801
1479205921,40763,47797
1479206643,40793,47827
1479207122,40796,47830
1479207722,40790,47824
1479208921,40800,47835
1479209522,40804,47839
1479210122,40804,47839
1479210482,40836,47871
1479211321,40835,47870
1479211403,40834,47869
1479211921,40835,47870
1479212414,40764,47799
1479212521,40761,47796
1479213121,40762,47797
1479213721,40758,47792
1479214323,40816,47850
1479214921,40818,47852
1479215521,40820,47855
1479216122,40827,47862
1479216721,40832,47867
1479217321,40834,47869
1479217921,40837,47872
1479218162,40868,47904
1479218603,40871,47907
1479219121,40877,47913
1479220084,40824,47858
1479220921,40824,47858
1479221522,40818,47852
1479222005,40867,47902
1479222121,40877,47912
1479222228,40875,47910
1479222722,40870,47905
1479223322,40865,47899
1479223923,40907,47941
1479224124,40908,47942
1479224522,40903,47937
1479225122,40908,47942
1479225843,40846,47880
1479226321,40851,47886
1479226922,40849,47884
1479227521,40850,47884
1479227764,40901,47935
1479228121,40887,47921
1479228721,40898,47932
1479229322,40902,47936
1479229403,40899,47933
1479229921,40901,47935
1479230522,40802,47835
1479231121,40803,47836
1479231603,40853,47886
1479231722,40856,47889
1479232322,40863,47896
1479233003,40847,47880
1479233764,40767,47800
1479234121,40768,47801
1479234721,40767,47800
1479234781,40770,47803
1479235322,40809,47843
1479235682,40868,47902
1479236162,40869,47903
1479236522,40859,47893
1479237122,40865,47899
1479237605,40824,47858
1479237722,40818,47852
1479238322,40822,47856
1479238922,40820,47854
1479239523,40862,47896
1479239762,40871,47905
1479240263,40877,47926
1479240722,40878,47927
1479241444,40827,47876
1479242522,40825,47874
1479243121,40826,47875
1479243363,40875,47924
1479243743,40866,47916
1479244321,40867,47917
1479244922,40881,47931
1479245283,40827,47877
1479245522,40825,47875
1479246122,40799,47849
1479246721,40812,47862
1479247205,40854,47904
1479247404,40844,47894
1479247922,40847,47897
1479248521,40848,47899
1479249122,40841,47892
1479249722,40840,47891
