DateTime,Entries,UniqueIPs
1478993403,73876,9569876
1478994003,73917,9569917
1478994506,73925,9569926
1478994620,73940,9569942
1478995204,73934,9569935
1478995804,73916,9569917
1478996427,73909,9569908
1478997004,73892,9569891
1478997389,73948,9569947
1478997603,73983,9569984
1478998384,73963,9569964
1478998503,73962,9569963
1478999105,73957,9569958
1478999703,73957,9569958
1479000264,73965,9569967
1479000303,73993,9569995
1479000978,74019,9570019
1479001504,74067,9570071
1479002187,74084,9570092
1479002703,74084,9570092
1479003303,74081,9570089
1479004126,74087,9570097
1479004203,74085,9570094
1479004804,74070,9570079
1479005420,74069,9570078
1479006061,74088,9570097
1479006602,74085,9570094
1479006904,74090,9570097
1479007504,74094,9570099
1479007936,74101,9570106
1479008102,74099,9570104
1479008703,74079,9570084
1479009855,74083,9570087
1479009902,74083,9570087
1479010502,74139,9570157
1479010804,74116,9570130
1479011403,74111,9570125
1479012029,74122,9570132
1479012620,74121,9570131
1479013202,74113,9570108
1479013954,74158,9570157
1479014403,74146,9570145
1479015002,74163,9570162
1479015629,74157,9570148
1479015855,74156,9570147
1479015902,74150,9570139
1479016503,74195,9570184
1479017102,74197,9570186
1479017783,74213,9570209
1479018005,74210,9570205
1479018904,74210,9570211
1479019703,74278,9570278
1479020403,74225,9570219
1479021304,74222,9570216
1479021627,74228,9570222
1479021905,74190,9570172
1479022506,74220,9570197
1479023103,74194,9570171
1479023540,74189,9570166
1479023703,74183,9570160
1479024308,74107,9570075
1479024903,74091,9570051
1479025449,74092,9570052
1479025802,74138,9570098
1479026402,74140,9570100
1479027020,74136,9570098
1479027374,74134,9570096
1479027902,74118,9570080
1479028203,74114,9570076
1479028802,74110,9570072
1479029294,74110,9570073
1479029403,74115,9570078
1479030002,74141,9570104
1479030246,74142,9570106
1479030620,74241,9570205
1479031271,74293,9570265
1479031806,74263,9570227
1479032403,74265,9570228
1479033150,74251,9570214
1479033602,74298,9570260
1479034220,74317,9570284
1479034504,74293,9570253
1479035321,74344,9570302
1479036005,74391,9570350
1479036604,74449,9570409
1479037228,74411,9570371
1479037509,74388,9570348
1479038105,74477,9570437
1479038407,74509,9570469
1479039402,74615,9570584
1479039607,74697,9570662
1479040207,74662,9570628
1479040802,74687,9570653
1479041053,74722,9570688
1479041306,74720,9570688
1479041420,74653,9570621
1479041705,74677,9570645
1479042306,74743,9570719
1479043232,74743,9570721
1479043806,74722,9570700
1479044404,74773,9570768
1479044893,74774,9570769
1479045156,74789,9570785
1479045304,74770,9570766
1479045606,74744,9570739
1479046203,74764,9570763
1479046802,74789,9570788
1479047055,74785,9570784
1479047105,74829,9570844
1479047705,74872,9570900
1479048305,74913,9570942
1479048978,74944,9570980
1479049503,74964,9571000
1479050104,75036,9571072
