DateTime,AddedIPs,RemovedIPs
1478468655,0,1083
1478473272,65,0
1478474128,1083,0
1478482265,4,5
1478505666,4,3
1478516903,40,0
1478551158,2,8
1478557458,27,8
1478560581,69,0
1478566848,0,1
1478567293,1,3
1478567775,0,1
1478568251,1,1
1478568744,0,1
1478569213,4,4
1478581932,0,1
1478587457,1,0
1478589136,1,0
1478590570,0,1
1478596570,0,1
1478597053,1,0
1478604250,60,0
1478610735,0,1
1478611216,22,0
1478612176,1,0
1478619370,8,1
1478619857,10,0
1478628022,11,0
1478628492,1,0
1478638572,6,5
1478647957,64,0
1478653931,1,2
1478654430,1,2
1478660901,0,1
1478661372,1,0
1478675052,29,1
1478675547,2,0
1478676497,1,0
1478679611,1,0
1478691619,47,0
1478707934,15,0
1478708423,33,0
1478708894,26,0
1478709375,30,0
1478709850,31,0
1478710335,9,0
1478716336,1,1
1478718252,1,0
1478724730,4,3
1478727133,1,0
1478733851,0,1
1478734331,1,0
1478735313,53,0
1478739655,1,1
1478740093,2,6
1478741059,6,3
1478750454,0,1
1478750892,1,0
1478758814,1,0
1478767941,6,0
1478771050,0,2
1478777052,0,1
1478777537,1,0
1478778993,45,0
1478779459,1,0
1478793855,40,1
1478794334,3,0
1478794831,0,1
1478795291,1,0
1478802498,31,0
1478802975,21,0
1478811144,4,5
1478820251,0,1
1478820733,1,0
1478822671,62,0
1478826731,0,1
1478827212,3,0
1478828650,4,6
1478839691,0,1
1478840176,1,0
1478847371,1,0
1478847855,0,1
1478862259,3,0
1478863690,0,1
1478866349,46,0
1478871861,1,0
1478873292,1,0
1478886013,6,0
1478886500,18,0
1478886970,8,0
1478897534,5,0
1478909291,1,1
1478910020,45,0
1478918650,0,1
1478919136,1,0
1478953707,60,0
1478954416,0,1
1478954899,1,0
1478971691,0,1
1478983931,0,4
1478997389,57,0
1478999299,0,2
1479000256,4,5
1479001216,1,0
1479003853,0,1
1479004333,1,0
1479023296,0,1
1479023774,1,0
1479034846,28,0
1479035298,15,0
1479041053,41,0
1479070334,2,1
1479084849,60,0
1479086658,1,0
1479087614,6,4
1479092467,0,1
1479093378,0,1
1479093856,1,0
1479102015,0,1
1479102495,1,1
1479102974,1,0
1479107777,0,1
1479108254,1,0
1479114252,1,0
1479115932,1,0
1479117854,1,0
1479122177,0,1
1479122654,1,0
1479123136,1,0
1479126975,1,0
1479128484,50,0
1479147377,0,1
1479156732,3,3
1479171856,0,1
1479172128,74,0
1479172331,3,0
1479176172,0,1
1479176659,1,0
1479181456,0,1
1479181935,1,0
1479188893,0,1
1479189373,1,0
1479190819,0,1
1479191293,1,0
1479199941,1,0
1479207853,1,0
1479209290,0,1
1479209774,1,0
1479216039,56,0
1479216971,1,0
1479219614,1,0
1479222072,0,3
1479222493,3,0
1479243373,0,3
1479246730,1,1
1479247931,1,0
1479248890,0,1
1479249064,1,0
1479251299,1,0
1479258254,2,1
1479259214,4,7
1479259706,57,0
1479274576,0,1
1479275053,1,0
1479276501,0,1
1479286572,1,1
1479287054,1,0
1479299292,1,0
1479303132,1,0
1479303386,42,0
1479313933,1,0
1479315373,0,1
1479324733,4,0
1479329532,4,2
1479332650,1,0
1479333135,0,1
1479335467,1,0
1479336738,0,1
1479337252,0,1
1479344895,1,6
1479345375,0,4
1479345854,0,3
1479346334,3,8
1479346811,2,3
1479347057,56,0
1479347294,0,13
1479347773,2,10
1479348260,0,7
1479348732,0,8
1479349215,0,5
1479349694,0,1
1479350174,1,9
1479350651,1,10
1479351135,1,15
1479351647,2,22
1479352096,1,15
1479352574,1,7
1479353053,0,3
1479353533,0,2
1479354016,0,1
1479354490,1,3
1479354970,0,12
1479355455,0,5
1479355937,1,2
1479356412,2,3
1479356894,0,1
1479357372,1,14
1479357859,0,4
1479358331,1,11
1479358826,0,12
1479359297,1,7
1479359773,1,7
1479360251,0,13
1479360732,1,9
1479361213,0,9
1479361695,0,20
1479362170,0,8
1479362651,0,3
1479363134,0,8
1479363617,2,5
1479364092,1,7
1479364574,2,10
1479365052,0,9
1479365535,0,7
1479366038,1,5
1479366498,0,3
1479366976,3,7
1479367453,0,9
1479367939,0,3
1479368416,1,9
1479368894,1,13
1479369372,1,7
1479369871,1,3
1479370333,1,9
1479370816,0,5
1479371294,0,1
1479371774,1,5
1479372253,0,5
1479372736,0,3
1479373695,1,5
1479374180,0,1
1479374661,0,2
1479375133,2,4
1479375615,0,3
1479376096,0,3
1479376573,0,2
1479377054,1,2
1479377536,0,5
1479378016,0,4
1479378496,1,3
1479378972,1,8
1479379455,2,1
1479379937,0,2
1479380894,1,2
1479381615,0,7
1479382092,0,5
1479382571,0,1
1479383053,1,2
1479383536,0,4
1479384505,0,4
1479385243,1,11
1479385696,0,1
1479386173,0,2
1479386653,0,4
1479387134,0,1
1479387856,2,1
1479388330,0,5
1479388812,0,7
1479389290,0,1
1479389465,1,0
1479389778,0,1
1479390747,40,0
1479393132,1,0
1479397212,1,0
1479398653,0,2
1479399147,1,1
1479400092,0,1
1479401052,1,0
1479401535,0,1
1479403932,2,0
1479407531,0,1
1479408012,1,0
1479416170,3,1
1479421453,1,0
1479431054,0,1
1479431534,1,2
1479432015,0,3
1479432491,1,0
1479433453,0,1
1479434475,42,4
1479434894,1,1
1479436814,1,2
1479437773,0,1
1479438250,0,1
1479438733,0,4
1479439211,0,1
1479439714,1,0
1479440653,0,1
1479441134,0,1
1479441647,1,2
1479442095,1,5
1479442586,1,2
1479443051,1,0
1479443535,0,1
1479444971,0,1
1479446418,0,2
