DateTime,Entries,UniqueIPs
1478468332,10493,10564
1478468655,9418,9481
1478473272,9483,9546
1478474128,10558,10629
1478482265,10557,10628
1478505666,10558,10629
1478516903,10598,10669
1478551158,10593,10663
1478557458,10612,10682
1478560581,10680,10751
1478566848,10679,10750
1478567293,10677,10748
1478567775,10676,10747
1478568251,10676,10747
1478568744,10675,10746
1478569213,10675,10746
1478581932,10674,10745
1478587457,10675,10746
1478589136,10676,10747
1478590570,10675,10746
1478596570,10674,10745
1478597053,10675,10746
1478604250,10733,10806
1478610735,10732,10805
1478611216,10754,10827
1478612176,10755,10828
1478619370,10761,10835
1478619857,10771,10845
1478628022,10782,10856
1478628492,10783,10857
1478638572,10783,10858
1478647957,10847,10922
1478653931,10846,10921
1478654430,10845,10920
1478660901,10844,10919
1478661372,10845,10920
1478675052,10872,10948
1478675547,10874,10950
1478676497,10875,10951
1478679611,10876,10952
1478691619,10923,10999
1478707934,10938,11014
1478708423,10971,11047
1478708894,10997,11073
1478709375,11027,11103
1478709850,11058,11134
1478710335,11067,11143
1478716336,11067,11143
1478718252,11068,11144
1478724730,11069,11145
1478727133,11070,11146
1478733851,11069,11145
1478734331,11070,11146
1478735313,11123,11199
1478739655,11123,11199
1478740093,11119,11195
1478741059,11122,11198
1478750454,11122,11197
1478750892,11122,11198
1478758814,11123,11199
1478767941,11129,11205
1478771050,11127,11203
1478777052,11126,11202
1478777537,11127,11203
1478778993,11172,11248
1478779459,11173,11249
1478793855,11210,11288
1478794334,11213,11291
1478794831,11212,11290
1478795291,11213,11291
1478802498,11244,11322
1478802975,11265,11343
1478811144,11264,11342
1478820251,11263,11341
1478820733,11264,11342
1478822671,11326,11404
1478826731,11325,11403
1478827212,11328,11406
1478828650,11326,11404
1478839691,11325,11403
1478840176,11326,11404
1478847371,11327,11405
1478847855,11326,11404
1478862259,11329,11407
1478863690,11328,11406
1478866349,11372,11452
1478871861,11373,11453
1478873292,11374,11454
1478886013,11380,11460
1478886500,11398,11478
1478886970,11406,11486
1478897534,11411,11491
1478909291,11411,11491
1478910020,11456,11536
1478918650,11455,11535
1478919136,11456,11536
1478953707,11516,11596
1478954416,11515,11595
1478954899,11516,11596
1478971691,11515,11595
1478983931,11511,11591
1478997389,11568,11648
1478999299,11566,11646
1479000256,11565,11645
1479001216,11566,11646
1479003853,11565,11645
1479004333,11566,11646
1479023296,11565,11645
1479023774,11566,11646
1479034846,11594,11674
1479035298,11608,11689
1479041053,11649,11730
1479070334,11650,11731
1479084849,11710,11791
