DateTime,AddedIPs,RemovedIPs
1457905692,3,5
1457992819,2,4
1458079939,9,1
1458167096,2,2
1458254209,12,8
1458341300,6,4
1458428433,7,3
1458515822,3,3
1458602925,4,5
1458690022,5,6
1458777160,10,7
1458864252,10,5
1458951396,20,13
1459038537,12,6
1459125622,7,12
1459212770,6,3
1459300117,20,4
1459387253,23,2
1459474421,16,12
1459561473,11,7
1459648591,7,4
1459735722,6,5
1459823068,7,4
1459910196,4,17
1459997303,4,4
1460084443,12,6
1460171560,2,4
1460258699,7,7
1460345839,10,10
1460432919,13,1
1460520090,8,6
1460607172,5,5
1460694259,4,3
1460781415,3,4
1460868595,4,6
1460955653,4,6
1461042654,6,4
1461129846,6,1
1461216974,5,9
1461304114,6,15
1461391234,3,6
1461478388,6,5
1461565455,7,3
1461652601,3,7
1461739712,4,2
1461826837,5,12
1461913941,13,2
1462001065,11,8
1462088195,14,12
1462175327,4,2
1462262430,2,3
1462349585,6,6
1462436657,13,5
1462523808,7,7
1462610904,2,0
1462698061,5,12
1462785171,9,6
1462872483,12,2
1462959629,16,7
1463046743,1,2
1463134158,35,6
1463221253,17,5
1463308359,7,8
1463395455,5,5
1463482586,7,8
1463569727,13,2
1463656845,9,11
1463743961,39,11
1463831055,22,9
1463918186,4,3
1464005306,1,7
1464092449,3,6
1464179576,4,2
1464353823,12,11
1464440909,18,4
1464528011,8,14
1464615153,6,6
1464702268,3,9
1464789384,5,4
1464876505,4,6
1464963878,3,8
1465050986,4,3
1465138113,4,4
1465225235,4,5
1465312396,2,4
1465399397,6,3
1465486531,5,3
1465573730,7,8
1465660826,6,4
1465748041,7,9
1465835063,9,3
1465922195,4,4
1466009325,6,5
1466096458,3,3
1466183796,6,6
1466270913,5,5
1466357994,9,6
1466532257,12,7
1466619385,14,6
1466706494,7,3
1466793615,7,1
1466967867,7,5
1467054984,1,3
1467142099,32,5
1467229220,22,1
1467316417,3,1
1467403468,4,1
1467490591,4,6
1467577779,6,1
1467664912,2,3
1467751960,3,1
1467838985,73,4
1467926189,42,4
1468013296,36,3
1468100436,5,4
1468187544,1,4
1468274660,2,4
1468361815,7,7
1468448911,3,9
1468536022,8,4
1468623146,9,6
1468710262,2,2
1468797381,41,7
1468884515,2,1
1468971628,11,11
1469058756,14,3
1469145857,3,2
1469232983,15,8
1469320107,2,3
1469407233,5,4
1469494361,7,2
1469581463,5,3
1469668585,18,7
1469755725,4,4
1469842821,14,5
1469929962,2,4
1470017057,0,2
1470104202,5,4
1470191299,4,3
1470278422,3,9
1470365556,0,1
1470452661,28,13
1470539846,3,8
1470626907,1,5
1470714015,11,6
1470801164,15,3
1470888258,23,4
1470975415,5,8
1471062508,31,6
1471149636,2,3
1471236765,2,1
1471323871,22,11
1471410985,3,5
1471498098,16,1
1471585225,7,3
1471672333,0,91
1471759473,4,1346
1471846605,2,6
1471933738,9,4
1472020861,11,10
1472107945,48,1
1472195324,35,11
1472282420,59,47
1472369550,3,13
1472456653,0,1
1472543791,2,12
1472630898,45,15
1472718022,102,8
1472805145,52,0
1472892249,59,69
1472979384,6,6
1473066550,3,5
1473153636,7,7
1473240743,36,18
1473327867,41,1
1473414990,4,7
1473502122,39,37
1473589230,35,2
1473676349,3,4
1473763460,4,4
1473850589,37,4
1473937750,35,8
1474024817,27,5
1474111947,26,45
1474199056,28,3
1474286182,13,4
1474373318,5,0
1474460460,3,4
1474547566,4,5
1474634662,1,9
1474721799,2,1
1474808904,7,69
1474896030,24,17
1474983141,10,12
1475070271,15,16
1475157377,51,8
1475244504,68,4
1475331638,1,6
1475418760,3,3
1475505863,2,5
1475592990,3,9
1475680107,34,15
1475767224,4,9
1475854345,2,9
1475941478,2,9
1476028594,1,13
1476115702,1,9
1476202829,21,32
1476289945,3,30
1476377061,1,27
1476464189,1,36
1476551306,5,28
1476638423,3,36
1476725555,4,11
1476812656,3,2
1476899658,3,9
1476986670,1,8
1477073790,4,3
1477160909,4,31
1477248012,5,6
1477335140,2,5
1477422267,2,2
1477509481,8,7
1477596761,6,5
1477683864,4,6
1477770983,1,5
1477858112,39,5
1477945234,9,9
1478032350,32,2
1478119696,21,6
1478206779,27,2
1478293974,3,5
1478380999,34,5
1478468199,1,1
1478555311,3,9
1478642719,21,5
1478729799,3,8
1478816906,30,5
1478904035,6,5
1478991164,1,3
1479078274,4,7
1479165647,2,1
1479252756,2,7
1479339847,2,15
1479427001,2,6
