DateTime,AddedIPs,RemovedIPs
1478463403,29,24
1478465321,42,26
1478467465,33,36
1478469376,34,33
1478471301,26,29
1478473269,42,31
1478475158,54,60
1478479006,36,34
1478480922,684,0
1478482827,16,21
1478484752,36,43
1478486662,30,31
1478488579,25,20
1478490503,18,17
1478492667,33,29
1478494597,20,24
1478496506,67,41
1478498462,11,20
1478500349,33,41
1478502269,24,24
1478504189,46,23
1478506104,48,45
1478508035,31,21
1478511845,79,68
1478513785,25,28
1478515721,21,28
1478517637,29,35
1478519568,25,36
1478521455,20,1639
1478523383,30,31
1478525311,730,0
1478527270,66,54
1478529144,38,20
1478531064,51,34
1478533236,67,52
1478535153,22,18
1478537059,32,16
1478538977,79,39
1478540896,38,28
1478542840,28,21
1478544760,28,35
1478546659,30,17
1478548583,49,31
1478550500,38,21
1478552477,63,42
1478554358,53,24
1478556256,63,47
1478558198,25,30
1478560123,52,47
1478562041,29,21
1478563959,32,41
1478565856,41,36
1478567793,645,0
1478569716,24,34
1478571877,39,28
1478573787,20,16
1478575706,29,30
1478577670,29,13
1478579557,31,24
1478581473,33,16
1478583650,54,54
1478585546,34,23
1478587464,23,25
1478589381,25,26
1478591298,44,29
1478593232,87,25
1478595162,30,30
1478597057,24,26
1478598993,39,33
1478600906,36,31
1478602876,32,29
1478604743,67,54
1478606663,41,1642
1478610510,811,0
1478614337,133,67
1478616247,70,31
1478618187,81,31
1478620105,68,21
1478622016,51,28
1478623948,102,48
1478625853,33,17
1478627773,75,27
1478629712,53,32
1478631677,73,42
1478633545,53,29
1478635722,86,55
1478637623,53,27
1478639555,54,44
1478641453,28,31
1478643387,66,43
1478645312,23,10
1478647257,57,46
1478649168,42,23
1478651051,30,32
1478652988,31,26
1478654901,715,0
1478656882,27,24
1478658750,52,31
1478660920,29,28
1478662821,57,47
1478664785,38,34
1478666659,30,21
1478668584,35,37
1478670507,47,30
1478672424,23,24
1478674343,24,27
1478676252,29,30
1478678187,32,32
1478680113,54,29
1478682089,30,32
1478683951,20,25
1478686145,78,75
1478688035,33,14
1478689975,28,32
1478691857,54,34
1478693786,46,1797
1478695711,54,61
1478697620,841,0
1478699543,54,30
1478701453,50,37
1478703681,47,31
1478705562,38,24
1478707482,49,36
1478709387,76,59
1478713480,83,72
1478715435,81,45
1478717315,24,14
1478719241,43,34
1478721164,31,26
1478723075,27,39
1478724981,40,40
1478726910,27,27
1478728886,28,37
1478730750,34,36
1478732668,40,65
1478734595,25,41
1478736766,25,44
1478738660,31,49
1478740593,761,0
1478742526,30,33
1478744430,59,31
1478746608,22,20
1478748515,41,32
1478750465,18,23
1478752349,26,32
1478754269,31,34
1478756208,53,62
1478758113,22,24
1478760035,22,25
1478761949,24,25
1478763849,33,47
1478766051,26,24
1478767959,28,41
1478769864,21,32
1478771782,20,24
1478773703,34,38
1478775706,24,38
1478777562,42,32
1478779480,55,2274
1478783305,867,0
1478785231,46,37
1478787169,27,32
1478789220,42,42
1478791228,31,29
1478793153,30,35
1478795049,21,35
1478796972,27,39
1478798894,36,34
1478800864,37,54
1478802740,28,25
1478804653,41,27
1478806587,36,33
1478808500,29,32
1478810419,82,30
1478812337,46,51
1478814488,33,42
1478816429,31,42
1478818356,27,36
1478820257,23,33
1478822196,17,50
1478824098,33,43
1478826073,44,39
1478827947,806,0
1478829864,19,40
1478831784,25,34
1478833712,36,46
1478835625,22,42
1478837546,23,36
1478839447,13,36
1478841638,13,31
1478843554,9,40
1478845460,25,32
1478847389,18,33
1478849313,20,23
1478851270,13,29
1478853147,46,58
1478856992,32,31
1478858911,45,71
1478860841,17,36
1478862753,19,38
1478864661,16,56
1478866581,29,1665
1478868505,21,28
1478870428,688,0
1478872348,35,30
1478874261,78,22
1478876184,22,24
1478878100,25,35
1478880072,29,24
1478881936,35,34
1478884119,44,34
1478886021,16,22
1478887948,51,49
1478889860,23,24
1478891785,42,28
1478893712,31,35
1478895631,18,33
1478897562,23,25
1478899460,25,26
1478901636,13,25
1478903537,21,21
1478905461,29,39
1478907407,17,40
1478909305,32,51
1478911220,22,37
1478913145,643,0
1478915048,14,23
1478916975,24,15
1478918902,26,30
1478920835,64,34
1478922759,7,15
1478924658,13,28
1478926585,20,21
1478928504,24,27
1478930463,26,38
1478932338,11,19
1478934267,19,22
1478936196,30,26
1478938132,33,62
1478941956,46,50
1478943875,10,20
1478946034,16,25
1478947953,23,28
1478949860,23,37
1478951806,24,28
1478953704,27,1382
1478955680,19,19
1478957544,559,0
1478959714,29,20
1478961641,35,31
1478963557,25,15
1478965462,21,27
1478967390,25,23
1478969314,31,15
1478971228,62,17
1478973149,30,20
1478975060,40,30
1478976994,21,12
1478978898,26,22
1478980875,31,21
1478982747,20,14
1478984665,30,24
1478986587,49,58
1478988784,35,24
1478990657,22,23
1478992583,44,20
1478994507,21,19
1478996428,20,30
1478998385,33,22
1479000265,498,0
1479002188,26,24
1479004127,22,12
1479006062,22,27
1479007936,21,10
1479009856,46,43
1479012030,29,18
1479013955,18,15
1479015856,19,18
1479017784,22,23
1479019704,20,17
1479021628,13,17
1479023541,19,17
1479025450,29,27
1479027374,17,15
1479029295,16,26
1479031271,26,32
1479033151,58,19
1479035322,36,39
1479037229,27,14
1479039403,21,1197
1479041307,23,24
1479043233,537,0
1479045157,27,18
1479047056,30,30
1479048979,25,16
1479050902,15,14
1479052883,39,24
1479054744,39,12
1479056919,54,36
1479058829,36,25
1479060749,38,16
1479062657,31,20
1479064597,26,28
1479066501,24,25
1479068433,23,17
1479070360,40,30
1479072253,17,16
1479074210,39,23
1479076104,15,14
1479078074,24,24
1479079936,14,21
1479081858,55,31
1479084053,45,41
1479086207,461,0
1479088104,10,12
1479090033,22,29
1479091950,28,8
1479093863,27,20
1479095783,14,17
1479097705,28,15
1479099663,15,16
1479101549,19,22
1479103468,21,20
1479105385,24,22
1479107308,18,28
1479109235,27,23
1479111157,22,16
1479113061,25,25
1479115003,37,28
1479116916,24,14
1479118832,20,14
1479120792,19,27
1479122660,9,22
