DateTime,AddedIPs,RemovedIPs
1447159908,1647,1621
1447533737,1876,1900
1447894948,1992,1901
1448102552,1293,1270
1448734508,1593,1516
1449062047,1793,1792
1449147814,1086,1175
1449177702,1216,1129
1449261458,1093,1111
1449364991,1274,1331
1449589393,1773,1681
1449723174,1282,1407
1449843403,1261,1328
1450035473,1337,1250
1450105767,1100,1052
1450315057,1916,1896
1450486483,1734,1783
1451509222,1998,2070
1451924829,1432,1447
1452566623,2093,2064
1453220219,2065,1964
1453319981,1676,1391
1453564411,2147,2058
1453664564,1825,1736
1453993111,2434,2222
1454506887,1987,2303
1454702378,1935,1655
1455038757,2378,1943
1455207198,1850,1912
1455811844,2171,2451
1455833473,1369,1346
1456024893,1705,1754
1456179992,1675,1340
1456319230,1428,1852
1456452179,1894,1431
1456741489,1542,2133
1457059987,2187,1660
1457381040,1619,2171
1457688258,2299,1745
1457808118,1453,1619
1457975961,1434,1426
1457995946,1481,1731
1458312009,1841,1574
1458591675,1696,1799
1458697112,1391,1616
1458932520,1847,1492
1459012299,1388,1500
1459617383,2446,2274
1459771716,2238,1860
1460098909,1977,2359
1460398146,2202,1934
1460653425,1832,2101
1461201042,3104,3399
1461604649,2732,2378
1461683652,2191,2370
1461953213,1787,1878
1462574072,2160,2109
1462811283,1367,1423
1462863220,1136,1169
1463018527,1301,1316
1463274586,1248,1322
1463452593,1773,1705
1463727432,1602,1755
1464056867,1417,1353
1464987069,2068,2123
1465437710,1699,1740
1465752621,1544,1452
1466278863,1933,1959
1466472087,1333,1317
1466643588,1353,1338
1467125009,1745,1774
1468177186,2090,2270
1468598797,1900,1921
1468803726,1685,1602
1469249097,1872,1826
1469443510,1574,1645
1469844883,1631,1649
1469978159,1192,1192
1470333994,1618,1654
1470456937,1748,1745
1470561514,1650,1656
1470700717,1533,1556
1470980241,1649,1654
1471416568,1815,1819
1471539046,1282,1093
1471885611,1742,1928
1472157053,1417,1401
1473117930,2073,2165
1473724870,1659,1662
1473882090,1348,1489
1474554405,1742,1648
1475751195,2234,2356
1476183428,1795,1802
1476209879,1204,1258
1476338428,1611,1450
1476509665,1213,1279
1476884573,1405,1472
1476981570,1230,1262
1477059937,1398,1327
1477262709,1768,1723
1477503463,1242,1180
1477611552,1145,1211
1477808611,1151,1174
1478102445,1347,1301
