DateTime,Entries,UniqueIPs
1446857445,15380,15380
1447159908,15406,15406
1447533737,15382,15382
1447894948,15473,15473
1448102552,15496,15496
1448734508,15573,15573
1449062047,15574,15574
1449147814,15485,15485
1449177702,15572,15572
1449261458,15554,15554
1449364991,15497,15497
1449589393,15589,15589
1449723174,15464,15464
1449843403,15397,15397
1450035473,15484,15484
1450105767,15532,15532
1450315057,15552,15552
1450486483,15503,15503
1451509222,15431,15431
1451924829,15416,15416
1452566623,15445,15445
1453220219,15546,15546
1453319981,15831,15831
1453564411,15920,15920
1453664564,16009,16009
1453993111,16221,16221
1454506887,15905,15905
1454702378,16185,16185
1455038757,16620,16620
1455207198,16558,16558
1455811844,16278,16278
1455833473,16301,16301
1456024893,16252,16252
1456179992,16587,16587
1456319230,16163,16163
1456452179,16626,16626
1456741489,16035,16035
1457059987,16562,16562
1457381040,16010,16010
1457688258,16564,16564
1457808118,16398,16398
1457975961,16406,16406
1457995946,16156,16156
1458312009,16423,16423
1458591675,16320,16320
1458697112,16095,16095
1458932520,16450,16450
1459012299,16338,16338
1459617383,16510,16510
1459771716,16888,16888
1460098909,16506,16506
1460398146,16774,16774
1460653425,16505,16505
1461201042,16210,16210
1461604649,16564,16564
1461683652,16385,16385
1461953213,16294,16294
1462574072,16345,16345
1462811283,16289,16289
1462863220,16256,16256
1463018527,16241,16241
1463274586,16167,16167
1463452593,16235,16235
1463727432,16082,16082
1464056867,16146,16146
1464987069,16091,16091
1465437710,16050,16050
1465752621,16142,16142
1466278863,16116,16116
1466472087,16132,16132
1466643588,16147,16147
1467125009,16118,16118
1468177186,15938,15938
1468598797,15917,15917
1468803726,16000,16000
1469249097,16046,16046
1469443510,15975,15975
1469844883,15957,15957
1469978159,15957,15957
1470333994,15921,15921
1470456937,15924,15924
1470561514,15918,15918
1470700717,15895,15895
1470980241,15890,15890
1471416568,15886,15886
1471539046,16075,16075
1471885611,15889,15889
1472157053,15905,15905
1473117930,15813,15813
1473724870,15810,15810
1473882090,15669,15669
1474554405,15763,15763
1475751195,15641,15641
1476183428,15634,15634
1476209879,15580,15580
1476338428,15741,15741
1476509665,15675,15675
1476884573,15608,15608
1476981570,15576,15576
1477059937,15647,15647
1477262709,15692,15692
1477503463,15754,15754
1477611552,15688,15688
1477808611,15665,15665
1478102445,15711,15711
