DateTime,AddedIPs,RemovedIPs
1447082874,34,187
1447558385,64,94
1447687849,106,60
1447778675,31,33
1447880759,27,27
1448033590,69,29
1448354232,35,40
1448554656,39,36
1448726694,26,22
1449084543,45,32
1449233392,20,24
1449265706,16,25
1449583079,103,40
1450321077,215,85
1450785218,86,201
1451159593,50,35
1451302029,31,35
1451508964,52,30
1451916652,46,52
1452013373,185,35
1452187219,65,22
1452279304,61,37
1453399633,95,94
1453568820,92,15
1453729784,29,31
1453857565,61,25
1453932962,131,22
1454087682,176,56
1454341331,108,118
1454416678,42,97
1454690464,117,75
1454946072,16,20
1455196524,39,28
1455208929,21,18
1457973493,132,158
1458836910,81,74
1459005212,29,29
1459175640,33,29
1460117297,79,86
1460633748,75,52
1460713362,27,20
1461000366,43,52
1461073442,16,15
1461412995,62,63
1461600560,49,56
1461846008,57,58
1462019716,33,26
1462275617,41,27
1462716465,56,58
1462800435,23,17
1462871418,30,23
1463490163,82,84
1463569239,18,13
1463592570,18,31
1463658206,28,11
1463877439,40,40
1464008442,32,27
1464091632,25,29
1464350825,50,59
1464362562,39,25
1464441575,20,24
1464696810,69,51
1464716737,33,36
1464947974,110,41
1464988378,20,31
1465219313,45,43
1465299556,21,22
1465314106,15,21
1465389808,14,12
1465465295,26,27
1465968054,56,63
1465992217,24,27
1466165793,35,35
1466423990,55,60
1466672787,54,37
1466905303,67,35
1467028099,23,57
1467221667,48,44
1467376635,25,20
1467634604,40,56
1467810171,42,42
1467896200,32,22
1467985276,37,46
1468107881,25,18
1468503992,66,51
1469454432,65,86
1469702424,42,42
1469880760,42,39
1470223574,61,41
1470311860,61,45
1470476763,46,44
1470491365,45,43
1470572136,31,23
1470653094,52,42
1470785247,54,64
1470833678,33,32
1471004292,38,31
1471515280,85,72
1471695028,42,39
1471781252,23,20
1471854769,21,18
1471885728,35,35
1472035652,41,36
1472261559,48,45
1472389418,18,18
1472461261,15,11
1472554898,47,43
1472745211,46,45
1473076259,34,34
1473161468,21,21
1473333964,47,51
1473520353,67,46
1473765856,36,40
1473881898,41,44
1474030027,58,45
1474061090,30,26
1474299672,41,39
1474371759,22,22
1474454435,31,33
1474628165,42,41
1474939268,50,50
1475205778,53,54
1475328703,22,25
1475848755,55,61
1476189020,43,45
1476273121,39,42
1476358637,46,39
1476509621,51,37
1476631612,36,46
1476958508,51,55
1476998065,21,26
1477053000,31,32
1477227068,53,36
1477313661,25,28
1477407268,44,55
1477572972,48,35
1477664809,47,42
1477784007,24,40
1477924413,110,33
1478008681,34,78
1478179662,44,58
1478518887,58,89
1478699353,68,85
1478864877,71,55
1479212056,89,114
1479296451,75,34
1479314081,39,47
1479396699,35,27
